Winchester Cathedral	The New Vaudeville Band
Mellow Yellow	Donovan
I'm A Believer	The Monkees
That's Life	Frank Sinatra
Devil With A Blue Dress On & Good Golly Miss Molly	Mitch Ryder And The Detroit Wheels
Sugar Town	Nancy Sinatra
Snoopy Vs. The Red Baron	The Royal Guardsmen
Good Vibrations	The Beach Boys
A Place In The Sun	Stevie Wonder
(I Know) I'm Losing You	The Temptations
You Keep Me Hangin' On	The Supremes
Born Free	Roger Williams
Whispers (Gettin' Louder)	Jackie Wilson
Tell It Like It Is	Aaron Neville
Lady Godiva	Peter And Gordon
I Got The Feelin' (Oh No No)	Neil Diamond
Single Girl	Sandy Posey
Cry	Ronnie Dove
Mame	Herb Alpert & The Tijuana Brass
Coming Home Soldier	Bobby Vinton
Talk Talk	The Music Machine
I Need Somebody	? (Question Mark) & The Mysterians
Mustang Sally	Wilson Pickett
Words Of Love	The Mamas & The Papas
I'm Ready For Love	Martha & The Vandellas
Stop Stop Stop	The Hollies
Good Thing	Paul Revere & The Raiders Featuring Mark Lindsay
A Hazy Shade Of Winter	Simon & Garfunkel
East West	Herman's Hermits
(Come 'round Here) I'm The One You Need	The Miracles
Tell It To The Rain	The 4 Seasons Featuring the "Sound of Frankie Valli"
It's Only Love	Tommy James And The Shondells
I've Passed This Way Before	Jimmy Ruffin
Knock On Wood	Eddie Floyd
Pandora's Golden Heebie Jeebies	The Association
I'm Your Puppet	James & Bobby Purify
It Tears Me Up	Percy Sledge
Standing In The Shadows Of Love	Four Tops
Poor Side Of Town	Johnny Rivers
Happenings Ten Years Time Ago	The Yardbirds
Help Me Girl	Eric Burdon & The Animals
But It's Alright	J.J. Jackson
Help Me Girl	The Outsiders
Coming On Strong	Brenda Lee
Nashville Cats	The Lovin' Spoonful
Try A Little Tenderness	Otis Redding
Games That Lovers Play	Eddie Fisher
(I'm Not Your) Steppin' Stone	The Monkees
I Fooled You This Time	Gene Chandler
Georgy Girl	The Seekers
I (Who Have Nothing)	Terry Knight and The Pack
Ghost Riders In The Sky	Baja Marimba Band
The Eggplant That Ate Chicago	Dr. West's Medicine Show and Junk Band
Blue Autumn	Bobby Goldsboro
There's Got To Be A Word!	The Innocence
Goodnight My Love	The Happenings
98.6	Keith
Bad Misunderstanding	The Critters
Please Don't Ever Leave Me	The Cyrkle
(We Ain't Got) Nothin' Yet	Blues Magoos
Where Will The Words Come From	Gary Lewis And The Playboys
You Can Bring Me All Your Heartaches	Lou Rawls
Karate	The Emperor's
Baby What I Mean	The Drifters
Gallant Men	Senator Everett McKinley Dirksen
The Girl That Stood Beside Me	Bobby Darin
Money (That's What I Want) (Part 1)	Jr. Walker & The All Stars
I Had Too Much To Dream (Last Night)	The Electric Prunes
Color My World	Petula Clark
Papa Was Too	Joe Tex
(Open Up The Door) Let The Good Times In	Dean Martin
Communication Breakdown	Roy Orbison
There's Something On Your Mind	Baby Ray
Alvin's Boo-Ga-Loo	Alvin Cash & The Registers
Another Night	Dionne Warwick
Green, Green Grass Of Home	Tom Jones
Dancing In The Street	The Mamas & The Papas
How Do You Catch A Girl	Sam The Sham and the Pharaohs
Look What You've Done	Pozo Seco Singers
Day Tripper	Ramsey Lewis
Wack Wack	The Young Holt Trio
Stand By Me	Spyder Turner
I'm Gonna Miss You	The Artistics
If You Go Away	Damita Jo
Grizzly Bear	The Youngbloods
Knight In Rusty Armour	Peter And Gordon
It's Now Winters Day	Tommy Roe
Just One Smile	Gene Pitney
Constant Rain (Chove Chuva)	Sergio Mendes & Brasil '66
I'm Gonna Make You Mine	The Shadows Of Knight
Going Nowhere	Los Bravos
Look At Granny Run, Run	Howard Tate
Are You Lonely For Me	Freddy Scott
The Shadow Of Your Smile	Boots Randolph
Pushin' Too Hard	The Seeds
Wish Me A Rainbow	The Gunter Kallmann Chorus
Try My Love Again	Bobby Moore's Rhythm Aces featuring Chico
Any Way That You Want Me	Liverpool Five
That's The Tune	The Vogues
Hello Hello	The Sopwith "Camel"
