Work	Rihanna Featuring Drake
7 Years	Lukas Graham
No	Meghan Trainor
Pillowtalk	Zayn
Love Yourself	Justin Bieber
My House	Flo Rida
Stressed Out	twenty one pilots
Me, Myself & I	G-Eazy x Bebe Rexha
I Took A Pill In Ibiza	Mike Posner
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
Cake By The Ocean	DNCE
Dangerous Woman	Ariana Grande
Sorry	Justin Bieber
Panda	Desiigner
Never Forget You	Zara Larsson & MNEK
One Call Away	Charlie Puth
Hands To Myself	Selena Gomez
2 Phones	Kevin Gates
Hello	Adele
Roses	The Chainsmokers Featuring Rozes
Oui	Jeremih
Middle	DJ Snake Featuring Bipolar Sunshine
Stitches	Shawn Mendes
Don't	Bryson Tiller
Don't Let Me Down	The Chainsmokers Featuring Daya
Down In The DM	Yo Gotti Featuring Nicki Minaj
Close	Nick Jonas Featuring Tove Lo
Low Life	Future Featuring The Weeknd
Exchange	Bryson Tiller
Let It Go	James Bay
You Should Be Here	Cole Swindell
Jumpman	Drake & Future
The Hills	The Weeknd
Youth	Troye Sivan
Drunk On Your Love	Brett Eldredge
Summer Sixteen	Drake
Back To Sleep	Chris Brown
Hotline Bling	Drake
Cheap Thrills	Sia Featuring Sean Paul
679	Fetty Wap Featuring Remy Boyz
What Do You Mean?	Justin Bieber
Say It	Tory Lanez
Somewhere On A Beach	Dierks Bentley
Humble And Kind	Tim McGraw
Die A Happy Man	Thomas Rhett
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Lost Boy	Ruth B
Came Here To Forget	Blake Shelton
White Iverson	Post Malone
My Church	Maren Morris
The Sound Of Silence	Disturbed
I Like The Sound Of That	Rascal Flatts
Think Of You	Chris Young Duet With Cassadee Pope
Really Really	Kevin Gates
Snapback	Old Dominion
Confession	Florida Georgia Line
Company	Justin Bieber
When We Were Young	Adele
Needed Me	Rihanna
Wild Things	Alessia Cara
New Romantics	Taylor Swift
Cut It	O.T. Genasis Featuring Young Dolph
T-Shirt	Thomas Rhett
That Don't Sound Like You	Lee Brice
Try Everything	Shakira
Best Friend	Young Thug
Promise	Kid Ink Featuring Fetty Wap
Sugar	Robin Schulz Featuring Francesco Yates
Jimmy Choo	Fetty Wap
Acquainted	The Weeknd
Team	Iggy Azalea
Noise	Kenny Chesney
Like I Would	Zayn
Mind Reader	Dustin Lynch
Stand By You	Rachel Platten
Beautiful Drug	Zac Brown Band
Might Not	Belly Featuring The Weeknd
Might Be	DJ Luke Nasty
Little Bit Of You	Chase Bryant
Heartbeat	Carrie Underwood
Nobody To Blame	Chris Stapleton
Piece By Piece	Kelly Clarkson
Saved	Ty Dolla $ign Featuring E-40
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Head Over Boots	Jon Pardi
I Know What You Did Last Summer	Shawn Mendes & Camila Cabello
With Them	Young Thug
Ride	twenty one pilots
Body	Dreezy Featuring Jeremih
Home Alone Tonight	Luke Bryan Featuring Karen Fairchild
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
Digits	Young Thug
Victorious	Panic! At The Disco
Moolah	Young Greatness
Something In The Way You Move	Ellie Goulding
New Level	A$AP Ferg Featuring Future
Fast Car	Jonas Blue Featuring Dakota
Uber Everywhere	MadeinTYO
Make Me Like You	Gwen Stefani
