Rude	MAGIC!
Fancy	Iggy Azalea Featuring Charli XCX
Problem	Ariana Grande Featuring Iggy Azalea
Am I Wrong	Nico & Vinz
Stay With Me	Sam Smith
Wiggle	Jason Derulo Featuring Snoop Dogg
All Of Me	John Legend
Maps	Maroon 5
Summer	Calvin Harris
Latch	Disclosure Featuring Sam Smith
Dirt	Florida Georgia Line
Happy	Pharrell Williams
Chandelier	Sia
Turn Down For What	DJ Snake & Lil Jon
Dark Horse	Katy Perry Featuring Juicy J
Boom Clap	Charli XCX
Love Runs Out	OneRepublic
Classic	MKTO
Break Free	Ariana Grande Featuring Zedd
Ain't It Fun	Paramore
Shower	Becky G
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Bailando	Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
American Kids	Kenny Chesney
Na Na	Trey Songz
Counting Stars	OneRepublic
2 On	Tinashe Featuring ScHoolboy Q
Pompeii	Bastille
Drunk On A Plane	Dierks Bentley
Talk Dirty	Jason Derulo Featuring 2 Chainz
Come With Me Now	KONGOS
Rather Be	Clean Bandit Featuring Jess Glynne
Beachin'	Jake Owen
Not A Bad Thing	Justin Timberlake
Believe Me	Lil Wayne Featuring Drake
Bartender	Lady Antebellum
Me And My Broken Heart	Rixton
Really Don't Care	Demi Lovato Featuring Cher Lloyd
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
I Don't Dance	Lee Brice
Sing	Ed Sheeran
Yeah	Joe Nichols
Bo$$	Fifth Harmony
Let It Go	Idina Menzel
Pills N Potions	Nicki Minaj
Play It Again	Luke Bryan
Somethin' Bad	Miranda Lambert Duet With Carrie Underwood
Best Day Of My Life	American Authors
Wasted	Tiesto Featuring Matthew Koma
Who I Am With You	Chris Young
A Sky Full Of Stars	Coldplay
We Dem Boyz	Wiz Khalifa
Studio	ScHoolboy Q Featuring BJ The Chicago Kid
Whiskey In My Water	Tyler Farr
Love Never Felt So Good	Michael Jackson & Justin Timberlake
Come Get It Bae	Pharrell Williams
Habits (Stay High)	Tove Lo
Birthday	Katy Perry
River Bank	Brad Paisley
My Eyes	Blake Shelton Featuring Gwen Sebastian
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Meanwhile Back At Mama's	Tim McGraw Featuring Faith Hill
Main Chick	Kid Ink Featuring Chris Brown
We Are Tonight	Billy Currington
Black Widow	Iggy Azalea Featuring Rita Ora
You & I (Nobody In The World)	John Legend
No Mediocre	T.I. Featuring Iggy Azalea
Girls Chase Boys	Ingrid Michaelson
Try	Colbie Caillat
Dare (La La La)	Shakira
Don't Tell 'Em	Jeremih Featuring YG
She Looks So Perfect	5 Seconds Of Summer
Leave The Night On	Sam Hunt
Where It's At (Yep, Yep)	Dustin Lynch
Work	Iggy Azalea
Trumpets	Jason Derulo
Cut Her Off	KCamp Featuring 2 Chainz
Tennis Court	Lorde
Good Kisser	Usher
Who Do You Love?	YG Featuring Drake
I'm Ready	AJR
Trophies	Young Money Featuring Drake
Ready Set Roll	Chase Rice
All About That Bass	Meghan Trainor
Riptide	Vance Joy
Don't	Ed Sheeran
Cool Kids	Echosmith
Song About A Girl	Eric Paslay
V. 3005	Childish Gambino
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
Hope You Get Lonely Tonight	Cole Swindell
Foreign	Trey Songz
Amnesia	5 Seconds Of Summer
Small Town Throwdown	Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Fight Night	Migos
I Got A Car	George Strait
Chainsaw	The Band Perry
She Twerkin	Ca$h Out
Dust	Eli Young Band
Sunshine & Whiskey	Frankie Ballard
