I Swear	All-4-One
Regulate (From "Above The Rim")	Warren G & Nate Dogg
Any Time, Any Place/And On And On	Janet Jackson
Don't Turn Around	Ace Of Base
Stay (I Missed You) (From "Reality Bites")	Lisa Loeb & Nine Stories
Back & Forth	Aaliyah
I'll Remember (From "With Honors")	Madonna
You Mean The World To Me	Toni Braxton
Can You Feel The Love Tonight (From "The Lion King")	Elton John
If You Go	Jon Secada
Fantastic Voyage	Coolio
Anytime You Need A Friend	Mariah Carey
Funkdafied	Da Brat
Baby I Love Your Way (From "Reality Bites")	Big Mountain
Your Body's Callin'	R. Kelly
Wild Night	John Mellencamp With Me'Shell Ndegeocello
Shine	Collective Soul
The Sign	Ace Of Base
The Most Beautiful Girl In The World	Prince
I Miss You	Aaron Hall
Return To Innocence	Enigma
Don't Take The Girl	Tim McGraw
Crazy	Aerosmith
Beautiful In My Eyes	Joshua Kadison
Always	Erasure
I'm Ready	Tevin Campbell
Anything (From "Above The Rim")	SWV
Come To My Window	Melissa Etheridge
Back In The Day	Ahmad
Always In My Heart	Tevin Campbell
Prayer For The Dying	Seal
Misled	Celine Dion
Willing To Forgive	Aretha Franklin
Got Me Waiting	Heavy D & The Boyz
Bump N' Grind	R. Kelly
100% Pure Love	Crystal Waters
The Place Where You Belong (From "Beverly Hills Cop III")	Shai
Whatta Man	Salt-N-Pepa Featuring En Vogue
When Can I See You	Babyface
I'll Take You There (From "Threesome")	General Public
Fall Down	Toad The Wet Sprocket
Moving On Up	M People
Now And Forever	Richard Marx
Mmm Mmm Mmm Mmm	Crash Test Dummies
Pumps And A Bump	M.C. Hammer
Loser	Beck
Sweet Potatoe Pie	Domino
The Power Of Love	Celine Dion
Found Out About You	Gin Blossoms
Selling The Drama	Live
I Need Your Love	Boston
Sending My Love	Zhane
I'm Not Over You	CeCe Peniston
(She's) Some Kind Of Wonderful	Huey Lewis & The News
Backwater	Meat Puppets
Bizarre Love Triangle	FRENTE!
Ease My Mind	Arrested Development
Love Sneakin' Up On You	Bonnie Raitt
Dreams	The Cranberries
Crooklyn (From "Crooklyn")	The Crooklyn Dodgers
Love On My Mind	Xscape
Worker Man	Patra
Old To The New	Nice & Smooth
What's Up	DJ Miko
Maybe Love Will Change Your Mind	Stevie Nicks
Sleeping In My Car	Roxette
Part Time Lover/I'm Still In Love With You	H-Town/Al B. Sure!
Objects In The Rear View Mirror May Appear Closer Than...	Meat Loaf
Your Love Is So Divine	Miranda
I'll Remember You	Atlantic Starr
How Do You Like It?	Keith Sweat
Funky Y-2-C	The Puppies
And Our Feelings	Babyface
Booti Call	BLACKstreet
Feenin'	Jodeci
I Wish	Gabrielle
Take It Back	Pink Floyd
Born To Roll	Masta Ace Incorporated
Thinkin' Problem	David Ball
It's Over Now	Cause And Effect
The Right Kinda Lover	Patti LaBelle
Closer	Nine Inch Nails
Possession	Sarah McLachlan
Nuttin' But Love	Heavy D & The Boyz
Diary Of A Madman	Gravediggaz
Whenever You Come Around	Vince Gill
Girls & Boys	Blur
Regular Thang	Ovis
Afternoons & Coffeespoons	Crash Test Dummies
(Meet) The Flintstones (From "The Flintstones")	The B.C. 52's
Player's Ball	OutKast
Nappy Heads	Fugees
Indian Outlaw	Tim McGraw
You	Candlebox
Night In My Veins	Pretenders
Warrior's Drum	King Just
Tell Me Where It Hurts	Kathy Troccoli
90's Girl	Blackgirl
Love Is All Around	Wet Wet Wet
Tootsee Roll	69 Boyz
