War	Edwin Starr
Ain't No Mountain High Enough	Diana Ross
In The Summertime	Mungo Jerry
25 Or 6 To 4	Chicago
Lookin' Out My Back Door/Long As I Can See The Light	Creedence Clearwater Revival
Patches	Clarence Carter
Julie, Do Ya Love Me	Bobby Sherman
(They Long To Be) Close To You	Carpenters
Make It With You	Bread
Spill The Wine	Eric Burdon And War
Candida	Dawn
Don't Play That Song	Aretha Franklin with The Dixie Flyers
Signed, Sealed, Delivered I'm Yours	Stevie Wonder
Snowbird	Anne Murray
I (Who Have Nothing)	Tom Jones
(I Know) I'm Losing You	Rare Earth
Hand Me Down World	The Guess Who
Rubber Duckie	Ernie (Jim Henson)
Hi-De-Ho	Blood, Sweat & Tears
Groovy Situation	Gene Chandler
Solitary Man	Neil Diamond
Cracklin' Rosie	Neil Diamond
(If You Let Me Make Love To You Then) Why Can't I Touch You?	Ronnie Dyson
I Just Can't Help Believing	B.J. Thomas
It's A Shame	The Spinners
All Right Now	Free
Everybody's Got The Right To Love	The Supremes
Overture From Tommy (A Rock Opera)	The Assembled Multitude
Neanderthal Man	Hotlegs
Joanne	Michael Nesmith & The First National Band
Long Long Time	Linda Ronstadt
Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	James Brown
Closer To Home (I'm Your Captain)	Grand Funk Railroad
Peace Will Come (According To Plan)	Melanie
Out In The Country	Three Dog Night
Tell It All Brother	Kenny Rogers & The First Edition
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
Everything's Tuesday	Chairman Of The Board
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
Lola	The Kinks
I've Lost You/The Next Step Is Love	Elvis Presley
Only You Know And I Know	Dave Mason
That's Where I Went Wrong	The Poppy Family (Featuring Susan Jacks)
Soul Shake	Delaney & Bonnie & Friends
Indiana Wants Me	R. Dean Taylor
Green-Eyed Lady	Sugarloaf
Do You See My Love (For You Growing)	Jr. Walker & The All Stars
We're All Playing In The Same Band	Bert Sommer
Still Water (Love)	Four Tops
If I Didn't Care	The Moments
Rainbow	The Marmalade
Look What They've Done To My Song Ma	The New Seekers featuring Eve Graham
I Stand Accused	Isaac Hayes
El Condor Pasa (If I Could)	Simon & Garfunkel
On The Beach (In The Summertime)	The 5th Dimension
Black Fox	Freddy Robinson
It's Only Make Believe	Glen Campbell
Sunday Morning Coming Down	Johnny Cash
As The Years Go By	Mashmakhan
Riki Tiki Tavi	Donovan
Where Are You Going To My Love	The Brotherhood Of Man
Mongoose	Elephant's Memory
Do What You Wanna Do	Five Flights Up
Screaming Night Hog	Steppenwolf
Yellow River	Christie
Stand By Your Man	Candi Staton
Ball And Chain	Tommy James
She Said Yes	Wilson Pickett
Going To The Country	The Steve Miller Band
Stay Away From Me (I Love You Too Much)	Major Lance
Uncle John's Band	The Grateful Dead
I Like Your Lovin' (Do You Like Mine)	The Chi-lites
Funk # 49	James Gang
We Can Make It Baby	The Originals
Somebody's Been Sleeping	100 Proof Aged in Soul
We Can Make Music	Tommy Roe
Gypsy Woman	Brian Hyland
Yours Love	Joe Simon
(Baby) Turn On To Me	The Impressions
I Do Take You	The Three Degrees
I Wanna Know If It's Good To You?	Funkadelic
For The Good Times	Ray Price
Fire And Rain	James Taylor
We've Only Just Begun	Carpenters
Greenwood Mississippi	Little Richard
Baby, I Need Your Loving	O.C. Smith
I Have Learned To Do Without You	Mavis Staples
Montego Bay	Bobby Bloom
I Just Wanna Keep It Together	Paul Davis
I Can't Be You (You Can't Be Me)	The Glass House
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Deeper & Deeper	Freda Payne
It's So Nice	Jackie DeShannon
Fire And Rain	Johnny Rivers & Friends
Empty Pages	Traffic
Border Song	Elton John
Animal Zoo	Spirit
Looky Looky (Look At Me Girl)	The O'Jays
Alone Again Or	Love
Loving You Is A Natural Thing	Ronnie Milsap
