Tossin' And Turnin'	Bobby Lewis
Wooden Heart	Joe Dowell
Michael	The Highwaymen
Last Night	Mar-Keys
I Like It Like That, Part 1	Chris Kenner
You Don't Know What You've Got (Until You Lose It)	Ral Donner
Pretty Little Angel Eyes	Curtis Lee
Dum Dum	Brenda Lee
Let's Twist Again	Chubby Checker
School Is Out	Gary U.S. Bonds
Don't Bet Money Honey	Linda Scott
Hurt	Timi Yuro
Together	Connie Francis
As If I Didn't Know	Adam Wade
Let The Four Winds Blow	Fats Domino
I Fall To Pieces	Patsy Cline
I'm Gonna Knock On Your Door	Eddie Hodges
I'll Be There	Damita Jo
Never On Sunday	The Chordettes
Hats Off To Larry	Del Shannon
My True Story	The Jive Five With Joe Rene And Orchestra
One Summer Night	The Diamonds
My Kind Of Girl	Matt Monro
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
I'm A Telling You	Jerry Butler
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night)	Lonnie Donegan And His Skiffle Group
Quarter To Three	U.S. Bonds
The Boll Weevil Song	Brook Benton
Right Or Wrong	Wanda Jackson
Quite A Party	The Fireballs
Take Good Care Of My Baby	Bobby Vee
Princess	Frank Gari
Who Put The Bomp (In The Bomp, Bomp, Bomp)	Barry Mann
I'll Never Smile Again	The Platters
I Don't Want To Take A Chance	Mary Wells
Sea Of Heartbreak	Don Gibson
I Just Don't Understand	Ann-Margret
Runaround	The Regents
Cupid	Sam Cooke
Amor	Ben E. King
A Thing Of The Past	The Shirelles
The Mountain's High	Dick and DeeDee
Nag	The Halos
Without You	Johnny Tillotson
Don't Cry, Baby	Etta James
When We Get Married	The Dreamlovers
Starlight, Starbright	Linda Scott
A Little Bit Of Soap	The Jarmels
Crying	Roy Orbison
Please Stay	The Drifters
San Antonio Rose	Floyd Cramer
A Tear	Gene McDaniels
Transistor Sister	Freddy Cannon
Hully Gully Again	Little Caesar and The Romans
Let Me Belong To You	Brian Hyland
It's Gonna Work Out Fine	Ike & Tina Turner
Lover's Island	The Blue Jays
Water Boy	Don Shirley Trio
Mexico	Bob Moore and His Orch.
Missing You	Ray Peterson
Candy Man	Roy Orbison
Little Sister	Elvis Presley
I Never Knew	Clyde McPhatter
The Charleston	Ernie Fields
Tears On My Pillow	The McGuire Sisters
Time Was	The Flamingos
Teardrops In My Heart	Joe Barry
Now And Forever	Bert Kaempfert And His Orchestra
San-Ho-Zay	Freddy King
Lonely Street	Clarence Henry
Magic Moon (Clair De Lune)	The Rays
Back Beat No. 1	The Rondels
Bless You	Tony Orlando
Nothing But Good	Hank Ballard And The Midnighters
Frankie And Johnny	Brook Benton
Big Cold Wind	Pat Boone
What A Sweet Thing That Was	The Shirelles
More Money For You And Me	The Four Preps
Don't Cry No More	Bobby Bland
Summer Souvenirs	Karl Hammel, Jr.
Roll Over Beethoven	The Velaires
Every Breath I Take	Gene Pitney
Music, Music, Music	The Sensations Featuring Yvonne
Well-A, Well-A	Shirley & Lee
Peanuts	Rick And The Keens
Pitter-Patter	The Four Sportsmen
Mr. Happiness	Johnny Maestro with The Coeds
Baby You're So Fine	Mickey & Sylvia
Starlight	The Preludes Five
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T	Ray Stevens
Years From Now	Jackie Wilson
Black Land Farmer	Wink Martindale
My Heart's On Fire	Billy Bland
Baby, You're Right	James Brown And The Famous Flames
I Wake Up Crying	Chuck Jackson
Girls Girls Girls (Part II)	The Coasters
Keep On Dancing	Hank Ballard And The Midnighters
Don't Forget I Love You	The Butanes
Wizard Of Love	The Ly - Dells
Donald Where's Your Troosers?	Andy Stewart
