Blue Moon	The Marcels
Apache	Jorgen Ingmann & His Guitar
Dedicated To The One I Love	The Shirelles
Runaway	Del Shannon
On The Rebound	Floyd Cramer
But I Do	Clarence Henry
Surrender	Elvis Presley With The Jordanaires
Don't Worry	Marty Robbins
Mother-In-Law	Ernie K-Doe
Walk Right Back	The Everly Brothers
Pony Time	Chubby Checker
Asia Minor	Kokomo
Take Good Care Of Her	Adam Wade
Please Love Me Forever	Cathy Jean and The Roommates
Think Twice	Brook Benton
One Mint Julep	Ray Charles
Gee Whiz (Look At His Eyes)	Carla Thomas
Baby Blue	The Echoes
A Hundred Pounds Of Clay	Gene McDaniels
Wheels	The String-A-Longs
Please Tell Me Why	Jackie Wilson
I've Told Every Little Star	Linda Scott
Portrait Of My Love	Steve Lawrence
Where The Boys Are	Connie Francis
Once Upon A Time	Rochell And The Candles With Johnny Wyatt
Model Girl	Johnny Maestro
Tonight My Love, Tonight	Paul Anka
Hide Away	Freddy King
You Can Depend On Me	Brenda Lee
Find Another Girl	Jerry Butler
Ebony Eyes	The Everly Brothers
Trust In Me	Etta James
Fell In Love On Monday	Fats Domino
Happy Birthday Blues	Kathy Young With The Innocents
Tenderly	Bert Kaempfert And His Orchestra
Some Kind Of Wonderful	The Drifters
Daddy's Home	Shep And The Limelites
Ginnie Bell	Paul Dino
That's It - I Quit - I'm Movin' On	Sam Cooke
Bewildered	James Brown And The Famous Flames
Just For Old Time's Sake	The McGuire Sisters
Shu Rah	Fats Domino
(Love Theme From) One Eyed Jacks	Ferrante & Teicher
Spanish Harlem	Ben E. King
Bye Bye Baby	Mary Wells
Theme From Dixie	Duane Eddy
Tonight I Fell In Love	The Tokens
Like, Long Hair	Paul Revere & The Raiders
Brass Buttons	The String-A-Longs
To Be Loved (Forever)	The Pentagons
The Second Time Around	Frank Sinatra
Funny	Maxine Brown
I'm In The Mood For Love	The Chimes
Ain't It, Baby	The Miracles
Lazy River	Bobby Darin
(Theme from) My Three Sons	Lawrence Welk And His Orchestra
Bumble Boogie	B. Bumble & The Stingers
Baby Sittin' Boogie	Buzz Clifford
The Continental Walk	Hank Ballard And The Midnighters
Your One And Only Love	Jackie Wilson
Merry-Go-Round	Marv Johnson
Frogg	The Brothers Four
Sleepy-Eyed John	Johnny Horton
The Very Thought Of You	Little Willie John
Ling-Ting-Tong	Buddy Knox
Foolin' Around	Kay Starr
The Watusi	The Vibrations
Welcome Home	Sammy Kaye And His Orchestra
African Waltz	Cannonball Adderley Orchestra
Trees	The Platters
Running Scared	Roy Orbison
Seventeen	Frankie Ford
Exodus	Eddie Harris
Where I Fell In Love	The Capris
(It Never Happens) In Real Life	Chuck Jackson
Little Pedro	The Olympics
The Blizzard	Jim Reeves
The Charanga	Merv Griffin
What'd I Say	Jerry Lee Lewis And His Pumping Piano
Glory Of Love	The Roommates
Triangle	Janie Grant
The Next Kiss (Is The Last Goodbye)	Conway Twitty
Bonanza	Al Caiola And His Orchestra
Underwater	The Frogmen
The Continental Walk	The Rollers
I'll Just Have A Cup Of Coffee (Then I'll Go)	Claude Gray
Come Along	Maurice Williams & The Zodiacs
La Pachanga	Audrey Arno And The Hazy Osterwald Sextet
Lullaby Of Love	Frank Gari
A City Girl Stole My Country Boy	Patti Page
Mr. Pride	Chuck Jackson
A Scottish Soldier (Green Hills of Tyrol)	Andy Stewart
I Told You So	Jimmy Jones
Come On Over	The Strollers
Saved	LaVern Baker
California Sun	Joe Jones
Hello Walls	Faron Young
Three Hearts In A Tangle	Roy Drusky
Hearts Of Stone	Bill Black's Combo
Ground Hog	The Browns Featuring Jim Edward Brown
