I Will Follow Him	Little Peggy March
Can't Get Used To Losing You	Andy Williams
He's So Fine	The Chiffons
Puff (The Magic Dragon)	Peter, Paul & Mary
Baby Workout	Jackie Wilson
Pipeline	Chantay's
Don't Say Nothin' Bad (About My Baby)	The Cookies
Young Lovers	Paul and Paula
On Broadway	The Drifters
Watermelon Man	Mongo Santamaria Band
Surfin' U.S.A.	The Beach Boys
South Street	The Orlons
Mecca	Gene Pitney
The End Of The World	Skeeter Davis
If You Wanna Be Happy	Jimmy Soul
Reverend Mr. Black	The Kingston Trio
Charms	Bobby Vee
Foolish Little Girl	The Shirelles
Young And In Love	Dick and DeeDee
Do The Bird	Dee Dee Sharp
Over The Mountain (Across The Sea)	Bobby Vinton
Our Day Will Come	Ruby And The Romantics
Twenty Miles	Chubby Checker
Follow The Boys	Connie Francis
Tom Cat	The Rooftop Singers
Losing You	Brenda Lee
Take These Chains From My Heart	Ray Charles
Sandy	Dion
In Dreams	Roy Orbison
Mr. Bass Man	Johnny Cymbal
Linda	Jan & Dean
Little Band Of Gold	James Gilreath
Don't Be Afraid, Little Darlin'	Steve Lawrence
Days Of Wine And Roses	Andy Williams
Two Faces Have I	Lou Christie
Out Of My Mind	Johnny Tillotson
I Got What I Wanted	Brook Benton
Days Of Wine And Roses	Henry Mancini And His Orchestra
Hot Pastrami	The Dartells
Killer Joe	The Rocky Fellers
I Love You Because	Al Martino
A Love She Can Count On	The Miracles
Another Saturday Night	Sam Cooke
Locking Up My Heart	The Marvelettes
Our Winter Love	Bill Pursell
Rhythm Of The Rain	The Cascades
Blame It On The Bossa Nova	Eydie Gorme
I Wanna Be Around	Tony Bennett
All Over The World	Nat King Cole
All I Have To Do Is Dream	Richard Chamberlain
Ain't That A Shame!	The 4 Seasons
Rainbow	Gene Chandler
Pushover	Etta James
(Today I Met) The Boy I'm Gonna Marry	Darlene Love
This Little Girl	Dion
Here I Stand	The Rip Chords
That's How Heartaches Are Made	Baby Washington
What Are Boys Made Of	The Percells
Dearer Than Life	Brook Benton
How Can I Forget	Jimmy Holiday
The Bird's The Word	The Rivingtons
Bony Moronie	The Appalachians
Remember Diana	Paul Anka
Don't Let Her Be Your Baby	The Contours
Two Kind Of Teardrops	Del Shannon
Sun Arise	Rolf Harris
You Can't Sit Down	The Dovells
Whatever You Want	Jerry Butler
Heart	Kenny Chandler
The Love Of My Man	Theola Kilgore
Still	Bill Anderson
Memory Lane	The Hippies (Formerly The Tams)
He's So Heavenly	Brenda Lee
Shut Down	The Beach Boys
You Never Miss Your Water (Till The Well Runs Dry)	Little Esther Phillips & Big Al Downing
Come And Get These Memories	Martha & The Vandellas
Ask Me	Maxine Brown
Call Me Irresponsible	Frank Sinatra
Prisoner Of Love	James Brown And The Famous Flames
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
Sting Ray	The Routers
If You Need Me	Solomon Burke
Do It - Rat Now	Bill Black's Combo
Heart! (I Hear You Beating)	Wayne Newton And The Newton Brothers
Ronnie, Call Me When You Get A Chance	Shelley Fabares
What A Guy	The Raindrops
Hot Pastrami With Mashed Potatoes - Part I	Joey Dee & the Starliters
Ann-Marie	The Belmonts
Let's Go Steady Again	Neil Sedaka
El Watusi	Ray Barretto
Theme From Lawrence Of Arabia	Ferrante & Teicher
The Bounce	The Olympics
Mother, Please!	Jo Ann Campbell
Gravy Waltz	Steve Allen
Hot Cakes! 1st Serving	Dave "Baby" Cortez
Preacherman	Charlie Russo
Sweet Dreams (Of You)	Patsy Cline
He's A Bad Boy	Carole King
Rockin' Crickets	Rockin' Rebels
Shy Girl	The Cascades
