Sheila	Tommy Roe
The Loco-Motion	Little Eva
Breaking Up Is Hard To Do	Neil Sedaka
You Don't Know Me	Ray Charles
Party Lights	Claudine Clark
She's Not You	Elvis Presley With The Jordanaires
Things	Bobby Darin
Roses Are Red (My Love)	Bobby Vinton
Vacation	Connie Francis
Little Diane	Dion
Ramblin' Rose	Nat King Cole
What's A Matter Baby (Is It Hurting You)	Timi Yuro
Ahab, The Arab	Ray Stevens
Your Nose Is Gonna Grow	Johnny Crawford
A Swingin' Safari	Billy Vaughn And His Orchestra
Rinky Dink	Baby Cortez
Teen Age Idol	Rick Nelson
Devil Woman	Marty Robbins
You Belong To Me	The Duprees
Make It Easy On Yourself	Jerry Butler
Sealed With A Kiss	Brian Hyland
Sherry	The 4 Seasons
Call Me Mr. In-Between	Burl Ives
The Wah Watusi	The Orlons
Send Me The Pillow You Dream On	Johnny Tillotson
Till Death Do Us Part	Bob Braun
Twist And Shout	The Isley Brothers
You'll Lose A Good Thing	Barbara Lynn
Bring It On Home To Me	Sam Cooke
Alley Cat	Bent Fabric and His Piano
Come On Little Angel	The Belmonts
You Beat Me To The Punch	Mary Wells
Shame On Me	Bobby Bare
Heart In Hand	Brenda Lee
Speedy Gonzales	Pat Boone
Point Of No Return	Gene McDaniels
Silver Threads And Golden Needles	The Springfields
Venus In Blue Jeans	Jimmy Clanton
Beechwood 4-5789	The Marvelettes
Green Onions	Booker T. & The MG's
Stop The Wedding	Etta James
A Wonderful Dream	The Majors
Let's Dance	Chris Montez
Wolverton Mountain	Claude King
Patches	Dickey Lee
If I Had A Hammer (The Hammer Song)	Peter, Paul & Mary
The Stripper	David Rose and His Orchestra
I'm The Girl From Wolverton Mountain	Jo Ann Campbell
Baby Elephant Walk	Lawrence Welk And His Orchestra
A Taste Of Honey	Martin Denny and His Orchestra
Surfin' Safari	The Beach Boys
I Love You The Way You Are	Bobby Vinton
Mr. Songwriter	Connie Stevens
(Girls, Girls, Girls) Made To Love	Eddie Hodges
Just Tell Her Jim Said Hello	Elvis Presley With The Jordanaires
Lie To Me	Brook Benton
What Kind Of Love Is This	Joey Dee & the Starliters
The Boys' Night Out	Patti Page
Papa-Oom-Mow-Mow	The Rivingtons
Hully Gully Baby	The Dovells
Theme From Dr. Kildare (Three Stars Will Shine Tonight)	Richard Chamberlain
I Left My Heart In San Francisco	Tony Bennett
Love Me As I Love You	George Maharis
I Can't Stop Loving You	Ray Charles
(Theme from) A Summer Place	Dick Roman
You Can't Judge A Book By The Cover	Bo Diddley
The Ballad Of Paladin	Duane Eddy
Rain Rain Go Away	Bobby Vinton
Do You Love Me	The Contours
Having A Party	Sam Cooke
Jivin' Around	Al Casey Combo
Yield Not To Temptation	Bobby Bland
It Might As Well Rain Until September	Carole King
Lolita Ya-Ya	The Ventures
Every Night (Without You)	Paul Anka
Too Late To Worry - Too Blue To Cry	Glen Campbell
Long As The Rose Is Red	Florraine Darlin
Punish Her	Bobby Vee
Lollipops And Roses	Paul Petersen
Glory Of Love	Don Gardner And Dee Dee Ford
Silly Boy (She Doesn't Love You)	The Lettermen
Lookin' For A Love	The Valentinos
Don't You Worry	Don Gardner And Dee Dee Ford
Beach Party	King Curtis And The Noble Knights
Reap What You Sow	Billy Stewart
Torture	Kris Jensen
So What	Bill Black's Combo
A Taste Of Honey	The Victor Feldman Quartet
I Want To Be Loved	Dinah Washington
What Kind Of Fool Am I	Sammy Davis Jr.
Oh! What It Seemed To Be	The Castells
Broken Heart	The Fiestas
I Wouldn't Know (What To Do)	Dinah Washington
No One Will Ever Know	Jimmie Rodgers
I Keep Forgettin'	Chuck Jackson
Hide & Go Seek, Part I	Bunker Hill
For All We Know	Dinah Washington
There Is No Greater Love	The Wanderers
If I Didn't Have A Dime (To Play The Jukebox)	Gene Pitney
Ol' Man River	Jimmy Smith
