Kiss You All Over	Exile
Hot Child In The City	Nick Gilder
Boogie Oogie Oogie	A Taste Of Honey
Reminiscing	Little River Band
You Needed Me	Anne Murray
Whenever I Call You "Friend"	Kenny Loggins
Love Is In The Air	John Paul Young
MacArthur Park	Donna Summer
Don't Look Back	Boston
Summer Nights	John Travolta & Olivia Newton-John & Cast
How Much I Feel	Ambrosia
Right Down The Line	Gerry Rafferty
Double Vision	Foreigner
Get Off	Foxy
You Never Done It Like That	Captain & Tennille
Back In The U.s.a.	Linda Ronstadt
She's Always A Woman	Billy Joel
Who Are You	The Who
Hopelessly Devoted To You	Olivia Newton-John
I Love The Nightlife (Disco 'round)	Alicia Bridges
Talking In Your Sleep	Crystal Gayle
Beast Of Burden	The Rolling Stones
It's A Laugh	Daryl Hall John Oates
I Just Wanna Stop	Gino Vannelli
Ready To Take A Chance Again	Barry Manilow
Josie	Steely Dan
Sharing The Night Together	Dr. Hook
Dance (Disco Heat)	Sylvester
Hollywood Nights	Bob Seger & The Silver Bullet Band
I Will Still Love You	Stonebolt
Three Times A Lady	Commodores
Almost Like Being In Love	Michael Johnson
Took The Last Train	David Gates
Time Passages	Al Stewart
Prisoner Of Your Love	Player
Sweet Life	Paul Davis
Themes From The Wizard Of Oz	Meco
Blue Collar Man (Long Nights)	Styx
London Town	Wings
Don't Want To Live Without It	Pablo Cruise
Ease On Down The Road	Diana Ross & Michael Jackson
Change Of Heart	Eric Carmen
Everybody Needs Love	Stephen Bishop
An Everlasting Love	Andy Gibb
Strange Way	Firefall
Straight On	Heart
One Nation Under A Groove - Part I	Funkadelic
Champagne Jam	Atlanta Rhythm Section
Greased Lightnin'	John Travolta
Wavelength	Van Morrison
Flying High	Commodores
Oh! Darling	Robin Gibb
5.7.0.5.	City Boy
Got To Have Loving	Don Ray
Heartbreaker	Dolly Parton
You Should Do It	Peter Brown With Betty Wright
Raining In My Heart	Leo Sayer
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Listen To Her Heart	Tom Petty
Dreadlock Holiday	10cc
(Our Love) Don't Throw It All Away	Andy Gibb
This Is Love	Paul Anka
Alive Again	Chicago
Run For Home	Lindisfarne
The Power Of Gold	Dan Fogelberg/Tim Weisberg
Searching For A Thrill	Starbuck
Hot Shot	Karen Young
Hold The Line	Toto
There'll Never Be	Switch
Forever Autumn	Justin Hayward
On The Shelf	Donny & Marie Osmond
I'm Every Woman	Chaka Khan
Martha (Your Lovers Come And Go)	Gabriel
Mellow Lovin'	Judy Cheeks
How You Gonna See Me Now	Alice Cooper
Do You Feel All Right	KC And The Sunshine Band
Hot Summer Nights	Walter Egan
Promises	Eric Clapton And His Band
New York City	Zwol
Lights	Journey
New York Groove	Ace Frehley
Instant Replay	Dan Hartman
Fun Time	Joe Cocker
Can You Fool	Glen Campbell
My Best Friend's Girl	The Cars
So Young, So Bad	Starz
Y.M.C.A.	Village People
Take Me I'm Yours	Michael Henderson
I Will Be In Love With You	Livingston Taylor
In The Bush	Musique
Louie, Louie	John Belushi
When You Feel Love	Bob Mcgilpin
Magnet And Steel	Walter Egan
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends	The Beatles
Come Together	Aerosmith
You And I	Rick James
Holding On (When Love Is Gone)	L.T.D.
Hot Blooded	Foreigner
Grease	Frankie Valli
Shame	Evelyn "Champagne" King
