ABC	Jackson 5
Let It Be	The Beatles
Spirit In The Sky	Norman Greenbaum
American Woman/No Sugar Tonight	The Guess Who
Instant Karma (We All Shine On)	John Ono Lennon
Love Or Let Me Be Lonely	The Friends Of Distinction
Love Grows (Where My Rosemary Goes)	Edison Lighthouse
Come And Get It	Badfinger
Vehicle	The Ides Of March
Turn Back The Hands Of Time	Tyrone Davis
Something's Burning	Kenny Rogers & The First Edition
Up The Ladder To The Roof	The Supremes
Reflections Of My Life	The Marmalade
Bridge Over Troubled Water	Simon & Garfunkel
Woodstock	Crosby, Stills, Nash & Young
Everything Is Beautiful	Ray Stevens
For The Love Of Him	Bobbi Martin
Easy Come, Easy Go	Bobby Sherman
Cecilia	Simon & Garfunkel
Love On A Two-Way Street	The Moments
The Bells	The Originals
You're The One-Part II	Little Sister
Tennessee Bird Walk	Jack Blanchard & Misty Morgan
Get Ready	Rare Earth
You Need Love Like I Do (Don't You)	Gladys Knight And The Pips
Everybody's Out Of Town	B.J. Thomas
House Of The Rising Sun	Frijid Pink
What Is Truth	Johnny Cash
Little Green Bag	George Baker Selection
Up Around The Bend/Run Through The Jungle	Creedence Clearwater Revival
Long Lonesome Highway	Michael Parks
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
Shilo	Neil Diamond
Airport Love Theme (Gwen And Vern)	Vincent Bell
Make Me Smile	Chicago
Viva Tirado - Part I	El Chicano
Reach Out And Touch (Somebody's Hand)	Diana Ross
Puppet Man	The 5th Dimension
Come Running	Van Morrison
Come Saturday Morning	The Sandpipers
The Letter	Joe Cocker with Leon Russell & The Shelter People
Oh Happy Day	Glen Campbell
Hey Lawdy Mama	Steppenwolf
The Girls' Song	The 5th Dimension
Miss America	Mark Lindsay
Hitchin' A Ride	Vanity Fare
California Girl	Eddie Floyd
Let Me Go To Him	Dionne Warwick
Daughter Of Darkness	Tom Jones
You Make Me Real/Roadhouse Blues	The Doors
Chicken Strut	The Meters
My Wife, The Dancer	Eddie & Dutch
Don't Stop Now/Since I Don't Have You	Eddie Holman
So Excited	B.B. King
Ticket To Ride	Carpenters
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
My Woman, My Woman, My Wife	Marty Robbins
Children	Joe South
Hum A Song (From Your Heart)	Lulu with The Dixie Flyers
United We Stand	The Brotherhood Of Man
Cryin' In The Streets (Part 1)	George Perkins & The Silver Stars
My Baby Loves Lovin'	White Plains
The Seeker	The Who
Deeper (In Love With You)	The O'Jays
Nothing Succeeds Like Success	Bill Deal & The Rhondels
O-o-h Child/Dear Prudence	The 5 Stairsteps
Lay Down (Candles In The Rain)	Melanie with The Edwin Hawkins Singers
Soolaimón (African Trilogy II)	Neil Diamond
Cinnamon Girl	The Gentrys
Capture The Moment	Jay & The Americans
The Onion Song/California Soul	Marvin Gaye & Tammi Terrell
He Made A Woman Out Of Me	Bobbie Gentry
Open Up My Heart/Nadine	The Dells
Band Of Gold	Freda Payne
Farther On Down The Road	Joe Simon
Sugar Sugar/Cole, Cooke & Redding	Wilson Pickett
Brother Rapp (Part 1)	James Brown
Can You Feel It	Bobby Goldsboro
Welfare Cadilac	Guy Drake
Grover Henson Feels Forgotten	Bill Cosby
It's All In The Game	Four Tops
I Who Have Nothing	Liquid Smoke
Fire & Rain	R.B. Greaves
My Way	Brook Benton
I Can't Leave Your Love Alone	Clarence Carter
(You've Got Me) Dangling On A String	Chairman Of The Board
Them Changes	Buddy Miles & The Freedom Express
Mississippi Queen	Mountain
Get Down People	Fabulous Counts
More Than I Can Stand	Bobby Womack
Lucifer	Bob Seger System
A Little Bit Of Soap	Paul Davis
Darkness, Darkness	The Youngbloods
Question	The Moody Blues
I Got A Problem	Jesse Anderson
Thank You Girl	Street People
Angelica	Oliver
Love Like A Man	Ten Years After
Check Yourself	I.A.P. Co. (the Italian Asphalt & Pavement Company)
Darling Dear	Smokey Robinson & The Miracles
