Island Girl	Elton John
I'm Sorry	John Denver
Miracles	Jefferson Starship
Lyin' Eyes	Eagles
They Just Can't Stop It the (Games People Play)	The Spinners
Who Loves You	The 4 Seasons
Feelings	Morris Albert
Bad Blood	Neil Sedaka
Heat Wave/love Is A Rose	Linda Ronstadt
This Will Be	Natalie Cole
Brazil	The Ritchie Family
Do It Any Way You Wanna	People's Choice
Something Better To Do	Olivia Newton-John
The Way I Want To Touch You	Captain & Tennille
Lady Blue	Leon Russell
Low Rider	War
S.O.S.	ABBA
It Only Takes A Minute	Tavares
Sky High	Jigsaw
You	George Harrison
What A Diff'rence A Day Makes	Esther Phillips
Nights On Broadway	Bee Gees
Born To Run	Bruce Springsteen
Dance With Me	Orleans
Fly, Robin, Fly	Silver Convention
I Only Have Eyes For You	Art Garfunkel
Rockin' All Over The World	John Fogerty
That's The Way (I Like It)	KC And The Sunshine Band
Blue Eyes Crying In The Rain	Willie Nelson
My Little Town	Simon & Garfunkel
Fame	David Bowie
Eighteen With A Bullet	Pete Wingfield
Ballroom Blitz	Sweet
Just Too Many People	Melissa Manchester
Operator	The Manhattan Transfer
The Agony And The Ecstasy	Smokey Robinson
Let's Do It Again	The Staple Singers
Give It What You Got/Peace Pipe	B.T. Express
Letting Go	Wings
I Want'a Do Something Freaky To You	Leon Haywood
Ain't No Way To Treat A Lady	Helen Reddy
Diamonds And Rust	Joan Baez
Secret Love	Freddy Fender
Saturday Night	Bay City Rollers
Every Day I Have To Cry Some	Arthur Alexander
Sweet Sticky Thing	Ohio Players
Carolina In The Pines	Michael Murphey
There Goes Another Love Song	The Outlaws
Dreaming A Dream	Crown Heights Affair
Since I Met You Baby	Freddy Fender
Our Day Will Come	Frankie Valli
Change With The Times	Van Mccoy
Mexico	James Taylor
Mr. Jaws	Dickie Goodman
Hollywood Hot	The Eleventh Hour
Manhattan Spiritual	Mike Post
Keep On Tryin'	Poco
To Each His Own	Faith, Hope And Charity
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P	Cheech & Chong
Summer Of '42	Biddu Orchestra
Are You Sure Hank Done It This Way	Waylon Jennings
Dear Prudence	Katfish
Sailing	Rod Stewart
I'm On Fire	5000 Volts
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Rocky	Austin Roberts
Rhinestone Cowboy	Glen Campbell
I Get High On You	Sly Stone
So In Love	Curtis Mayfield
I Love Music (Part 1)	The O'Jays
King Kong - Pt. I	The Jimmy Castor Bunch
Easy Evil	Travis Wammack
Indian Love Call	Ray Stevens
Fire On The Mountain	The Marshall Tucker Band
What's Happened To Blue Eyes/You Ain't Never Been Loved (Like I'm Gonna Lov	Jessi Colter
Come And Get Your Love	Roger Daltrey
Is It Love That We're Missin'	Quincy Jones (feat. The Brothers Johnson)
Bringing It Back	Elvis Presley
Minstrel In The Gallery	Jethro Tull
Welcome To My Nightmare	Alice Cooper
The Other Woman	Vicki Lawrence
Venus And Mars Rock Show	Wings
The Music Never Stopped	The Grateful Dead
Skybird	Tony Orlando & Dawn
Love Machine (Part 1)	The Miracles
You Sexy Thing	Hot Chocolate
Happy	Eddie Kendricks
Machines	John Livigni
Theme From Mahogany (Do You Know Where You're Going To)	Diana Ross
Just A Smile	Pilot
Same Thing It Took	The Impressions
Love Power	Willie Hutch
I'm On Fire	Jim Gilstrap
Volare	Al Martino
Never Been Any Reason	Head East
Hey There Little Firefly Part I	Firefly
Everything's The Same (Ain't Nothing Changed)	Billy Swan
(If You Want It) Do It Yourself	Gloria Gaynor
I'll Go To My Grave Loving You	The Statler Brothers
Better By The Pound	Funkadelic
