Call Me	Blondie
Ride Like The Wind	Christopher Cross
Lost In Love	Air Supply
With You I'm Born Again	Billy Preston & Syreeta
Another Brick In The Wall (Part II)	Pink Floyd
Fire Lake	Bob Seger
You May Be Right	Billy Joel
I Can't Tell You Why	Eagles
Sexy Eyes	Dr. Hook
Hold On To My Love	Jimmy Ruffin
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Special Lady	Ray, Goodman & Brown
Pilot Of The Airwaves	Charlie Dore
Biggest Part Of Me	Ambrosia
Hurt So Bad	Linda Ronstadt
Working My Way Back To You/Forgive Me, Girl	The Spinners
I Can't Help It	Andy Gibb & Olivia Newton-John
Cars	Gary Numan
Breakdown Dead Ahead	Boz Scaggs
Think About Me	Fleetwood Mac
Stomp!	The Brothers Johnson
Brass In Pocket (I'm Special)	Pretenders
Any Way You Want It	Journey
Funkytown	Lipps, Inc.
Too Hot	Kool & The Gang
Do Right	Paul Davis
Heart Hotels	Dan Fogelberg
I Pledge My Love	Peaches & Herb
The Rose	Bette Midler
Off The Wall	Michael Jackson
And The Beat Goes On	The Whispers
Fire In The Morning	Melissa Manchester
Steal Away	Robbie Dupree
Train In Vain (Stand By Me)	The Clash
The Seduction (Love Theme)	James Last Band
Crazy Little Thing Called Love	Queen
Let Me Be The Clock	Smokey Robinson
Wondering Where The Lions Are	Bruce Cockburn
Let's Get Serious	Jermaine Jackson
Starting Over Again	Dolly Parton
She's Out Of My Life	Michael Jackson
Gee Whiz	Bernadette Peters
It's Hard To Be Humble	Mac Davis
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
Headed For A Fall	Firefall
Lucky Me	Anne Murray
We Were Meant To Be Lovers	Photoglo
How Do I Make You	Linda Ronstadt
When The Feeling Comes Around	Jennifer Warnes
White Hot	Red Rider
We Live For Love	Pat Benatar
I Don't Want To Walk Without You	Barry Manilow
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Against The Wind	Bob Seger
Solitaire	Peter McIan
Love Stinks	The J. Geils Band
Don't Say Goodnight (It's Time For Love) (Parts 1 & 2)	The Isley Brothers
Lady	The Whispers
Him	Rupert Holmes
Don't Push It Don't Force It	Leon Haywood
New Romance (It's A Mystery)	Spider
Can't Put A Price On Love	The Knack
Only A Lonely Heart Sees	Felix Cavaliere
Twilight Zone/Twilight Tone	The Manhattan Transfer
Little Jeannie	Elton John
Two Places At The Same Time	Ray Parker Jr. & Raydio
It's A Night For Beautiful Girls	The Fools
Rock Lobster	The B-52s
Coming Down From Love	Bobby Caldwell
Somewhere In America	Survivor
Here Comes My Girl	Tom Petty And The Heartbreakers
Catching The Sun	Spyro Gyra
Let Me Be	Korona
Set Me Free	Utopia
Fool For A Pretty Face (Hurt By Love)	Humble Pie
Theme From New York, New York	Frank Sinatra
Keep The Fire	Kenny Loggins
You're My Blessing	Lou Rawls
It Takes Time	The Marshall Tucker Band
I Was Looking For Someone To Love	Leif Garrett
Shining Star	The Manhattans
Answering Machine	Rupert Holmes
The Second Time Around	Shalamar
It's Not A Wonder	Little River Band
Stay In Time	Off Broadway USA
Carrie	Cliff Richard
Midnight Rendezvous	The Babys
Gone Too Far	Eddie Rabbitt
Just For The Moment	Ray Kennedy
You've Got What I Need	Shooting Star
Three Times In Love	Tommy James
The Good Lord Loves You	Neil Diamond
After You	Dionne Warwick
Longer	Dan Fogelberg
On The Radio	Donna Summer
What's Your Hurry Darlin'	Ironhorse
Give It All You Got	Chuck Mangione
Real Love	The Cretones
Desire	Andy Gibb
Borrowed Time	Styx
