The Box	Roddy Ricch
Life Is Good	Future Featuring Drake
Circles	Post Malone
ON	BTS
Don't Start Now	Dua Lipa
Roxanne	Arizona Zervas
Dance Monkey	Tones And I
Blinding Lights	The Weeknd
Memories	Maroon 5
Someone You Loved	Lewis Capaldi
Intentions	Justin Bieber Featuring Quavo
Everything I Wanted	Billie Eilish
Heartless	The Weeknd
Hot Girl Bummer	blackbear
Adore You	Harry Styles
10,000 Hours	Dan + Shay & Justin Bieber
Ballin'	Mustard & Roddy Ricch
BOP	DaBaby
The Bones	Maren Morris
After Hours	The Weeknd
Lose You To Love Me	Selena Gomez
My Oh My	Camila Cabello Featuring DaBaby
Yummy	Justin Bieber
Woah	Lil Baby
High Fashion	Roddy Ricch Featuring Mustard
You Should Be Sad	Halsey
Good As Hell	Lizzo
Lil Top	YoungBoy Never Broke Again
Falling	Trevor Daniel
Dior	Pop Smoke
No Guidance	Chris Brown Featuring Drake
What A Man Gotta Do	Jonas Brothers
Say So	Doja Cat Featuring Nicki Minaj
Kinfolks	Sam Hunt
Senorita	Shawn Mendes & Camila Cabello
Bad Guy	Billie Eilish
Godzilla	Eminem Featuring Juice WRLD
RITMO (Bad Boys For Life)	Black Eyed Peas X J Balvin
Homesick	Kane Brown
HIGHEST IN THE ROOM	Travis Scott
Trampoline	SHAED
One Man Band	Old Dominion
Sucker	Jonas Brothers
I Don't Care	Ed Sheeran & Justin Bieber
I Hope	Gabby Barrett Featuring Charlie Puth
Sum 2 Prove	Lil Baby
Red Eye	YoungBoy Never Broke Again
Only Human	Jonas Brothers
Make Me Want To	Jimmie Allen
Numbers	A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track
Blueberry Faygo	Lil Mosey
Slide	H.E.R. Featuring YG
Tusa	Karol G & Nicki Minaj
No Time To Die	Billie Eilish
Juicy	Doja Cat & Tyga
BEST ON EARTH	Russ & BIA
Heart On Ice	Rod Wave
Fine By Time	YoungBoy Never Broke Again
Bad Bad	YoungBoy Never Broke Again
Knocked Off	YoungBoy Never Broke Again
To Die For	Sam Smith
We Back	Jason Aldean
Go Stupid	Polo G Featuring NLE Choppa & Stunna 4 Vegas
What She Wants Tonight	Luke Bryan
Nobody But You	Blake Shelton Duet With Gwen Stefani
Suicidal	YNW Melly & Juice WRLD
Chasin' You	Morgan Wallen
I Wish Grandpas Never Died	Riley Green
Out West	JACKBOYS Featuring Young Thug
More Hearts Than Mine	Ingrid Andress
Moral Of The Story	Ashe Featuring Niall Horan
Homemade	Jake Owen
Slow Dance In A Parking Lot	Jordan Davis
Forever	Justin Bieber Featuring Post Malone & Clever
I Hope You're Happy Now	Carly Pearce & Lee Brice
Know Your Worth	Khalid x Disclosure
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Dive Bar	Garth Brooks & Blake Shelton
Make No Sense	YoungBoy Never Broke Again
RIP Lil Phat	YoungBoy Never Broke Again
Catch	Brett Young
Before You Go	Lewis Capaldi
TOES	DaBaby Featuring Lil Baby & Moneybagg Yo
My Time	BTS
Long RD	YoungBoy Never Broke Again
South Of The Border	Ed Sheeran Featuring Camila Cabello & Cardi B
Filter	BTS
P*$$y Fairy (OTW)	Jhene Aiko
Bat Man	YoungBoy Never Broke Again
homecoming queen?	Kelsea Ballerini
Heartless	Diplo Presents Thomas Wesley Featuring Morgan Wallen
The Man	Taylor Swift
Shake The Room	Pop Smoke Featuring Quavo
Rare	Selena Gomez
Come Thru	Summer Walker & Usher
Ridin' Roads	Dustin Lynch
Me And My Guitar	A Boogie Wit da Hoodie
Feel Me	Selena Gomez
Vete	Bad Bunny
SUGAR	BrockHampton
