One Bad Apple	The Osmonds
Knock Three Times	Dawn
Rose Garden	Lynn Anderson
I Hear You Knocking	Dave Edmunds
If You Could Read My Mind	Gordon Lightfoot
Mama's Pearl	Jackson 5
Groove Me	King Floyd
Sweet Mary	Wadsworth Mansion
Mr. Bojangles	Nitty Gritty Dirt Band
Lonely Days	Bee Gees
Watching Scotty Grow	Bobby Goldsboro
Amos Moses	Jerry Reed
Your Song	Elton John
(Theme From) Love Story	Henry Mancini And His Orchestra
Amazing Grace	Judy Collins
My Sweet Lord/Isn't It A Pity	George Harrison
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
If I Were Your Woman	Gladys Knight And The Pips
One Less Bell To Answer	The 5th Dimension
It's Impossible	Perry Como
Stoney End	Barbra Streisand
For All We Know	Carpenters
Remember Me	Diana Ross
She's A Lady	Tom Jones
Me And Bobby McGee	Janis Joplin
Temptation Eyes	The Grass Roots
(Do The) Push And Pull Part I	Rufus Thomas
Let Your Love Go	Bread
Just My Imagination (Running Away With Me)	The Temptations
Precious, Precious	Jackie Moore
I Really Don't Want To Know/There Goes My Everything	Elvis Presley
Proud Mary	Ike & Tina Turner
Don't Let The Green Grass Fool You	Wilson Pickett
We Gotta Get You A Woman	Runt
Born To Wander	Rare Earth
Jody's Got Your Girl And Gone	Johnnie Taylor
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Love The One You're With	Stephen Stills
Help Me Make It Through The Night	Sammi Smith
Your Time To Cry	Joe Simon
Burning Bridges	The Mike Curb Congregation
Somebody's Watching You	Little Sister
Cried Like A Baby	Bobby Sherman
Just Seven Numbers (Can Straighten Out My Life)	Four Tops
D.O.A.	Bloodrock
Theme From Love Story	Francis Lai And His Orchestra
When I'm Dead And Gone	McGuinness Flint
Get Up, Get Into It, Get Involved (Pt. 1)	James Brown
I'm So Proud	The Main Ingredient
1900 Yesterday	Liz Damon's Orient Express
Apeman	The Kinks
Blue Money	Van Morrison
(Where Do I Begin) Love Story	Andy Williams
Fresh As A Daisy	Emitt Rhodes
Country Road	James Taylor
Hang On To Your Life	The Guess Who
God Bless Whoever Sent You	The Originals
Whole Lotta Love	C.C.S.
Bed Of Rose's	The Statler Brothers
He Called Me Baby	Candi Staton
(I Can Feel Those Vibrations) This Love Is Real	Jackie Wilson
Bridget The Midget (The Queen Of The Blues)	Ray Stevens
Wild World	Cat Stevens
Whole Lotta Love	King Curtis & The Kingpins
Superstar	Murray Head With The Trinidad Singers
Cheryl Moana Marie	John Rowles
Chairman Of The Board	Chairman Of The Board
I Love You For All Seasons	The Fuzz
Beautiful People	The New Seekers featuring Eve Graham
Cherish What Is Dear To You (While It's Near to You)	Freda Payne
One Toke Over The Line	Brewer And Shipley
Freedom	The Isley Brothers
Keep The Customer Satisfied	Gary Puckett
Triangle Of Love (Hey Diddle Diddle)	The Presidents
(She's A) Very Lovely Woman/The Long Way Around	Linda Ronstadt
You're A Big Girl Now	The Stylistics
You're The One	The Three Degrees
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
Ain't It A Sad Thing	R. Dean Taylor
Make Me Happy	Bobby Bloom
What's Going On	Marvin Gaye
Oye Como Va	Santana
I Need You	The Friends Of Distinction
Everything Is Good About You	The Lettermen
Free	Chicago
Lonely Teardrops	Brian Hyland
The Morning Of Our Lives	Arkade
Angel Baby	Dusk
Ride A White Swan	Tyrannosaurus Rex
Eighteen	Alice Cooper
You're All I Need To Get By	Aretha Franklin
Do Me Right	Detroit Emeralds
Didn't It Look So Easy	The Stairsteps
My Sweet Lord	Billy Preston
Tulsa	Billy Joe Royal
The Look Of Love	Isaac Hayes
Maria (You Were The Only One)	Jimmy Ruffin
Ask Me No Questions	B.B. King
I Don't Know How To Love Him	Helen Reddy
Super Highway	Ballin' Jack
