Dynamite	BTS
WAP	Cardi B Featuring Megan Thee Stallion
Laugh Now Cry Later	Drake Featuring Lil Durk
Rockstar	DaBaby Featuring Roddy Ricch
Blinding Lights	The Weeknd
Watermelon Sugar	Harry Styles
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Mood	24kGoldn Featuring iann dior
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Before You Go	Lewis Capaldi
Roses	SAINt JHN
I Hope	Gabby Barrett Featuring Charlie Puth
Ice Cream	BLACKPINK X Selena Gomez
Go Crazy	Chris Brown & Young Thug
Circles	Post Malone
Break My Heart	Dua Lipa
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Adore You	Harry Styles
Come & Go	Juice WRLD x Marshmello
Mood Swings	Pop Smoke Featuring Lil Tjay
Tap In	Saweetie
Be Like That	Kane Brown With Swae Lee & Khalid
Don't Start Now	Dua Lipa
Popstar	DJ Khaled Featuring Drake
Die From A Broken Heart	Maddie & Tae
Lovin' On You	Luke Combs
If The World Was Ending	JP Saxe Featuring Julia Michaels
The Bones	Maren Morris
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
Savage	Megan Thee Stallion
Got What I Got	Jason Aldean
Rags2Riches	Rod Wave Featuring ATR Son Son
One Of Them Girls	Lee Brice
Rain On Me	Lady Gaga & Ariana Grande
Blueberry Faygo	Lil Mosey
Death Bed	Powfu Featuring beabadoobee
Midnight Sky	Miley Cyrus
Over Now	Calvin Harris X The Weeknd
Life Is Good	Future Featuring Drake
Wishing Well	Juice WRLD
Cool Again	Kane Brown
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
One Margarita	Luke Bryan
Girls In The Hood	Megan Thee Stallion
Cardigan	Taylor Swift
Say So	Doja Cat Featuring Nicki Minaj
Chasin' You	Morgan Wallen
Nobody's Love	Maroon 5
Intentions	Justin Bieber Featuring Quavo
We Paid	Lil Baby & 42 Dugg
Heather	Conan Gray
The Bigger Picture	Lil Baby
Like That	Doja Cat Featuring Gucci Mane
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
Party Girl	StaySolidRocky
7 Summers	Morgan Wallen
Starting Over	Chris Stapleton
Bang!	AJR
Smile	Juice WRLD & The Weeknd
Hawai	Maluma & The Weeknd
I Should Probably Go To Bed	Dan + Shay
I Love My Country	Florida Georgia Line
More Than My Hometown	Morgan Wallen
Said Sum	Moneybagg Yo
Greece	DJ Khaled Featuring Drake
God Whispered Your Name	Keith Urban
24	Money Man Featuring Lil Baby
My Ex's Best Friend	Machine Gun Kelly X blackbear
Un Dia (One Day)	J Balvin, Dua Lipa, Bad Bunny & Tainy
ily	Surf Mesa Featuring Emilee
Breaking Me	Topic & A7S
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
Kacey Talk	YoungBoy Never Broke Again
Some Girls	Jameson Rodgers
Kings & Queens	Ava Max
Why We Drink	Justin Moore
One Night Standards	Ashley McBryde
My Future	Billie Eilish
Blastoff	Internet Money Featuring Juice WRLD & Trippie Redd
Pretty Heart	Parker McCollum
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
I Called Mama	Tim McGraw
Expensive	Ty Dolla $ign Featuring Nicki Minaj
Caramelo	Ozuna x Karol G x Myke Towers
Martin & Gina	Polo G
Dollaz On My Head	Gunna Featuring Young Thug
You Broke Me First.	Tate McRae
Need It	Migos Featuring YoungBoy Never Broke Again
After Party	Don Toliver
Lets Link	WhoHeem
Stuck With U	Ariana Grande & Justin Bieber
The 1	Taylor Swift
Lonely If You Are	Chase Rice
Done	Chris Janson
La Jeepeta	Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
All In	YoungBoy Never Broke Again
Got It On Me	Pop Smoke
Ain't Always The Cowboy	Jon Pardi
Girl Of My Dreams	Rod Wave
