Harlem Shake	Baauer
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
When I Was Your Man	Bruno Mars
Suit & Tie	Justin Timberlake Featuring JAY Z
Stay	Rihanna Featuring Mikky Ekko
Started From The Bottom	Drake
I Knew You Were Trouble.	Taylor Swift
Scream & Shout	will.i.am & Britney Spears
Just Give Me A Reason	P!nk Featuring Nate Ruess
Love Me	Lil Wayne Featuring Drake & Future
Feel This Moment	Pitbull Featuring Christina Aguilera
Daylight	Maroon 5
Locked Out Of Heaven	Bruno Mars
Ho Hey	The Lumineers
Don't You Worry Child	Swedish House Mafia Featuring John Martin
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Sweet Nothing	Calvin Harris Featuring Florence Welch
Radioactive	Imagine Dragons
Heart Attack	Demi Lovato
Pour It Up	Rihanna
I Will Wait	Mumford & Sons
It's Time	Imagine Dragons
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Sure Be Cool If You Did	Blake Shelton
Mirrors	Justin Timberlake
Carry On	fun.
Catch My Breath	Kelly Clarkson
Little Talks	Of Monsters And Men
Gangnam Style	PSY
Poetic Justice	Kendrick Lamar Featuring Drake
Troublemaker	Olly Murs Featuring Flo Rida
Try	P!nk
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
I Love It	Icona Pop Featuring Charli XCX
Downtown	Lady Antebellum
My Songs Know What You Did In The Dark (Light Em Up)	Fall Out Boy
Sail	AWOLNATION
Bad	Wale Featuring Tiara Thomas Or Rihanna
Mama's Broken Heart	Miranda Lambert
Can't Hold Us	Macklemore & Ryan Lewis Featuring Ray Dalton
Home	Phillip Phillips
One More Night	Maroon 5
Diamonds	Rihanna
Two Black Cadillacs	Carrie Underwood
All Gold Everything	Trinidad James
Adorn	Miguel
Wagon Wheel	Darius Rucker
Bugatti	Ace Hood Featuring Future & Rick Ross
Some Nights	fun.
Hall Of Fame	The Script Featuring will.i.am
I Drive Your Truck	Lee Brice
Get Your Shine On	Florida Georgia Line
Madness	Muse
Somebody's Heartbreak	Hunter Hayes
Kiss You	One Direction
Loveeeeeee Song	Rihanna Featuring Future
Alive	Krewella
Pirate Flag	Kenny Chesney
Gone, Gone, Gone	Phillip Phillips
Power Trip	J. Cole Featuring Miguel
R.I.P.	Young Jeezy Featuring 2 Chainz
Better Dig Two	The Band Perry
One Of Those Nights	Tim McGraw
22	Taylor Swift
I'm Different	2 Chainz
If I Didn't Have You	Thompson Square
Next To Me	Emeli Sande
C'mon	Ke$ha
Neva End	Future
Tornado	Little Big Town
Give It All We Got Tonight	George Strait
Love And War	Tamar Braxton
Merry Go 'round	Kacey Musgraves
One Way Or Another (Teenage Kicks)	One Direction
Show Out	Juicy J Featuring Big Sean & Young Jeezy
Wicked Games	The Weeknd
Freaks	French Montana Featuring Nicki Minaj
I Can Take It From There	Chris Young
Battle Scars	Lupe Fiasco & Guy Sebastian
Kisses Down Low	Kelly Rowland
Highway Don't Care	Tim McGraw With Taylor Swift
We Still In This B****	B.o.B Featuring T.I. & Juicy J
Hey Porsche	Nelly
Like Jesus Does	Eric Church
Who Booty	Jonn Hart Featuring IamSU!
Don't Judge Me	Chris Brown
DONE.	The Band Perry
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Stubborn Love	The Lumineers
So Many Girls	DJ Drama Featuring Wale, Tyga & Roscoe Dash
Gold	Britt Nicole
More Than Miles	Brantley Gilbert
1994	Jason Aldean
Levitate	Hadouken!
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Dope	Tyga Featuring Rick Ross
Love Sosa	Chief Keef
Changed	Rascal Flatts
Buzzkill	Luke Bryan
Little Things	One Direction
