Can't Fight This Feeling	REO Speedwagon
Material Girl	Madonna
One More Night	Phil Collins
The Heat Is On	Glenn Frey
Too Late For Goodbyes	Julian Lennon
Lover Girl	Teena Marie
Private Dancer	Tina Turner
High On You	Survivor
Only The Young	Journey
Relax	Frankie Goes To Hollywood
California Girls	David Lee Roth
Careless Whisper	Wham! Featuring George Michael
Just Another Night	Mick Jagger
Somebody	Bryan Adams
Nightshift	Commodores
Save A Prayer	Duran Duran
I'm On Fire	Bruce Springsteen
Keeping The Faith	Billy Joel
Missing You	Diana Ross
Crazy For You	Madonna
We Are The World	USA For Africa
Obsession	Animotion
Misled	Kool & The Gang
Rhythm Of The Night	Debarge
Take Me With U	Prince And The Revolution Duet With Apollonia
I Want To Know What Love Is	Foreigner
Neutron Dance	The Pointer Sisters
Naughty Naughty	John Parr
All She Wants to Do Is Dance	Don Henley
Along Comes A Woman	Chicago
Turn Up The Radio	Autograph
This Is Not America	David Bowie/Pat Metheny Group
Easy Lover	Philip Bailey With Phil Collins
Why Can't I Have You	The Cars
One Night In Bangkok	Murray Head
Don't You (Forget About Me)	Simple Minds
That Was Yesterday	Foreigner
Lucky	Greg Kihn
Radioactive	The Firm
Second Nature	Dan Hartman
Lover Boy	Billy Ocean
The Word Is Out	Jermaine Stewart
Some Like It Hot	The Power Station
Some Things Are Better Left Unsaid	Daryl Hall John Oates
Forever Man	Eric Clapton
The Old Man Down The Road	John Fogerty
Sugar Walls	Sheena Easton
The Bird	The Time
Say It Again	Santana
New Attitude	Patti LaBelle
Solid	Ashford & Simpson
Smooth Operator	Sade
Rock And Roll Girls	John Fogerty
We Close Our Eyes	Go West
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Let's Talk About Me	The Alan Parsons Project
Rain Forest	Paul Hardcastle
Change	John Waite
Jungle Love	The Time
Everything She Wants	Wham!
Mr. Telephone Man	New Edition
Method Of Modern Love	Daryl Hall John Oates
Beat Of A Heart	Scandal Featuring Patty Smyth
Vox Humana	Kenny Loggins
Everybody Wants To Rule The World	Tears For Fears
Suddenly	Billy Ocean
Invisible	Alison Moyet
When The Rain Begins To Fall	Jermaine Jackson & Pia Zadora
The Borderlines	Jeffrey Osborne
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
The Boys Of Summer	Don Henley
Kiss and Tell	Isley, Jasper, Isley
Fresh	Kool & The Gang
Small Town Boy	Bronski Beat
Things Can Only Get Better	Howard Jones
In My House	Mary Jane Girls
Baby Come And Get It	The Pointer Sisters
Look My Way	The Vels
'Til My Baby Comes Home	Luther Vandross
Scientific Love	Midnight Star
You're The Inspiration	Chicago
I Wanna Hear It From Your Lips	Eric Carmen
Foolish Heart	Steve Perry
Will The Wolf Survive	Los Lobos
Be Your Man	Jesse Johnson's Revue
Walking On Sunshine	Katrina And The Waves
The NeverEnding Story	Limahl
Lonely In Love	Giuffria
Go Down Easy	Dan Fogelberg
Swear	Sheena Easton
Back In Stride	Maze Featuring Frankie Beverly
Roxanne, Roxanne	UTFO
Injured In The Game of Love	Donnie Iris
Yo Little Brother	Nolan Thomas
Forever Young	Alphaville
Tragedy	John Hunter
I Would Die 4 U	Prince And The Revolution
You Send Me	The Manhattans
Operator	Midnight Star
Like A Virgin	Madonna
