Bette Davis Eyes	Kim Carnes
All Those Years Ago	George Harrison
The One That You Love	Air Supply
Jessie's Girl	Rick Springfield
You Make My Dreams	Daryl Hall John Oates
Elvira	The Oak Ridge Boys
Medley	Stars On 45
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
I Don't Need You	Kenny Rogers
Slow Hand	The Pointer Sisters
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
This Little Girl	Gary U.S. Bonds
Hearts	Marty Balin
America	Neil Diamond
Gemini Dream	The Moody Blues
Boy From New York City	The Manhattan Transfer
Sukiyaki	A Taste Of Honey
Winning	Santana
Modern Girl	Sheena Easton
Time	The Alan Parsons Project
Queen Of Hearts	Juice Newton
Is It You	Lee Ritenour
What Are We Doin' In Love	Dottie West with Kenny Rogers
Seven Year Ache	Rosanne Cash
Fool In Love With You	Jim Photoglo
Sweet Baby	Stanley Clarke/George Duke
Touch Me When We're Dancing	Carpenters
The Stroke	Billy Squier
Don't Let Him Go	REO Speedwagon
Stronger Than Before	Carole Bayer Sager
It's Now Or Never	John Schneider
(There's) No Gettin' Over Me	Ronnie Milsap
In The Air Tonight	Phil Collins
A Life Of Illusion	Joe Walsh
Lady (You Bring Me Up)	Commodores
I Love You	Climax Blues Band
Urgent	Foreigner
Double Dutch Bus	Frankie Smith
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
Being With You	Smokey Robinson
Rock And Roll Dreams Come Through	Jim Steinman
It Didn't Take Long	Spider
Give It To Me Baby	Rick James
Nobody Wins	Elton John
Living Inside Myself	Gino Vannelli
Take It On The Run	REO Speedwagon
Feels So Right	Alabama
Don't Want To Wait Anymore	The Tubes
Tom Sawyer	Rush
Still Right Here In My Heart	Pure Prairie League
Fantasy Girl	38 Special
Shaddap You Face	Joe Dolce
Endless Love	Diana Ross & Lionel Richie
Cool Love	Pablo Cruise
The Kid Is Hot Tonite	Loverboy
Suzi	Randy VanWarmer
Love On A Two Way Street	Stacy Lattisaw
You Are Forever	Smokey Robinson
Jones Vs. Jones	Kool & The Gang
What She Does To Me (The Diana Song)	The Producers
Everlasting Love	Rex Smith/Rachel Sweet
Fly Away	Blackfoot
The Waiting	Tom Petty And The Heartbreakers
Some Changes Are For Good	Dionne Warwick
Too Much Time On My Hands	Styx
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Angel Of The Morning	Juice Newton
The Real Thing	The Brothers Johnson
Really Wanna Know You	Gary Wright
Nightwalker	Gino Vannelli
Nicole	Point Blank
Walk Right Now	The Jacksons
It Hurts To Be In Love	Dan Hartman
You're My Girl	Franke & The Knockouts
Don't Give It Up	Robbie Patton
Stranger	Jefferson Starship
Someday, Someway	Robert Gordon
Promises	Barbra Streisand
American Memories	Shamus M'Cool
Under The Covers	Janis Ian
Breaking Away	Balance
You Don't Know Me	Mickey Gilley
Don't Let Go The Coat	The Who
Nothing Ever Goes As Planned	Styx
That Old Song	Ray Parker Jr. & Raydio
Secrets	Mac Davis
Some Days Are Diamonds (Some Days Are Stone)	John Denver
Rich Man	Terri Gibbs
On And On And On	ABBA
What Cha' Gonna Do For Me	Chaka Khan
Ready For Love	Silverado
Sweetheart	Franke & The Knockouts
Say What	Jesse Winchester
Watching The Wheels	John Lennon
Sign Of The Gypsy Queen	April Wine
How 'bout Us	Champaign
Another Ticket	Eric Clapton
Hard Times	James Taylor
Since I Don't Have You	Don McLean
