Hello	Adele
Sorry	Justin Bieber
Hotline Bling	Drake
The Hills	The Weeknd
What Do You Mean?	Justin Bieber
Stitches	Shawn Mendes
Wildest Dreams	Taylor Swift
679	Fetty Wap Featuring Remy Boyz
Locked Away	R. City Featuring Adam Levine
Can't Feel My Face	The Weeknd
Watch Me	Silento
Ex's & Oh's	Elle King
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Jumpman	Drake & Future
Here	Alessia Cara
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Lean On	Major Lazer & DJ Snake Featuring MO
Same Old Love	Selena Gomez
On My Mind	Ellie Goulding
Renegades	X Ambassadors
Good For You	Selena Gomez Featuring A$AP Rocky
Hit The Quan	iLoveMemphis
Trap Queen	Fetty Wap
Drag Me Down	One Direction
Cheerleader	OMI
Photograph	Ed Sheeran
How Deep Is Your Love	Calvin Harris & Disciples
My Way	Fetty Wap Featuring Monty
Perfect	One Direction
See You Again	Wiz Khalifa Featuring Charlie Puth
Where Ya At	Future Featuring Drake
Antidote	Travis Scott
Die A Happy Man	Thomas Rhett
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Confident	Demi Lovato
Shut Up And Dance	WALK THE MOON
White Iverson	Post Malone
Fight Song	Rachel Platten
Strip It Down	Luke Bryan
Thinking Out Loud	Ed Sheeran
Where Are U Now	Skrillex & Diplo With Justin Bieber
Again	Fetty Wap
Back To Back	Drake
Break Up With Him	Old Dominion
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
I'm Comin' Over	Chris Young
Want To Want Me	Jason Derulo
Love Myself	Hailee Steinfeld
Sugar	Maroon 5
Burning House	Cam
Smoke Break	Carrie Underwood
Break Up In A Small Town	Sam Hunt
No Role Modelz	J. Cole
Don't	Bryson Tiller
Anything Goes	Florida Georgia Line
Come Get Her	Rae Sremmurd
Cool For The Summer	Demi Lovato
Back Up	DeJ Loaf Featuring Big Sean
Let Me See Ya Girl	Cole Swindell
Levels	Nick Jonas
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Lay It All On Me	Rudimental Featuring Ed Sheeran
Nothin' Like You	Dan + Shay
Big Rings	Drake & Future
Liquor	Chris Brown
Blase	Ty Dolla $ign Featuring Future & Rae Sremmurd
Right Hand	Drake
Emperor's New Clothes	Panic! At The Disco
Comfortable	K Camp
Gonna	Blake Shelton
Roses	The Chainsmokers Featuring Rozes
Say It	Tory Lanez
The Fix	Nelly Featuring Jeremih
Home	One Direction
Diamonds Dancing	Drake & Future
Stressed Out	twenty one pilots
Stay A Little Longer	Brothers Osborne
RGF Island	Fetty Wap
Save It For A Rainy Day	Kenny Chesney
Hide Away	Daya
I Got The Boy	Jana Kramer
Used To Love You Sober	Kane Brown
Cake By The Ocean	DNCE
Used To Love You	Gwen Stefani
Gonna Know We Were Here	Jason Aldean
Hold My Hand	Jess Glynne
New Americana	Halsey
Gonna Wanna Tonight	Chase Rice
Top Of The World	Tim McGraw
Digital Dash	Drake & Future
Nothing But Trouble (Instagram Models)	Lil Wayne & Charlie Puth
Ginza	J Balvin
Dibs	Kelsea Ballerini
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Scholarships	Drake & Future
Powerful	Major Lazer Featuring Ellie Goulding & Tarrus Riley
I Love This Life	LOCASH
Exchange	Bryson Tiller
Jugg	Fetty Wap Featuring Monty
100	The Game Featuring Drake
