Rush Rush	Paula Abdul
Unbelievable	EMF
Right Here, Right Now	Jesus Jones
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
Power Of Love/Love Power	Luther Vandross
Place In This World	Michael W. Smith
Here I Am (Come And Take Me)	UB40
Piece Of My Heart	Tara Kemp
P.A.S.S.I.O.N.	Rhythm Syndicate
Gypsy Woman (She's Homeless)	Crystal Waters
Lily Was Here	David A. Stewart Introducing Candy Dulfer
Summertime	D.J. Jazzy Jeff & The Fresh Prince
Walking In Memphis	Marc Cohn
(Everything I Do) I Do It For You	Bryan Adams
More Than Words	Extreme
How Can I Ease The Pain	Lisa Fischer
The Dream Is Still Alive	Wilson Phillips
It Ain't Over 'til It's Over	Lenny Kravitz
Every Heartbeat	Amy Grant
A Better Love	Londonbeat
Losing My Religion	R.E.M.
Temptation	Corina
Never Gonna Let You Down	Surface
I'll Be There	The Escape Club
Fading Like A Flower (Every Time You Leave)	Roxette
I'll Never Let You Go	Steelheart
Playground	Another Bad Creation
Wind Of Change	Scorpions
Do You Want Me	Salt-N-Pepa
Love And Understanding	Cher
Strike It Up	Black Box
Nights Like This (From "The Five Heartbeats")	After 7
I Can't Wait Another Minute	Hi-Five
Motownphilly	Boyz II Men
I Don't Wanna Cry	Mariah Carey
3 A.M. Eternal	The KLF
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
Crazy	Seal
Love Is A Wonderful Thing	Michael Bolton
Kissing You	Keith Washington
Elevate My Mind	Stereo MC's
My Body Says Yes	Titiyo
Exclusivity	Damian Dame
I Like The Way (The Kissing Game)	Hi-Five
Hard To Handle	The Black Crowes
Only Time Will Tell	Nelson
Now That We Found Love	Heavy D & The Boyz
Can't Forget You	Gloria Estefan
Love Desire	Sandee
The Motown Song	Rod Stewart
Ooh La La	David Hallyday
Higher Than Hope	Daryl Braithwaite
Let The Beat Hit 'Em	Lisa Lisa And Cult Jam
Too Many Walls	Cathy Dennis
Dirty Love	Thunder
Mama Said Knock You Out	LL Cool J
Love On A Rooftop	Desmond Child
Can I Call You My Girl	PC Quest
Time, Love And Tenderness	Michael Bolton
What A Price To Pay	Michael Damian
Life Goes On	Poison
Love Of A Lifetime	Firehouse
Don't Treat Me Bad	Firehouse
You Could Be Mine	Guns N' Roses
Couple Days Off	Huey Lewis & The News
Just Like You	Robbie Nevil
Learning To Fly	Tom Petty And The Heartbreakers
Unforgettable	Natalie Cole
Can You Stop The Rain	Peabo Bryson
See The Lights	Simple Minds
Your Love	Keith Sweat
Surrender	Trixter
With You	Tony Terry
Part Of Me, Part Of You	Glenn Frey
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Break Up To Make Up	Cynthia
Forever Amo'r	D'zyre
Love At First Sight	Styx
Borrowed Love	Bingo Boys
Pump It (Nice An' Hard)	Icy Blu
Someone	The Rembrandts
Pop Goes The Weasel	3rd Bass
Move Right Out	Rick Astley
Here We Go	C+C Music Factory/F. Williams
Touch Me (All Night Long)	Cathy Dennis
Monster	Fred Schneider
Got A Love For You	Jomanda
Kisses In The Night	Brandon
Going Through The Motions	Aftershock
Perfect World	Alias
Silent Lucidity	Queensryche
Blind Faith	Warrant
Baby Baby	Amy Grant
We Want The Funk	Gerardo
Summer Vacation	The Party
Shake It (Like A White Girl)	Jesse Jaymes
My Fallen Angel	Coro
Rhythm Of My Heart	Rod Stewart
Miracle	Whitney Houston
The Sound Of Your Voice	38 Special
