Kyrie	Mr. Mister
How Will I Know	Whitney Houston
Sara	Starship
Living In America	James Brown
The Sweetest Taboo	Sade
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Life In A Northern Town	The Dream Academy
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Secret Lovers	Atlantic Starr
These Dreams	Heart
A Love Bizarre	Sheila E.
King For A Day	Thompson Twins
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Burning Heart	Survivor
Conga	Miami Sound Machine
Russians	Sting
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
Day By Day	Hooters
Nikita	Elton John
That's What Friends Are For	Dionne & Friends
Sanctify Yourself	Simple Minds
Stages	ZZ Top
What You Need	INXS
I'm Your Man	Wham!
This Could Be The Night	Loverboy
Beat's So Lonely	Charlie Sexton
(How To Be A) Millionaire	ABC
Digital Display	Ready For The World
Rock Me Amadeus	Falco
Let's Go All The Way	Sly Fox
Another Night	Aretha Franklin
The Sun Always Shines on T.V.	a-ha
Manic Monday	The Bangles
Night Moves	Marilyn Martin
He'll Never Love You (Like I Do)	Freddie Jackson
Goodbye Is Forever	Arcadia
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
No Easy Way Out	Robert Tepper
Tender Love	Force M.D.'s
Calling America	Electric Light Orchestra
Kiss	Prince And The Revolution
Spies Like Us	Paul McCartney
I'm Not The One	The Cars
Bop	Dan Seals
Say You, Say Me	Lionel Richie
Addicted To Love	Robert Palmer
Walk Of Life	Dire Straits
I Can't Wait	Stevie Nicks
Talk To Me	Stevie Nicks
I Miss You	Klymaxx
Do Me Baby	Meli'sa Morgan
I'd Do It All Again	Sam Harris
Live Is Life	Opus
Go Home	Stevie Wonder
My Hometown	Bruce Springsteen
I Think It's Love	Jermaine Jackson
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
Le Bel Age (The Best Years)	Pat Benatar
Let Me Be The One	Five Star
Your Love	The Outfield
I Like You	Phyllis Nelson
Overjoyed	Stevie Wonder
The Super Bowl Shuffle	The Chicago Bears Shufflin' Crew
Goodbye	Night Ranger
Jimmy Mack	Sheena Easton
So Far Away	Dire Straits
The Power Of Love	Jennifer Rush
Baby Talk	Alisha
Saturday Love	Cherrelle With Alexander O'Neal
Somewhere	Barbra Streisand
West End Girls	Pet Shop Boys
For America	Jackson Browne
Something About You	Level 42
Lying	Peter Frampton
What Have You Done For Me Lately	Janet Jackson
Pleasure And Pain	Divinyls
All The Kings Horses	The Firm
Everything In My Heart	Corey Hart
Party All The Time	Eddie Murphy
Secret	Orchestral Manoeuvres In The Dark
It's All Right (Baby's Coming Back)	Eurythmics
Stereotomy	The Alan Parsons Project
Caravan Of Love	Isley, Jasper, Isley
Small Town	John Mellencamp
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
Alive & Kicking	Simple Minds
The Men All Pause	Klymaxx
Heart's On Fire	John Cafferty
A Little Bit Of Love (Is All It Takes)	New Edition
In My Dreams	Dokken
Everybody Dance	Ta Mara & The Seen
I Found Someone	Laura Branigan
Twist My Arm	The Pointer Sisters
Now And Forever (You And Me)	Anne Murray
Where Are You Now?	Jimmy Harnen With Synch
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Object Of My Desire	Starpoint
Wood Beez (Pray Like Aretha Franklin)	Scritti Politti
Strength	The Alarm
One Sunny Day (From Quicksilver)	Ray Parker,Jr. & Helen Terry
