Gonna Fly Now	Bill Conti
Undercover Angel	Alan O'Day
Got To Give It Up (Pt. I)	Marvin Gaye
Da Doo Ron Ron	Shaun Cassidy
Looks Like We Made It	Barry Manilow
Dreams	Fleetwood Mac
I Just Want To Be Your Everything	Andy Gibb
Angel In Your Arms	Hot
Jet Airliner	The Steve Miller Band
Margaritaville	Jimmy Buffett
Life In The Fast Lane	Eagles
My Heart Belongs To Me	Barbra Streisand
Do You Wanna Make Love	Peter Mccann
Feels Like The First Time	Foreigner
I'm In You	Peter Frampton
Lonely Boy	Andrew Gold
Lucille	Kenny Rogers
(Your Love Has Lifted Me) Higher And Higher	Rita Coolidge
High School Dance	The Sylvers
Whatcha Gonna Do?	Pablo Cruise
Love's Grown Deep	Kenny Nolan
You And Me	Alice Cooper
Heard It In A Love Song	The Marshall Tucker Band
Knowing Me, Knowing You	ABBA
Sir Duke	Stevie Wonder
You Made Me Believe In Magic	Bay City Rollers
You're My World	Helen Reddy
Luckenbach, Texas (Back To The Basics Of Love)	Waylon Jennings
I'm Your Boogie Man	KC And The Sunshine Band
Best Of My Love	The Emotions
It's Sad To Belong	England Dan & John Ford Coley
Easy	Commodores
Slow Dancin' Don't Turn Me On	Addrisi Brothers
Barracuda	Heart
All You Get From Love Is A Love Song	Carpenters
Gonna Fly Now (Theme From "Rocky")	Maynard Ferguson
Just A Song Before I Go	Crosby, Stills & Nash
Telephone Man	Meri Wilson
Give A Little Bit	Supertramp
The Killing Of Georgie (Part I And II)	Rod Stewart
Devil's Gun	C.J. & Company
Neon Nites	Atlanta Rhythm Section
I Don't Love You Anymore	Teddy Pendergrass
Amarillo	Neil Sedaka
Telephone Line	Electric Light Orchestra
You're Movin' Out Today	Bette Midler
Ariel	Dean Friedman
Ain't Gonna Bump No More (with No Big Fat Woman)	Joe Tex
Way Down	Elvis Presley
Handy Man	James Taylor
Superman	Celi Bee & The Buzzy Bunch
When I Need You	Leo Sayer
If It's The Last Thing I Do	Thelma Houston
Smoke From A Distant Fire	The Sanford/Townsend Band
Baby Don't Change Your Mind	Gladys Knight And The Pips
Save Me	Merrilee Rush
Don't Turn The Light Out	Cliff Richard
Couldn't Get It Right	Climax Blues Band
Here Comes Summer	Wildfire
Black Betty	Ram Jam
Come In From The Rain	Captain & Tennille
Seaside Woman	Suzy And The Red Stripes
On And On	Stephen Bishop
Slide	Slave
Peace Of Mind	Boston
(Remember The Days Of The) Old Schoolyard	Cat Stevens
Livin' In The Life	The Isley Brothers
Lady (put The Light On Me)	Brownsville Station
Runaway	Bonnie Raitt
It Was Almost Like A Song	Ronnie Milsap
Strawberry Letter 23	The Brothers Johnson
Sing It, Shout It	Starz
Walk Right In	Dr. Hook
The Doodle Song	Frankie Miller
I'm Going Down	Rose Royce
Lose Again	Linda Ronstadt
Swayin' To The Music (slow Dancin')	Johnny Rivers
People In Love	10cc
Uptown Festival (Part 1)	Shalamar
Back Together Again	Daryl Hall John Oates
Something About You	LeBlanc & Carr
Gonna Love You More	George Benson
Hotel California	Eagles
Only The Lucky	Walter Egan
Platinum Heroes	Bruce Foster
Don't Worry Baby	B.J. Thomas
Making A Good Thing Better	Olivia Newton-John
It Feels So Good To Be Loved So Bad	The Manhattans
Light Of A Clear Blue Morning	Dolly Parton
This Will Be A Night To Remember	Eddie Holman
While I'm Alone	Maze Featuring Frankie Beverly
Good Thing Man	Frank Lucas
Save Me	Donna McDaniel
Do What You Wanna Do	T-Connection
I Can't Help Myself	Eddie Rabbitt
Southern Nights	Glen Campbell
Whodunit	Tavares
Lido Shuffle	Boz Scaggs
Sheena Is A Punk Rocker	The Ramones
Hello Stranger	Yvonne Elliman
