Easier Said Than Done	The Essex
Sukiyaki	Kyu Sakamoto
Blue On Blue	Bobby Vinton
Hello Stranger	Barbara Lewis
It's My Party	Lesley Gore
One Fine Day	The Chiffons
Surf City	Jan & Dean
Memphis	Lonnie Mack
So Much In Love	The Tymes
Tie Me Kangaroo Down, Sport	Rolf Harris
You Can't Sit Down	The Dovells
Those Lazy-Hazy-Crazy Days Of Summer	Nat King Cole
Da Doo Ron Ron (When He Walked Me Home)	The Crystals
On Top Of Spaghetti	Tom Glazer And The Do-Re-Mi Children's Chorus
Pride And Joy	Marvin Gaye
My Summer Love	Ruby And The Romantics
Wipe Out	The Surfaris
Fingertips - Pt 2	Little Stevie Wonder
Still	Bill Anderson
Not Me	The Orlons
Harry The Hairy Ape	Ray Stevens
Birdland	Chubby Checker
Falling	Roy Orbison
Ring Of Fire	Johnny Cash
String Along	Rick Nelson
18 Yellow Roses	Bobby Darin
First Quarrel	Paul and Paula
Just One Look	Doris Troy
Come And Get These Memories	Martha & The Vandellas
I Love You Because	Al Martino
Shut Down	The Beach Boys
Detroit City	Bobby Bare
I Wish I Were A Princess	Little Peggy March
If My Pillow Could Talk	Connie Francis
No One	Ray Charles
Surfin' U.S.A.	The Beach Boys
Without Love (There Is Nothing)	Ray Charles
Hopeless	Andy Williams
The Good Life	Tony Bennett
Your Old Stand By	Mary Wells
Wildwood Days	Bobby Rydell
My True Confession	Brook Benton
Poor Little Rich Girl	Steve Lawrence
Swinging On A Star	Big Dee Irwin (with Little Eva)
(I Love You) Don't You Forget It	Perry Como
Don't Say Goodnight And Mean Goodbye	The Shirelles
Every Step Of The Way	Johnny Mathis
Goodnight My Love	The Fleetwoods
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Two Faces Have I	Lou Christie
Shake A Tail Feather	The Five Du-Tones
Come Go With Me	Dion
Be True To Yourself	Bobby Vee
Six Days On The Road	Dave Dudley
Denise	Randy & The Rainbows
Abilene	George Hamilton IV
Shake A Hand	Jackie Wilson & Linda Hopkins
Old Smokey Locomotion	Little Eva
The Love Of My Man	Theola Kilgore
Summer's Comin'	Kirby St. Romain
Hootenanny	The Glencoves
Gypsy Woman	Rick Nelson
Like The Big Guys Do	The Rocky Fellers
Blowin' In The Wind	Peter, Paul & Mary
Till Then	The Classics
Tips Of My Fingers	Roy Clark
Not Too Young To Get Married	Bob B. Soxx And The Blue Jeans
Don't Try To Fight It, Baby	Eydie Gorme
Jack The Ripper	Link Wray And The Wraymen
I (Who Have Nothing)	Ben E. King
Rat Race	The Drifters
Green, Green	The New Christy Minstrels
My Block	The Four Pennies
Rock Me In The Cradle Of Love	Dee Dee Sharp
Be Careful Of Stones That You Throw	Dion
Mockingbird	Inez Foxx with Charlie Foxx
I Can't Stop Loving You	Count Basie
Candy Girl	The 4 Seasons
Give Us Your Blessing	Ray Peterson
Judy's Turn To Cry	Lesley Gore
Will Power	The Cookies
Brenda	The Cupids
Cottonfields	Ace Cannon
When A Boy Falls In Love	Mel Carter
My Whole World Is Falling Down	Brenda Lee
Get Him	The Exciters
From Me To You	Del Shannon
Daughter	The Blenders
Land Of 1000 Dances	Chris Kenner
More	Kai Winding & Orchestra
I'm Afraid To Go Home	Brian Hyland
Dancin' Holiday	The Olympics
Antony And Cleopatra Theme	Ferrante & Teicher
Spring	Birdlegs & Pauline And Their Versatility Birds
Say Wonderful Things	Patti Page
Scarlett O'Hara	Lawrence Welk And His Orchestra
I Will Love You	Richard Chamberlain
Love Me All The Way	Kim Weston
True Love Never Runs Smooth	Gene Pitney
Tears Of Joy	Chuck Jackson
