Funkytown	Lipps, Inc.
Coming Up (Live At Glasgow)	Paul McCartney And Wings
Biggest Part Of Me	Ambrosia
The Rose	Bette Midler
Against The Wind	Bob Seger
It's Still Rock And Roll To Me	Billy Joel
Little Jeannie	Elton John
Steal Away	Robbie Dupree
Cars	Gary Numan
She's Out Of My Life	Michael Jackson
Cupid/I've Loved You For A Long Time	The Spinners
Call Me	Blondie
Let's Get Serious	Jermaine Jackson
Don't Fall In Love With A Dreamer	Kenny Rogers With Kim Carnes
Let Me Love You Tonight	Pure Prairie League
Shining Star	The Manhattans
Brass In Pocket (I'm Special)	Pretenders
Stomp!	The Brothers Johnson
Hurt So Bad	Linda Ronstadt
Tired Of Toein' The Line	Rocky Burnette
Should've Never Let You Go	Neil Sedaka & Dara Sedaka
One Fine Day	Carole King
Sexy Eyes	Dr. Hook
Magic	Olivia Newton-John
Wondering Where The Lions Are	Bruce Cockburn
Lost In Love	Air Supply
We Live For Love	Pat Benatar
I'm Alive	Electric Light Orchestra
More Love	Kim Carnes
Twilight Zone/Twilight Tone	The Manhattan Transfer
Two Places At The Same Time	Ray Parker Jr. & Raydio
Theme From New York, New York	Frank Sinatra
Answering Machine	Rupert Holmes
All Night Long	Joe Walsh
Gimme Some Lovin'	Blues Brothers
Ride Like The Wind	Christopher Cross
We Were Meant To Be Lovers	Photoglo
Angel Say No	Tommy Tutone
Misunderstanding	Genesis
Atomic	Blondie
Clones (We're All)	Alice Cooper
Stand By Me	Mickey Gilley
Ashes By Now	Rodney Crowell
Love The World Away	Kenny Rogers
In America	The Charlie Daniels Band
Somethin' 'Bout You Baby I Like	Glen Campbell & Rita Coolidge
A Lover's Holiday	Change
Walks Like A Lady	Journey
King Of The Hill	Rick Pinette & Oak
Is This Love	Pat Travers Band
New Romance (It's A Mystery)	Spider
Everything Works If You Let It	Cheap Trick
All Night Thing	The Invisible Man's Band
Lady	The Whispers
Take Your Time (Do It Right) Part 1	The S.O.S. Band
Back Together Again	Roberta Flack With Donny Hathaway
And The Cradle Will Rock...	Van Halen
Empire Strikes Back (Medley)	Meco
Let My Love Open The Door	Pete Townshend
Breakdown Dead Ahead	Boz Scaggs
All Out Of Love	Air Supply
It's For You	Player
JoJo	Boz Scaggs
Another Brick In The Wall (Part II)	Pink Floyd
Sailing	Christopher Cross
Power	The Temptations
Take You Tonight	Ozark Mountain Daredevils
Into The Night	Benny Mardones
Coming Down From Love	Bobby Caldwell
Sweet Sensation	Stephanie Mills
Make A Little Magic	The Dirt Band
Love Stinks	The J. Geils Band
Shotgun Rider	Joe Sun
Tulsa Time/Cocaine	Eric Clapton And His Band
I'm Happy Just To Dance With You	Anne Murray
Let's Go 'round Again	Average White Band
Landlord	Gladys Knight And The Pips
Fame	Irene Cara
Time For Me To Fly	REO Speedwagon
On The Rebound	Russ Ballard
One More Time For Love	Billy Preston & Syreeta
Take A Little Rhythm	Ali Thomson
Stop Your Sobbing	Pretenders
The Very Last Time	Utopia
The Blue Side	Crystal Gayle
Alabama Getaway	Grateful Dead
Someone That I Used To Love	Natalie Cole
Shandi	KISS
Old-Fashion Love	Commodores
Drivin' My Life Away	Eddie Rabbitt
Only The Lonely (Have A Reason To Be Sad)	La Flavour
Sisters Of The Moon	Fleetwood Mac
I Can't Help It	Andy Gibb & Olivia Newton-John
Train In Vain (Stand By Me)	The Clash
Gee Whiz	Bernadette Peters
With You I'm Born Again	Billy Preston & Syreeta
I Don't Want To Walk Without You	Barry Manilow
You May Be Right	Billy Joel
Dancing With The Mountains	John Denver
The Seduction (Love Theme)	James Last Band
