Mr. Lonely	Bobby Vinton
She's Not There	The Zombies
Ringo	Lorne Greene
Come See About Me	The Supremes
I Feel Fine	The Beatles
Time Is On My Side	The Rolling Stones
You Really Got Me	The Kinks
Baby Love	The Supremes
I'm Gonna Be Strong	Gene Pitney
Dance, Dance, Dance	The Beach Boys
Leader Of The Pack	The Shangri-Las
Mountain Of Love	Johnny Rivers
I'm Into Something Good	Herman's Hermits
Goin' Out Of My Head	Little Anthony And The Imperials
Ask Me	Elvis Presley With The Jordanaires
Everything's Alright	The Newbeats
Sha La La	Manfred Mann
Right Or Wrong	Ronnie Dove
Saturday Night At The Movies	The Drifters
Big Man In Town	The 4 Seasons Featuring the "Sound of Frankie Valli"
The Jerk	The Larks
Come A Little Bit Closer	Jay & The Americans
Walking In The Rain	The Ronettes
Any Way You Want It	The Dave Clark Five
Sidewalk Surfin'	Jan & Dean
The Wedding	Julie Rogers
Oh No Not My Baby	Maxine Brown
My Love, Forgive Me (Amore, Scusami)	Robert Goulet
She's A Woman	The Beatles
Amen	The Impressions
Gone, Gone, Gone	The Everly Brothers
Reach Out For Me	Dionne Warwick
She Understands Me	Johnny Tillotson
Too Many Fish In The Sea	The Marvelettes
Last Kiss	J. Frank Wilson and The Cavaliers
Willow Weep For Me	Chad & Jeremy
Is It True	Brenda Lee
Ain't That Loving You Baby	Elvis Presley
Thou Shalt Not Steal	Dick and DeeDee
How Sweet It Is To Be Loved By You	Marvin Gaye
We Could	Al Martino
As Tears Go By	Marianne Faithfull
One More Time	The Ray Charles Singers
Keep Searchin' (We'll Follow The Sun)	Del Shannon
Without The One You Love (Life's Not Worth While)	Four Tops
Run, Run, Run	The Gestures
Since I Don't Have You	Chuck Jackson
Have I The Right?	The Honeycombs
Love Potion Number Nine	The Searchers
Dear Heart	Andy Williams
Wild One	Martha & The Vandellas
Ain't It The Truth	Mary Wells
Dear Heart	Jack Jones
Do-Wacka-Do	Roger Miller
Walk Away	Matt Monro
Roses Are Red My Love	The "You Know Who" Group!
The 81	Candy & The Kisses
Leader Of The Laundromat	The Detergents
What Now	Gene Chandler
The Price	Solomon Burke
It Ain't Me, Babe	Johnny Cash
Listen Lonely Girl	Johnny Mathis
I'm Gonna Love You Too	The Hullaballoos
Don't Forget I Still Love You	Bobbi Martin
(There's) Always Something There To Remind Me	Sandie Shaw
Opportunity	The Jewels
Boom Boom	The Animals
Four Strong Winds	Bobby Bare
Hawaii Tattoo	The Waikikis
You're Nobody Till Somebody Loves You	Dean Martin
If You Want This Love	Sonny Knight
Getting Mighty Crowded	Betty Everett
It's All Over	Walter Jackson
Smile	Betty Everett & Jerry Butler
Lovin' Place	Gale Garnett
Sometimes I Wonder	Major Lance
You've Lost That Lovin' Feelin'	The Righteous Brothers
Do Anything You Wanna (Part I)	Harold Betters
Almost There	Andy Williams
A Woman's Love	Carla Thomas
I'll Be There	Gerry And The Pacemakers
I Don't Want To Walk Without You	Phyllis McGuire
Scratchy	Travis Wammack
I Found A Love Oh What A Love	Jo Ann & Troy
Makin' Whoopee	Ray Charles
Come On Do The Jerk	The Miracles
Party Girl	Tommy Roe
A Happy Guy	Rick Nelson
Promised Land	Chuck Berry
The Name Game	Shirley Ellis
Dear Heart	Henry Mancini And His Orchestra
You're The Only World I Know	Sonny James
(There'll Come A Day When) Ev'ry Little Bit Hurts	Bobby Vee
Talk To Me Baby	Barry Mann
Chained And Bound	Otis Redding
Endless Sleep	Hank Williams Jr.
Fiddler On The Roof	The Village Stompers
It'll Never Be Over For Me	Baby Washington
Unless You Care	Terry Black
My Buddy Seat	The Hondells
