Maniac	Michael Sembello
Sweet Dreams (Are Made Of This)	Eurythmics
The Safety Dance	Men Without Hats
Puttin' On The Ritz	Taco
Tell Her About It	Billy Joel
Every Breath You Take	The Police
She Works Hard For The Money	Donna Summer
Total Eclipse Of The Heart	Bonnie Tyler
Human Nature	Michael Jackson
I'll Tumble 4 Ya	Culture Club
Don't Cry	Asia
(Keep Feeling) Fascination	The Human League
Lawyers In Love	Jackson Browne
(she's) Sexy + 17	Stray Cats
Making Love Out Of Nothing At All	Air Supply
It's A Mistake	Men At Work
Far From Over	Frank Stallone
Human Touch	Rick Springfield
Promises, Promises	Naked Eyes
How Am I Supposed To Live Without You	Laura Branigan
King Of Pain	The Police
True	Spandau Ballet
China Girl	David Bowie
Stand Back	Stevie Nicks
Dead Giveaway	Shalamar
Take Me To Heart	Quarterflash
Don't You Get So Mad	Jeffrey Osborne
Kiss The Bride	Elton John
Hot Girls In Love	Loverboy
Lady Love Me (One More Time)	George Benson
Tell Her No	Juice Newton
Big Log	Robert Plant
Burning Down The House	Talking Heads
Islands In The Stream	Kenny Rogers Duet With Dolly Parton
You're Driving Me Out Of My Mind	Little River Band
Tonight, I Celebrate My Love	Peabo Bryson/Roberta Flack
Telefone (long Distance Love Affair)	Sheena Easton
One Thing Leads To Another	The Fixx
After The Fall	Journey
Hold Me 'til The Mornin' Comes	Paul Anka
It Must Be Love	Madness
Don't Forget To Dance	The Kinks
Cold Blooded	Rick James
Suddenly Last Summer	The Motels
Is There Something I Should Know	Duran Duran
Sitting At The Wheel	The Moody Blues
How Can I Refuse	Heart
High Time	Styx
What Am I Gonna Do (I'm So In Love With You)	Rod Stewart
Someone Belonging To Someone	Bee Gees
The Night	The Animals
Rainbow's End	Sergio Mendes
Everyday I Write The Book	Elvis Costello And The Attractions
I Don't Wanna Dance	Eddy Grant
Delirious	Prince
Can't Shake Loose	Agnetha Faltskog
Rock 'n' Roll Is King	Electric Light Orchestra
Don't You Know How Much I Love You	Ronnie Milsap
This Time	Bryan Adams
Miracles	Stacy Lattisaw
If Anyone Falls	Stevie Nicks
Bad Boys	Wham! U.K.
Rock Of Ages	Def Leppard
Flashdance...What A Feeling	Irene Cara
All Time High	Rita Coolidge
Never Gonna Let You Go	Sergio Mendes
Foolin'	Def Leppard
Words	F.R. David
Unconditional Love	Donna Summer
Freak-A-Zoid	Midnight Star
Ship To Shore	Chris de Burgh
Just Be Good To Me	The S.O.S. Band
Everyday People	Joan Jett & the Blackhearts
Sharp Dressed Man	ZZ Top
Do It Again/Billie Jean	Club House
Saved By Zero	The Fixx
Get It Right	Aretha Franklin
Hang On Now	Kajagoogoo
Fight Fire With Fire	Kansas
Living On The Edge	Jim Capaldi
All I Need To Know	Bette Midler
Blame It On Love	Smokey Robinson & Barbara Mitchell
Heart And Soul	Huey Lewis & The News
Solsbury Hill	Peter Gabriel
Spice Of Life	The Manhattan Transfer
Rockit	Herbie Hancock
What's She Got	Liquid Gold
Baby, What About You	Crystal Gayle
Trouble In Paradise	Jarreau
You Put The Beat In My Heart	Eddie Rabbitt
Take Away	Big Ric
Change	Tears For Fears
Just Got Lucky	Joboxers
Electric Avenue	Eddy Grant
1999	Prince
Garden Party	Herb Alpert
Our House	Madness
Fake Friends	Joan Jett & the Blackhearts
Cuts Like A Knife	Bryan Adams
Midnight Blue	Louise Tucker
