Dark Lady	Cher
Seasons In The Sun	Terry Jacks
Sunshine On My Shoulders	John Denver
Boogie Down	Eddie Kendricks
Mockingbird	Carly Simon & James Taylor
Bennie And The Jets	Elton John
Hooked On A Feeling	Blue Swede
Jet	Paul McCartney And Wings
Eres Tu (Touch The Wind)	Mocedades
Jungle Boogie	Kool & The Gang
Come And Get Your Love	Redbone
Rock On	David Essex
The Way We Were	Barbra Streisand
The Lord's Prayer	Sister Janet Mead
Trying To Hold On To My Woman	Lamont Dozier
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
My Sweet Lady	Cliff DeYoung
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
There Won't Be Anymore	Charlie Rich
Mighty Love - Pt. 1	The Spinners
Spiders & Snakes	Jim Stafford
A Very Special Love Song	Charlie Rich
Rock And Roll, Hoochie Koo	Rick Derringer
Lookin' For A Love	Bobby Womack
Sexy Mama	Moments
Love's Theme	Love Unlimited Orchestra
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Oh My My	Ringo Starr
Star	Stealers Wheel
I'll Have To Say I Love You In A Song	Jim Croce
Love Song	Anne Murray
Just Don't Want To Be Lonely	The Main Ingredient
Touch A Hand, Make A Friend	The Staple Singers
We're Getting Careless With Our Love	Johnnie Taylor
Put Your Hands Together	The O'Jays
WOLD	Harry Chapin
Tell Me A Lie	Sami Jo
I'll Be The Other Woman	The Soul Children
I've Got A Thing About You Baby/Take Good Care Of Her	Elvis Presley
Let It Ride	Bachman-Turner Overdrive
Last Time I Saw Him	Diana Ross
I Love	Tom T. Hall
Keep On Singing	Helen Reddy
On A Night Like This	Bob Dylan
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
I Like To Live The Love	B.B. King
You're Sixteen	Ringo Starr
Tubular Bells	Mike Oldfield
Honey Please, Can't Ya See	Barry White
The Loco-Motion	Grand Funk
Piano Man	Billy Joel
Let Me Be There	Olivia Newton-John
Energy Crisis '74	Dickie Goodman
Homely Girl	The Chi-lites
Outside Woman	Bloodstone
Would You Lay With Me (in A Field Of Stone)	Tanya Tucker
I Wish It Was Me	Tyrone Davis
Dancing Machine	Jackson 5
Thanks For Saving My Life	Billy Paul
She's Gone	Daryl Hall John Oates
Your Cash Ain't Nothin' But Trash	The Steve Miller Band
Star Baby	The Guess Who
Midnight At The Oasis	Maria Muldaur
Virginia (Touch Me Like You Do)	Bill Amesbury
Must Be Love	The James Gang
(i've Been) Searchin' So Long	Chicago
I'm A Train	Albert Hammond
It's Been A Long Time	The New Birth
Goin' Down Slow	Bobby "Blue" Bland
Unborn Child	Seals & Crofts
Touch And Go	Al Wilson
The Show Must Go On	Three Dog Night
Watching The River Run	Loggins & Messina
Mighty Mighty	Earth, Wind & Fire
Once You Understand	Think
Last Kiss	Wednesday
Help Me	Joni Mitchell
Oh Very Young	Cat Stevens
Skybird	Neil Diamond
She	Southcote
The Payback - Part I	James Brown
Americans	Byron MacGregor
Dance With The Devil	Cozy Powell
You Make Me Feel Brand New	The Stylistics
Heavenly	The Temptations
Pepper Box	The Peppers
Happiness Is Me And You	Gilbert O'Sullivan
The Entertainer	Marvin Hamlisch/"The Sting"
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
Summer Breeze (Part 1)	The Isley Brothers
Best Thing That Ever Happened To Me	The Persuaders
Beyond The Blue Horizon	Lou Christie
Mr. Natural	Bee Gees
Rock Around The Clock	Bill Haley And His Comets
Music Eyes	Heartsfield
Chameleon	Herbie Hancock
Keep It In The Family	Leon Haywood
Loving Arms	Kris Kristofferson & Rita Coolidge
Might Just Take Your Life	Deep Purple
Put A Little Love Away	The Emotions
