Harlem Shake	Baauer
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
When I Was Your Man	Bruno Mars
I Knew You Were Trouble.	Taylor Swift
Stay	Rihanna Featuring Mikky Ekko
Started From The Bottom	Drake
Scream & Shout	will.i.am & Britney Spears
Suit & Tie	Justin Timberlake Featuring JAY Z
Locked Out Of Heaven	Bruno Mars
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Love Me	Lil Wayne Featuring Drake & Future
Heart Attack	Demi Lovato
Ho Hey	The Lumineers
Daylight	Maroon 5
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Sweet Nothing	Calvin Harris Featuring Florence Welch
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Feel This Moment	Pitbull Featuring Christina Aguilera
I Will Wait	Mumford & Sons
Radioactive	Imagine Dragons
Pour It Up	Rihanna
It's Time	Imagine Dragons
Catch My Breath	Kelly Clarkson
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Try	P!nk
Poetic Justice	Kendrick Lamar Featuring Drake
Gangnam Style	PSY
Little Talks	Of Monsters And Men
Sure Be Cool If You Did	Blake Shelton
Sail	AWOLNATION
Carry On	fun.
Diamonds	Rihanna
Skyfall	Adele
Troublemaker	Olly Murs Featuring Flo Rida
One More Night	Maroon 5
Home	Phillip Phillips
Hall Of Fame	The Script Featuring will.i.am
Some Nights	fun.
Wanted	Hunter Hayes
All Gold Everything	Trinidad James
C'mon	Ke$ha
Adorn	Miguel
Better Dig Two	The Band Perry
One Way Or Another (Teenage Kicks)	One Direction
One Of Those Nights	Tim McGraw
Two Black Cadillacs	Carrie Underwood
Just Give Me A Reason	P!nk Featuring Nate Ruess
Swimming Pools (Drank)	Kendrick Lamar
Kiss You	One Direction
Downtown	Lady Antebellum
Mama's Broken Heart	Miranda Lambert
I'm Different	2 Chainz
I Drive Your Truck	Lee Brice
Tornado	Little Big Town
My Songs Know What You Did In The Dark (Light Em Up)	Fall Out Boy
Get Your Shine On	Florida Georgia Line
Loveeeeeee Song	Rihanna Featuring Future
Hey Porsche	Nelly
Bugatti	Ace Hood Featuring Future & Rick Ross
Somebody's Heartbreak	Hunter Hayes
Bad	Wale Featuring Tiara Thomas Or Rihanna
Neva End	Future
R.I.P.	Young Jeezy Featuring 2 Chainz
Wicked Games	The Weeknd
Can't Hold Us	Macklemore & Ryan Lewis Featuring Ray Dalton
Pirate Flag	Kenny Chesney
Merry Go 'round	Kacey Musgraves
I Love It	Icona Pop Featuring Charli XCX
Wagon Wheel	Darius Rucker
If I Didn't Have You	Thompson Square
Give It All We Got Tonight	George Strait
Alive	Krewella
Next To Me	Emeli Sande
Who Booty	Jonn Hart Featuring IamSU!
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Don't Stop The Party	Pitbull Featuring TJR
Tip It On Back	Dierks Bentley
Don't Judge Me	Chris Brown
Battle Scars	Lupe Fiasco & Guy Sebastian
Power Trip	J. Cole Featuring Miguel
Remember You	Wiz Khalifa Featuring The Weeknd
We Still In This B****	B.o.B Featuring T.I. & Juicy J
I Can Take It From There	Chris Young
Stubborn Love	The Lumineers
Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick
Like Jesus Does	Eric Church
Dope	Tyga Featuring Rick Ross
Ball	T.I. Featuring Lil Wayne
Little Things	One Direction
Gold	Britt Nicole
Love Sosa	Chief Keef
As Your Friend	Afrojack Featuring Chris Brown
Changed	Rascal Flatts
It's A Beautiful Day	Michael Buble
Love And War	Tamar Braxton
Va Va Voom	Nicki Minaj
Mirrors	Justin Timberlake
More Than Miles	Brantley Gilbert
Levitate	Hadouken!
Guap	Big Sean
