Big Bad John	Jimmy Dean
Runaround Sue	Dion
Fool #1	Brenda Lee
Bristol Stomp	The Dovells
Tower Of Strength	Gene McDaniels
Hit The Road Jack	Ray Charles and his Orchestra
The Fly	Chubby Checker
This Time	Troy Shondell
Please Mr. Postman	The Marvelettes
Sad Movies (Make Me Cry)	Sue Thompson
A Wonder Like You	Rick Nelson
Goodbye Cruel World	James Darren
You're The Reason	Bobby Edwards
Let's Get Together	Hayley Mills and Hayley Mills
I Love How You Love Me	The Paris Sisters
Everlovin'	Rick Nelson
Heartaches	The Marcels
Ya Ya	Lee Dorsey
Crazy	Patsy Cline
I Understand (Just How You Feel)	The G-Clefs
Big John	The Shirelles
Crying	Roy Orbison
Sweets For My Sweet	The Drifters
God, Country And My Baby	Johnny Burnette
The Way You Look Tonight	The Lettermen
Moon River	Jerry Butler
Candy Man	Roy Orbison
School Is In	Gary U.S. Bonds
Tonight	Ferrante & Teicher
I Wanna Thank You	Bobby Rydell
Mexico	Bob Moore and His Orch.
September In The Rain	Dinah Washington
(He's My) Dreamboat	Connie Francis
Just Out Of Reach (Of My Two Open Arms)	Solomon Burke
What A Party	Fats Domino
Moon River	Henry Mancini And His Orchestra
Take Five	The Dave Brubeck Quartet
Foot Stomping - Part 1	The Flares
Please Don't Go	Ral Donner
Don't Blame Me	The Everly Brothers
So Long Baby	Del Shannon
Look In My Eyes	The Chantels
Rock-A-Bye Your Baby With A Dixie Melody	Aretha Franklin
Let There Be Drums	Sandy Nelson
Stick Shift	Duals
Walk On By	Leroy Van Dyke
You Must Have Been A Beautiful Baby	Bobby Darin
Anybody But Me	Brenda Lee
Gypsy Woman	The Impressions
Under The Moon Of Love	Curtis Lee
I Really Love You	The Stereos
In The Middle Of A Heartache	Wanda Jackson
The Bridge Of Love	Joe Dowell
Take Good Care Of My Baby	Bobby Vee
The Twist	Chubby Checker
Little Sister	Elvis Presley
Run To Him	Bobby Vee
The Way I Am	Jackie Wilson
I'll Be Seeing You	Frank Sinatra
Everybody's Gotta Pay Some Dues	The Miracles
Morning After	Mar-Keys
Happy Birthday, Sweet Sixteen	Neil Sedaka
Smile	Timi Yuro
Danny Boy	Andy Williams
Blue Moon	The Ventures
I Don't Know Why	Linda Scott
Somewhere Along The Way	Steve Lawrence
Your Ma Said You Cried In Your Sleep Last Night	Kenny Dino
Sometime	Gene Thomas
The Lion Sleeps Tonight	The Tokens
Tonight	Eddie Fisher
Town Without Pity	Gene Pitney
Bright Lights Big City	Jimmy Reed
For Me And My Gal	Freddy Cannon
Language Of Love	John D. Loudermilk
Three Steps From The Altar	Shep And The Limelites
Young Boy Blues	Ben E. King
On Bended Knees	Clarence Henry
Come September	Billy Vaughn And His Orchestra
Johnny Will	Pat Boone
'Til	The Angels
Fly By Night	Andy Williams
The Gypsy Rover	The Highwaymen
Up A Lazy River	Si Zentner And His Orchestra
The Comancheros	Claude King
It's All Because	Linda Scott
I Cried My Last Tear	Ernie K-Doe
My Heart Belongs To Only You	Jackie Wilson
It Will Stand	The Showmen
It's Too Soon To Know	Etta James
Tennessee Flat-Top Box	Johnny Cash
Well, I Told You	The Chantels
I Wonder (If Your Love Will Ever Belong To Me)	The Pentagons
The Door To Paradise	Bobby Rydell
A Certain Girl	Ernie K-Doe
Soothe Me	Sims Twins
It Do Me So Good	Ann-Margret
Never, Never	The Jive Five With Joe Rene And Orchestra
I Know (You Don't Love Me No More)	Barbara George
Funny How Time Slips Away	Jimmy Elledge
