Alone	Heart
I Wanna Dance With Somebody (Who Loves Me)	Whitney Houston
Shakedown (From "Beverly Hills Cop II")	Bob Seger
Songbird	Kenny G
Don't Disturb This Groove	The System
Point Of No Return	Expose
Funkytown	Pseudo Echo
Something So Strong	Crowded House
Head To Toe	Lisa Lisa And Cult Jam
I Still Haven't Found What I'm Looking For	U2
I Want Your Sex (From "Beverly Hills Cop II")	George Michael
Rhythm Is Gonna Get You	Gloria Estefan & Miami Sound Machine
Girls, Girls, Girls	Motley Crue
Every Little Kiss	Bruce Hornsby & The Range
Heart And Soul	T'Pau
Just To See Her	Smokey Robinson
In Too Deep	Genesis
Kiss Him Goodbye	The Nylons
Always	Atlantic Starr
The Pleasure Principle	Janet Jackson
Lessons In Love	Level 42
Cross My Broken Heart (From "Beverly Hills Cop II")	The Jets
I'd Still Say Yes	Klymaxx
Happy	Surface
Wot's It To Ya	Robbie Nevil
Diamonds	Herb Alpert
Moonlighting (Theme)	Al Jarreau
Only In My Dreams	Debbie Gibson
Luka	Suzanne Vega
Endless Nights	Eddie Money
Back In The High Life Again	Steve Winwood
Rock Steady	The Whispers
Don't Mean Nothing	Richard Marx
Seven Wonders	Fleetwood Mac
Hearts On Fire	Bryan Adams
Flames Of Paradise	Jennifer Rush (Duet With Elton John)
Wanted Dead Or Alive	Bon Jovi
Meet Me Half Way	Kenny Loggins
You Keep Me Hangin' On	Kim Wilde
Sweet Sixteen	Billy Idol
It's Not Over ('til It's Over)	Starship
One For The Mockingbird	Cutting Crew
Who's That Girl	Madonna
Why You Treat Me So Bad	Club Nouveau
Hypnotize Me (From "Innerspace")	Wang Chung
The Lady In Red	Chris de Burgh
Soul City	Partland Brothers
La Bamba	Los Lobos
Living In A Box	Living In A Box
Since You've Been Gone	The Outfield
Can't We Try	Dan Hill (Duet With Vonda Shepard)
Give To Live	Sammy Hagar
Nothing's Gonna Change My Love For You	Glenn Medeiros
Mary's Prayer	Danny Wilson
I Want Action	Poison
Still A Thrill	Jody Watley
Good Times (From "The Lost Boys")	INXS & Jimmy Barnes
Rock The Night	Europe
Under The Boardwalk	Bruce Willis
Dreamin'	Will To Power
Lies	Jonathan Butler
I'll Still Be Loving You	Restless Heart
These Times Are Hard For Lovers	John Waite
That's Freedom	Tom Kimmel
Jam Tonight	Freddie Jackson
Love Power	Dionne Warwick & Jeffrey Osborne
Why Can't I Be You?	The Cure
With or Without You	U2
Right On Track	The Breakfast Club
When Smokey Sings	ABC
Here I Go Again	Whitesnake
Wipeout	Fat Boys & The Beach Boys
Who Found Who	Jellybean Featuring Elisa Fiorillo
If She Would Have Been Faithful. . .	Chicago
Wild Horses	Gino Vannelli
Holiday	Kool & The Gang
Jammin' Me	Tom Petty And The Heartbreakers
In Love With Love	Debbie Harry
Shattered Glass	Laura Branigan
Still Of The Night	Whitesnake
Want You For My Girlfriend	4 By Four
Give Me All Night	Carly Simon
Why Should I Cry?	Nona Hendryx
Stand Back	The Fabulous Thunderbirds
Fascinated	Company B
Jane's Getting Serious	Jon Astley
(I Just) Died In Your Arms	Cutting Crew
Ready Or Not	Lou Gramm
I'm Bad	LL Cool J
Hearts Away	Night Ranger
Rock-A-Lott	Aretha Franklin
Big Love	Fleetwood Mac
Kiss And Tell	The Breakfast Club
Niagara Falls	Chicago
Looking For A New Love	Jody Watley
Shy Boys	Ana
Why Can't This Night Go On Forever	Journey
Heat Of The Night	Bryan Adams
La Isla Bonita	Madonna
The Finer Things	Steve Winwood
