Lost In Your Eyes	Debbie Gibson
The Lover In Me	Sheena Easton
Straight Up	Paula Abdul
The Living Years	Mike + The Mechanics
You Got It (The Right Stuff)	New Kids On The Block
Wild Thing	Tone-Loc
What I Am	Edie Brickell & New Bohemians
Roni	Bobby Brown
Surrender To Me (From "Tequila Sunrise")	Ann Wilson & Robin Zander
Paradise City	Guns N' Roses
She Wants To Dance With Me	Rick Astley
Girl You Know It's True	Milli Vanilli
My Heart Can't Tell You No	Rod Stewart
A Little Respect	Erasure
Born To Be My Baby	Bon Jovi
Don't Tell Me Lies	Breathe
Eternal Flame	The Bangles
I Beg Your Pardon	Kon Kan
Dial My Heart	The Boys
Dreamin'	Vanessa Williams
You're Not Alone	Chicago
Walking Away	Information Society
Just Because	Anita Baker
When I'm With You	Sheriff
The Look	Roxette
Walk The Dinosaur	Was (Not Was)
The Love In Your Eyes	Eddie Money
Stand	R.E.M.
You Got It	Roy Orbison
She Drives Me Crazy	Fine Young Cannibals
More Than You Know	Martika
Superwoman	Karyn White
I Wanna Have Some Fun	Samantha Fox
When The Children Cry	White Lion
Cryin'	Vixen
The Last Mile	Cinderella
Your Mama Don't Dance	Poison
Angel Of Harlem	U2
All This Time	Tiffany
She Won't Talk To Me	Luther Vandross
Feels So Good	Van Halen
The Way You Love Me	Karyn White
All She Wants Is	Duran Duran
Second Chance	Thirty Eight Special
Orinoco Flow (Sail Away)	Enya
Thinking Of You	SaFire
We've Saved The Best For Last	Kenny G
Room To Move	Animotion
24/7	Dino
Heaven Help Me	Deon Estus With George Michael
Can You Stand The Rain	New Edition
Bring Down The Moon	Boy Meets Girl
My Prerogative	Bobby Brown
Sincerely Yours	Sweet Sensation (With Romeo J.D.)
Don't Rush Me	Taylor Dayne
One	Metallica
Armageddon It	Def Leppard
Into You	Giant Steps
Every Rose Has Its Thorn	Poison
Funky Cold Medina	Tone-Loc
Rocket	Def Leppard
I Wanna Be The One	Stevie B
End Of The Line	Traveling Wilburys
Holding On	Steve Winwood
A Shoulder To Cry On	Tommy Page
Fading Away	Will To Power
Birthday Suit (From "Sing")	Johnny Kemp
Two Hearts	Phil Collins
Driven Out	The Fixx
Radio Romance	Tiffany
Got It Made	Crosby, Stills, Nash & Young
It's Only Love	Simply Red
Seventeen	Winger
Give Me The Keys (And I'll Drive You Crazy)	Huey Lewis & The News
Never Had A Lot To Lose	Cheap Trick
Where Are You Now?	Jimmy Harnen With Synch
Tribute (Right On)	The Pasadenas
Kokomo (From"Cocktail" )	The Beach Boys
Doctorin' The Tardis	The Timelords
Halleluiah Man	Love And Money
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
I'll Be There For You	Bon Jovi
I Remember Holding You	Boys Club
Little Liar	Joan Jett & the Blackhearts
Tears Run Rings	Marc Almond
Iko Iko (From "Rain Man")	The Belle Stars
Shake For The Sheik	The Escape Club
This Time	Kiara (Duet With Shanice Wilson)
Tell Her	Kenny Loggins
Good Life	Inner City
Falling Out Of Love	Ivan Neville
I Can't Face The Fact	Gina Go-Go
The Great Commandment	Camouflage
Imagine	Tracie Spencer
Let The River Run (Theme From "Working Girl")	Carly Simon
Cross My Heart	Eighth Wonder
Wind Beneath My Wings (From "Beaches")	Bette Midler
As Long As You Follow	Fleetwood Mac
Look Away	Chicago
It's No Secret	Kylie Minogue
