All For Love	Bryan Adams/Rod Stewart/Sting
Hero	Mariah Carey
The Power Of Love	Celine Dion
Breathe Again	Toni Braxton
The Sign	Ace Of Base
All That She Wants	Ace Of Base
Said I Loved You...But I Lied	Michael Bolton
Again	Janet Jackson
Please Forgive Me	Bryan Adams
Shoop	Salt-N-Pepa
Getto Jam	Domino
Linger	The Cranberries
Understanding	Xscape
Because The Night	10,000 Maniacs
Can We Talk	Tevin Campbell
Whatta Man	Salt-N-Pepa Featuring En Vogue
Never Keeping Secrets	Babyface
Cry For You	Jodeci
I Can See Clearly Now (From "Cool Runnings")	Jimmy Cliff
Whoomp! (There It Is)	Tag Team
Mr. Vain	Culture Beat
Because Of Love	Janet Jackson
So Much In Love	All-4-One
Amazing	Aerosmith
Found Out About You	Gin Blossoms
Jessie	Joshua Kadison
U.N.I.T.Y.	Queen Latifah
Choose	Color Me Badd
Dreams	Gabrielle
Cantaloop (Flip Fantasia)	US3
Rock And Roll Dreams Come Through	Meat Loaf
Gangsta Lean	DRS
Stay	Eternal
Now And Forever	Richard Marx
Without You/Never Forget You	Mariah Carey
Groove Thang	Zhane
Keep Ya Head Up	2Pac
What's My Name?	Snoop Dogg
What Is Love	Haddaway
(Lay Your Head On My) Pillow	Tony Toni Tone
Will You Be There (In The Morning)	Heart
Life (Everybody Needs Somebody To Love)	Haddaway
Having A Party	Rod Stewart
Miss You In A Heartbeat	Def Leppard
I'd Do Anything For Love (But I Won't Do That)	Meat Loaf
Dreamlover	Mariah Carey
Everyday	Phil Collins
I'm In The Mood	CeCe Peniston
Just Kickin' It	Xscape
Hey Mr. D.J.	Zhane
Mary Jane's Last Dance	Tom Petty And The Heartbreakers
All About Soul	Billy Joel
Goody Goody	Lisette Melendez
Slow And Easy	Zapp & Roger
Cannonball	The Breeders
Always On My Mind	SWV
Sex Me (Parts I & II)	R. Kelly
Loser	Beck
Bump N' Grind	R. Kelly
Never Should've Let You Go (From "Sister Act 2")	Hi-Five
U Send Me Swingin'	Mint Condition
Stay (Faraway, So Close!)	U2
Time And Chance	Color Me Badd
Award Tour	A Tribe Called Quest
I'll Be Loving You	Collage
Funk Dat/Why Is It?	Sagat
(I Know I Got) Skillz	Shaquille O'Neal
Dunkie Butt (Please Please Please)	12 Gauge
You Don't Have To Worry	Mary J. Blige
Dirty Dawg	NKOTB
Higher Ground	UB40
Gin And Juice	Snoop Doggy Dogg
Betcha'll Never Find	Chantay Savage
Wild World	Mr. Big
Zunga Zeng	K7
Laid	James
Real Muthaphuckkin G's	Eazy-E
John Deere Green	Joe Diffie
Anniversary	Tony Toni Tone
Mmm Mmm Mmm Mmm	Crash Test Dummies
One On One	To Be Continued...
We Ain't Goin' Out Like That	Cypress Hill
Give It Up	The Goodmen
Yours	Shai
If That's Your Boyfriend (He Wasn't Last Night)	MeShell Ndegeocello
Both Sides Of The Story	Phil Collins
I Love Music (From "Carlito's Way")	Rozalla
Come Clean	Jeru The Damaja
I Never Knew Love	Doug Stone
Sentimental	Kenny G
True Love	Elton John & Kiki Dee
Boom Shak A-Tack	Born Jamericans
Sound Of Da Police	KRS-One
Runaway Love	Johnny O
I'm In Love	Lisa Keith
Indo Smoke (From "Poetic Justice")	Mista Grimm
Fast As You	Dwight Yoakam
Really Doe	Ice Cube
Into Your Arms	The Lemonheads
Looking For Mr. Do Right	Jade
