God's Plan	Drake
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Meant To Be	Bebe Rexha & Florida Georgia Line
Psycho	Post Malone Featuring Ty Dolla $ign
The Middle	Zedd, Maren Morris & Grey
Havana	Camila Cabello Featuring Young Thug
Pray For Me	The Weeknd & Kendrick Lamar
Look Alive	BlocBoy JB Featuring Drake
All The Stars	Kendrick Lamar & SZA
Stir Fry	Migos
Rockstar	Post Malone Featuring 21 Savage
Let You Down	NF
New Rules	Dua Lipa
Ric Flair Drip	Offset & Metro Boomin
Never Be The Same	Camila Cabello
Mine	Bazzi
Him & I	G-Eazy & Halsey
Sad!	XXXTENTACION
Thunder	Imagine Dragons
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
I Fall Apart	Post Malone
Lights Down Low	MAX Featuring gnash
Whatever It Takes	Imagine Dragons
Plug Walk	Rich The Kid
Say Something	Justin Timberlake Featuring Chris Stapleton
Bad At Love	Halsey
Feel It Still	Portugal. The Man
Everyday	Logic & Marshmello
Marry Me	Thomas Rhett
Bartier Cardi	Cardi B Featuring 21 Savage
Wait	Maroon 5
Wolves	Selena Gomez X Marshmello
You Make It Easy	Jason Aldean
Outside Today	YoungBoy Never Broke Again
Heaven	Kane Brown
Love.	Kendrick Lamar Featuring Zacari
How Long	Charlie Puth
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
MotorSport	Migos, Nicki Minaj & Cardi B
Friends	Marshmello & Anne-Marie
Young Dumb & Broke	Khalid
New Freezer	Rich The Kid Featuring Kendrick Lamar
Sky Walker	Miguel Featuring Travis Scott
Broken Halos	Chris Stapleton
44 More	Logic
Plain Jane	A$AP Ferg Featuring Nicki Minaj
Sorry Not Sorry	Demi Lovato
Top Off	DJ Khaled Featuring JAY Z, Future & B
Billy	6ix9ine
Most People Are Good	Luke Bryan
Gummo	6ix9ine
Dura	Daddy Yankee
Zombie	Bad Wolves
Five More Minutes	Scotty McCreery
Indica Badu	Logic Featuring Wiz Khalifa
Singles You Up	Jordan Davis
Love Lies	Khalid & Normani
Changes	XXXTENTACION
Contra	Logic
Lemon	N*E*R*D & Rihanna
Nowadays	Lil Skies Featuring Landon Cube
NBAYoungboat	Lil Yachty Featuring NBA YoungBoy
IDGAF	Dua Lipa
All On Me	Devin Dawson
El Farsante	Ozuna & Romeo Santos
No Excuses	Meghan Trainor
Overnight	Logic
Walk It Talk It	Migos Featuring Drake
Pick It Up	Famous Dex Featuring A$AP Rocky
X	Nicky Jam x J Balvin
Hardaway	Derez De'Shon
66	Lil Yachty Featuring Trippie Redd
Midnight	Logic
Tell Me You Love Me	Demi Lovato
Powerglide	Rae Sremmurd & Juicy J
The Long Way	Brett Eldredge
Red Roses	Lil Skies Featuring Landon Cube
Betrayed	Lil Xan
No Smoke	YoungBoy Never Broke Again
Written In The Sand	Old Dominion
I Like Me Better	Lauv
Wassup	Logic Featuring Big Sean
Delicate	Taylor Swift
River	Eminem Featuring Ed Sheeran
When We	Tank
Yuck	Logic
Boom!	Lil Yachty Featuring Ugly God
Booty	Blac Youngsta
Beautiful Trauma	P!nk
This Is Me	Keala Settle & The Greatest Showman Ensemble
Narcos	Migos
X	ScHoolboy Q, 2 Chainz & Saudi
At The Club	Jacquees X Dej Loaf
I Lived It	Blake Shelton
She's With Me	High Valley
BoomTrap Protocol	Logic
Warm It Up	Logic Featuring Young Sinatra
Echame La Culpa	Luis Fonsi & Demi Lovato
Dark Knight Dummo	Trippie Redd Featuring Travis Scott
