Mood	24kGoldn Featuring iann dior
Positions	Ariana Grande
Blinding Lights	The Weeknd
Holy	Justin Bieber Featuring Chance The Rapper
Go Crazy	Chris Brown & Young Thug
Anyone	Justin Bieber
Levitating	Dua Lipa Featuring DaBaby
Laugh Now Cry Later	Drake Featuring Lil Durk
Bang!	AJR
I Hope	Gabby Barrett Featuring Charlie Puth
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Lemonade	Internet Money & Gunna Featuring Don Toliver & NAV
34+35	Ariana Grande Feat. Doja Cat & Megan Thee Stallion
Therefore I Am	Billie Eilish
Kings & Queens	Ava Max
Body	Megan Thee Stallion
Dakiti	Bad Bunny & Jhay Cortez
Lonely	Justin Bieber & benny blanco
Better Together	Luke Combs
What You Know Bout Love	Pop Smoke
Whoopty	CJ
Willow	Taylor Swift
Good Days	SZA
Before You Go	Lewis Capaldi
Dynamite	BTS
Rockstar	DaBaby Featuring Roddy Ricch
More Than My Hometown	Morgan Wallen
I Should Probably Go To Bed	Dan + Shay
Afterglow	Ed Sheeran
Starting Over	Chris Stapleton
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Happy Anywhere	Blake Shelton Featuring Gwen Stefani
Champagne Night	Lady A
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
WAP	Cardi B Featuring Megan Thee Stallion
Monster	Shawn Mendes & Justin Bieber
Pretty Heart	Parker McCollum
On Me	Lil Baby
Diamonds	Sam Smith
You Broke Me First.	Tate McRae
My Ex's Best Friend	Machine Gun Kelly X blackbear
Watermelon Sugar	Harry Styles
Hawai	Maluma & The Weeknd
Cry Baby	Megan Thee Stallion Featuring DaBaby
Hole In The Bottle	Kelsea Ballerini
Save Your Tears	The Weeknd & Ariana Grande
Holiday	Lil Nas X
Good Time	Niko Moon
Big, Big Plans	Chris Lane
Love You Like I Used To	Russell Dickerson
Forever After All	Luke Combs
B.S.	Jhene Aiko Featuring H.E.R.
7 Summers	Morgan Wallen
Without You	The Kid LAROI
Mr. Right Now	21 Savage & Metro Boomin Featuring Drake
You're Mines Still	Yung Bleu Featuring Drake
Take You Dancing	Jason Derulo
Throat Baby (Go Baby)	BRS Kash
Still Trappin'	Lil Durk & King Von
Prisoner	Miley Cyrus Featuring Dua Lipa
Tyler Herro	Jack Harlow
Hit Different	SZA Featuring Ty Dolla $ign
Back To The Streets	Saweetie Featuring Jhene Aiko
Beers And Sunshine	Darius Rucker
Golden	Harry Styles
Damage	H.E.R.
Put Your Records On	Ritt Momney
What's Your Country Song	Thomas Rhett
Happy Does	Kenny Chesney
Monsters	All Time Low Featuring Demi Lovato & blackbear 
Midnight Sky	Miley Cyrus
Down To One	Luke Bryan
Bichota	Karol G
Backdoor	Lil Durk
Just The Way	Parmalee x Blanco Brown
Ain't Always The Cowboy	Jon Pardi
The Good Ones	Gabby Barrett
Adderall (Corvette Corvette)	Popp Hunna
Long Live	Florida Georgia Line
So Done	The Kid LAROI
Somebody's Problem	Morgan Wallen
Moonwalking In Calabasas	DDG
Way Out	Jack Harlow Featuring Big Sean
Stay Down	Lil Durk, 6LACK & Young Thug
Some Girls	Jameson Rodgers
Took Her To The O	King Von
Girl Like Me	Black Eyed Peas X Shakira
Momma's House	Dustin Lynch
One Too Many	Keith Urban Duet With P!nk
Kacey Talk	YoungBoy Never Broke Again
Wonder	Shawn Mendes
La Noche de Anoche	Bad Bunny & Rosalia
Back In Blood	Pooh Shiesty Featuring Lil Durk
Hell Of A View	Eric Church
Almost Maybes	Jordan Davis
Everywhere But On	Matt Stell
Lady	Brett Young
Still Goin Down	Morgan Wallen
Reminds Me Of You	The Kid LAROI & Juice WRLD
Heat Waves	Glass Animals
