Michael	The Highwaymen
Wooden Heart	Joe Dowell
Tossin' And Turnin'	Bobby Lewis
You Don't Know What You've Got (Until You Lose It)	Ral Donner
School Is Out	Gary U.S. Bonds
Take Good Care Of My Baby	Bobby Vee
My True Story	The Jive Five With Joe Rene And Orchestra
Hurt	Timi Yuro
Don't Bet Money Honey	Linda Scott
As If I Didn't Know	Adam Wade
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night)	Lonnie Donegan And His Skiffle Group
I Fall To Pieces	Patsy Cline
Last Night	Mar-Keys
Who Put The Bomp (In The Bomp, Bomp, Bomp)	Barry Mann
Little Sister	Elvis Presley
Crying	Roy Orbison
I'm Gonna Knock On Your Door	Eddie Hodges
Amor	Ben E. King
I Just Don't Understand	Ann-Margret
Without You	Johnny Tillotson
The Mountain's High	Dick and DeeDee
I Like It Like That, Part 1	Chris Kenner
When We Get Married	The Dreamlovers
A Little Bit Of Soap	The Jarmels
Pretty Little Angel Eyes	Curtis Lee
I Dreamed Of A Hill-Billy Heaven	Tex Ritter
Let The Four Winds Blow	Fats Domino
Sea Of Heartbreak	Don Gibson
I'll Never Smile Again	The Platters
Nag	The Halos
Frankie And Johnny	Brook Benton
(Marie's The Name) His Latest Flame	Elvis Presley
Let Me Belong To You	Brian Hyland
Big Cold Wind	Pat Boone
Transistor Sister	Freddy Cannon
Lover's Island	The Blue Jays
I Don't Want To Take A Chance	Mary Wells
It's Gonna Work Out Fine	Ike & Tina Turner
Don't Cry, Baby	Etta James
Bless You	Tony Orlando
More Money For You And Me	The Four Preps
I'm A Telling You	Jerry Butler
Kissin' On The Phone	Paul Anka
Mexico	Bob Moore and His Orch.
One Track Mind	Bobby Lewis
Water Boy	Don Shirley Trio
Look In My Eyes	The Chantels
Now And Forever	Bert Kaempfert And His Orchestra
Baby, You're Right	James Brown And The Famous Flames
Dum Dum	Brenda Lee
Missing You	Ray Peterson
Let's Twist Again	Chubby Checker
Magic Moon (Clair De Lune)	The Rays
Starlight, Starbright	Linda Scott
Every Breath I Take	Gene Pitney
Together	Connie Francis
Lonely Street	Clarence Henry
Music, Music, Music	The Sensations Featuring Yvonne
Baby You're So Fine	Mickey & Sylvia
Years From Now	Jackie Wilson
Roll Over Beethoven	The Velaires
Sweet Little You	Neil Sedaka
I Wake Up Crying	Chuck Jackson
Jeremiah Peabody's Poly Unsaturated Quick Dissolving Fast Acting Pleasant T	Ray Stevens
Wizard Of Love	The Ly - Dells
Back Beat No. 1	The Rondels
You Must Have Been A Beautiful Baby	Bobby Darin
Summer Souvenirs	Karl Hammel, Jr.
Keep On Dancing	Hank Ballard And The Midnighters
Princess	Frank Gari
The Astronaut (Parts 1 & 2)	Jose Jimenez
San-Ho-Zay	Freddy King
My Blue Heaven	Duane Eddy And The Rebels
Nothing But Good	Hank Ballard And The Midnighters
Candy Man	Roy Orbison
Pitter-Patter	The Four Sportsmen
Well-A, Well-A	Shirley & Lee
Don't Get Around Much Anymore	The Belmonts
Romeo	Janie Grant
Starlight	The Preludes Five
Juke Box Saturday Night	Nino & The Ebb Tides
Big River, Big Man	Claude King
A Little Dog Cried	Jimmie Rodgers
Sad Movies (Make Me Cry)	Sue Thompson
You're The Reason	Bobby Edwards
My Dream Come True	Jack Scott
You're The Reason	Joe South
For Sentimental Reasons	The Cleftones
Donald Where's Your Troosers?	Andy Stewart
I Don't Like It Like That	The Bobbettes
(Theme From) Silver City	The Ventures
Let's Get Together	Hayley Mills and Hayley Mills
The Way You Look Tonight	The Lettermen
I Can't Take It	Mary Ann Fisher
Please Mr. Postman	The Marvelettes
I Love How You Love Me	The Paris Sisters
Human	Tommy Hunt
Right Or Wrong	Wanda Jackson
Never On Sunday	The Chordettes
Foot Stomping - Part 1	The Flares
