Brand New Key	Melanie
American Pie (Parts I & II)	Don McLean
Family Affair	Sly & The Family Stone
An Old Fashioned Love Song	Three Dog Night
Got To Be There	Michael Jackson
Have You Seen Her	The Chi-lites
Scorpio	Dennis Coffey & The Detroit Guitar Band
Sunshine	Jonathan Edwards
Cherish	David Cassidy
Hey Girl/I Knew You When	Donny Osmond
All I Ever Need Is You	Sonny & Cher
I'd Like To Teach The World To Sing (In Perfect Harmony)	The New Seekers
You Are Everything	The Stylistics
Let's Stay Together	Al Green
Respect Yourself	The Staple Singers
I'd Like To Teach The World To Sing (In Perfect Harmony)	The Hillside Singers
Day After Day	Badfinger
Drowning In The Sea Of Love	Joe Simon
Clean Up Woman	Betty Wright
One Monkey Don't Stop No Show Part I	The Honey Cone
Sugar Daddy	Jackson 5
Where Did Our Love Go	Donnie Elbert
Theme From Shaft	Isaac Hayes
Baby I'm - A Want You	Bread
Gypsys, Tramps & Thieves	Cher
An American Trilogy	Mickey Newbury
Stones/Crunchy Granola Suite	Neil Diamond
Hey Big Brother	Rare Earth
(I Know) I'm Losing You	Rod Stewart With Faces
Superstar (Remember How You Got Where You Are)	The Temptations
Theme From "Summer Of '42"	Peter Nero
Once You Understand	Think
Kiss An Angel Good Mornin'	Charley Pride
Hallelujah	Sweathog
George Jackson	Bob Dylan
Anticipation	Carly Simon
It's One Of Those Nights (Yes Love)	The Partridge Family Starring Shirley Jones Featuring David Cassidy
White Lies, Blue Eyes	Bullet
Behind Blue Eyes	The Who
Levon	Elton John
Nothing To Hide	Tommy James
Can I Get A Witness	Lee Michaels
Never Been To Spain	Three Dog Night
Me And Bobby McGee	Jerry Lee Lewis
The Witch Queen Of New Orleans	Redbone
Make Me The Woman That You Go Home To	Gladys Knight And The Pips
I'm A Greedy Man - Part I	James Brown
That's The Way I Feel About Cha	Bobby Womack & Peace
Satisfaction	Smokey Robinson & The Miracles
My Boy	Richard Harris
Looking For A Love	The J. Geils Band
Sour Suite	The Guess Who
Friends With You	John Denver
Ain't Nobody Home	B.B. King
Black Dog	Led Zeppelin
Stay With Me	Faces
Let It Be	Joan Baez
Those Were The Days	Carroll O'Connor And Jean Stapleton (As The Bunkers)
Carolyn	Merle Haggard And The Strangers
Pretty As You Feel	Jefferson Airplane
Devil You	Stampeders
Daisy Mae	Hamilton, Joe Frank & Reynolds
No Sad Song	Helen Reddy
Everybody Knows About My Good Thing Pt. 1	Little Johnny Taylor
Take It Slow (Out In The Country)	Lighthouse
Fire And Water	Wilson Pickett
Don't Say You Don't Remember	Beverly Bremers
Without You	Nilsson
Truckin'	Grateful Dead
Turn Your Radio On	Ray Stevens
Lay Lady Lay	The Isley Brothers
After All This Time	Merry Clayton
Superstar/Bless The Beasts And Children	Carpenters
Way Back Home	Jr. Walker & The All Stars
Tightrope Ride	The Doors
Show Me How	The Emotions
The Harder I Try (The Bluer I Get)	Free Movement
Love Potion Number Nine	The Coasters
Keep On Keeping On	N.F. Porter
What Am I Living For	Ray Charles
Precious And Few	Climax
So Many People	Chase
You Make Your Own Heaven And Hell Right Here On Earth	The Undisputed Truth
No Good To Cry	The Poppy Family
Get Up And Get Down	The Dramatics
Under My Wheels	Alice Cooper
Bang A Gong (Get It On)	T. Rex
Five Hundred Miles	Heaven Bound with Tony Scotti
The Lion Sleeps Tonight	Robert John
Together Let's Find Love	The 5th Dimension
Son Of Shaft	The Bar-Kays
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Long Time To Be Alone	The New Colony Six
Open The Door (Song For Judith)	Judy Collins
Do The Funky Penguin Part I	Rufus Thomas
Love Gonna Pack Up (And Walk Out)	The Persuaders
Keep Playin' That Rock 'N' Roll	Edgar Winter's White Trash
Pain (Part I)	Ohio Players
Tupelo Honey	Van Morrison
Joy	Apollo featuring Tom Parker
