Unpretty	TLC
She's All I Ever Had	Ricky Martin
Bailamos	Enrique Iglesias
Genie In A Bottle	Christina Aguilera
Summer Girls	LFO
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Smooth	Santana Featuring Rob Thomas
All Star	Smash Mouth
Someday	Sugar Ray
Where My Girls At?	702
Lost In You	Garth Brooks as Chris Gaines
Scar Tissue	Red Hot Chili Peppers
I Do (Cherish You)	98 Degrees
I Want It That Way	Backstreet Boys
She's So High	Tal Bachman
My Love Is Your Love	Whitney Houston
Bills, Bills, Bills	Destiny's Child
Black Balloon	Goo Goo Dolls
Last Kiss	Pearl Jam
So Anxious	Ginuwine
Steal My Sunshine	Len
Spend My Life With You	Eric Benet Featuring Tamia
Heartbreaker	Mariah Carey Featuring Jay-Z
If You Had My Love	Jennifer Lopez
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
Never Gonna Let You Go	Faith Evans
Out Of My Head	Fastball
Something Like That	Tim McGraw
Back At One	Brian McKnight
Tell Me It's Real	K-Ci & JoJo
What Ya Want	EVE & Nokio
Vivrant Thing	Q-Tip
It's All About You (Not About Me)	Tracie Spencer
You Had Me From Hello	Kenny Chesney
Amazed	Lonestar
I Will Remember You (Live)	Sarah McLachlan
Fortunate	Maxwell
Jigga My N****	JAY-Z
Little Man	Alan Jackson
Get Gone	Ideal
I Love You	Martina McBride
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
Better Days (And The Bottom Drops Out)	Citizen King
Ready To Run	Dixie Chicks
There She Goes	Sixpence None The Richer
Jamboree	Naughty By Nature Featuring Zhane
The Secret Of Life	Faith Hill
(You Drive Me) Crazy	Britney Spears
Lesson In Leavin'	Jo Dee Messina
I Want It All	Warren G Featuring Mack 10
All That I Can Say	Mary J. Blige
Music Of My Heart	'N Sync & Gloria Estefan
Man! I Feel Like A Woman!	Shania Twain
Single White Female	Chely Wright
If I Could Turn Back The Hands Of Time	R. Kelly
I Need To Know	Marc Anthony
You'll Be In My Heart	Phil Collins
I Could Not Ask For More	Edwin McCain
Smile	Vitamin C Featuring Lady Saw
Larger Than Life	Backstreet Boys
Happily Ever After	Case
We Can't Be Friends	Deborah Cox With R.L.
Girls' Best Friend	JAY-Z
What Do You Say To That	George Strait
I'll Still Love You More	Trisha Yearwood
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
What's My Age Again?	Blink-182
Meeting In My Bedroom	Silk
Angels Would Fall	Melissa Etheridge
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
Candy	Mandy Moore
(Now You See Me) Now You Don't	Lee Ann Womack
Higher	Creed
Satisfy You	Puff Daddy Featuring R. Kelly
I'm Already Taken	Steve Wariner
Gotta Man	Eve
She's In Love	Mark Wills
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Beauty	Dru Hill
Lonely And Gone	Montgomery Gentry
Sometimes	Britney Spears
I Love You Came Too Late	Joey McIntyre
American Woman	Lenny Kravitz
Beautiful Stranger	Madonna
Sunshine	Coko
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
Bug A Boo	Destiny's Child
U Know What's Up	Donell Jones
A Night To Remember	Joe Diffie
Everything Is Everything	Lauryn Hill
You've Got A Way	Shania Twain
I'll Be Your Everything	Youngstown
Lightning Does The Work	Chad Brock
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Nookie	Limp Bizkit
Everyone Falls In Love	Tanto Metro & Devonte
All Things Considered	Yankee Grey
Southern Gul	Erykah Badu Featuring Rahzel
Sexual (Li Da Di)	Amber
Never Been Kissed	Sherrie Austin
