Angie Baby	Helen Reddy
Lucy In The Sky With Diamonds	Elton John
You're The First, The Last, My Everything	Barry White
Kung Fu Fighting	Carl Douglas
Cat's In The Cradle	Harry Chapin
Junior's Farm/Sally G	Paul McCartney And Wings
When Will I See You Again	The Three Degrees
Laughter In The Rain	Neil Sedaka
Only You	Ringo Starr
Boogie On Reggae Woman	Stevie Wonder
Please Mr. Postman	Carpenters
Mandy	Barry Manilow
Must Of Got Lost	The J. Geils Band
One Man Woman/One Woman Man	Paul Anka with Odia Coates
Sha-La-La (Make Me Happy)	Al Green
Bungle In The Jungle	Jethro Tull
You Got The Love	Rufus Featuring Chaka Khan
Never Can Say Goodbye	Gloria Gaynor
Morning Side Of The Mountain	Donny & Marie Osmond
Dark Horse	George Harrison
I Can Help	Billy Swan
Do It ('til You're Satisfied)	B.T. Express
I Feel A Song (In My Heart)/Don't Burn Down The Bridge	Gladys Knight And The Pips
Fire	Ohio Players
Doctor's Orders	Carol Douglas
Promised Land	Elvis Presley
Pick Up The Pieces	AWB
Ride 'em Cowboy	Paul Davis
Some Kind Of Wonderful	Grand Funk
Dancin' Fool	The Guess Who
Ain't Too Proud To Beg	The Rolling Stones
Rock N' Roll (I Gave You The Best Years Of My Life)	Mac Davis
Woman To Woman	Shirley Brown
Wishing You Were Here	Chicago
Get Dancin'	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Fairytale	The Pointer Sisters
Ruby, Baby	Billy "Crash" Craddock
From His Woman To You	Barbara Mason
The Entertainer	Billy Joel
Best Of My Love	Eagles
I Belong To You	Love Unlimited
You Ain't Seen Nothing Yet/Free Wheelin'	Bachman-Turner Overdrive
Free Bird	Lynyrd Skynyrd
Funky President (People It's Bad)/Coldblooded	James Brown
Without Love	Aretha Franklin
You're No Good	Linda Ronstadt
Dream On	The Righteous Brothers
My Melody Of Love	Bobby Vinton
Longfellow Serenade	Neil Diamond
She's Gone	Tavares
Sugar Pie Guy Pt. 1	The Joneses
Willie And The Hand Jive	Eric Clapton
I've Got The Music In Me	The Kiki Dee Band
Ready	Cat Stevens
My Eyes Adored You	Frankie Valli
Changes	David Bowie
Struttin'	Billy Preston
#9 Dream	John Lennon
Black Water	The Doobie Brothers
Whatever You Got, I Want	Jackson 5
Heavy Fallin' Out	The Stylistics
Everlasting Love	Carl Carlton
Look In My Eyes Pretty Woman	Tony Orlando & Dawn
Whatever Gets You Thru The Night	John Lennon With The Plastic Ono Nuclear Band
Back Home Again	John Denver
Sunshine Part II	The O'Jays
The Heartbreak Kid	Bo Donaldson And The Heywoods
Philadelphia	B.B. King
Your Bulldog Drinks Champagne	Jim Stafford
Baby, Hang Up The Phone	Carl Graves
One Tear	Eddie Kendricks
Lady	Styx
When A Child Is Born	Michael Holm
Happy People	The Temptations
I Am I Am	Smokey Robinson
Can't Get It Out Of My Head	Electric Light Orchestra
Lonely People	America
Sweet Surrender	John Denver
Let's Straighten It Out	Latimore
Day Tripper	Anne Murray
Hoppy, Gene And Me	Roy Rogers
To The Door Of The Sun (Alle Porte Del Sole)	Al Martino
Don't Cha Love It	The Miracles
Big Yellow Taxi	Joni Mitchell
Don't Call Us, We'll Call You	Sugarloaf/Jerry Corbetta
As Long As He Takes Care Of Home	Candi Staton
Costafine Town	Splinter
I'm A Woman	Maria Muldaur
I Feel Sanctified	Commodores
Gee Baby	Peter Shelley
Ms. Grace	The Tymes
Christmas Dream	Perry Como
Heartbreak Road	Bill Withers
Words (are Impossible)	Margie Joseph
Rockin' Soul	The Hues Corporation
The Need To Be	Jim Weatherly
You And I	Johnny Bristol
I Wouldn't Treat A Dog (The Way You Treated Me)	Bobby Bland
After The Goldrush	Prelude
Crazy Talk	Chilliwack
