Happy	Pharrell Williams
All Of Me	John Legend
Dark Horse	Katy Perry Featuring Juicy J
Talk Dirty	Jason Derulo Featuring 2 Chainz
Let It Go	Idina Menzel
Pompeii	Bastille
Team	Lorde
The Man	Aloe Blacc
Counting Stars	OneRepublic
Turn Down For What	DJ Snake & Lil Jon
Drunk In Love	Beyonce Featuring Jay Z
Best Day Of My Life	American Authors
Timber	Pitbull Featuring Ke$ha
Loyal	Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Show Me	Kid Ink Featuring Chris Brown
Hey Brother	Avicii
Story Of My Life	One Direction
#SELFIE	The Chainsmokers
Let Her Go	Passenger
Not A Bad Thing	Justin Timberlake
Say Something	A Great Big World & Christina Aguilera
Wake Me Up!	Avicii
Burn	Ellie Goulding
Animals	Martin Garrix
The Monster	Eminem Featuring Rihanna
This Is How We Roll	Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Demons	Imagine Dragons
Bottoms Up	Brantley Gilbert
Royals	Lorde
Na Na	Trey Songz
La La La	Naughty Boy Featuring Sam Smith
Can't Remember To Forget You	Shakira Featuring Rihanna
My Hitta	YG Featuring Jeezy & Rich Homie Quan
Drink To That All Night	Jerrod Niemann
Paranoid	Ty Dolla $ign Featuring B.o.B
Doin' What She Likes	Blake Shelton
Radioactive	Imagine Dragons
Partition	Beyonce
Neon Lights	Demi Lovato
Play It Again	Luke Bryan
Ain't It Fun	Paramore
Cop Car	Keith Urban
Give Me Back My Hometown	Eric Church
The Worst	Jhene Aiko
Brave	Sara Bareilles
Roar	Katy Perry
Wrecking Ball	Miley Cyrus
Get Me Some Of That	Thomas Rhett
Human	Christina Perri
Stoner	Young Thug
Do You Want To Build A Snowman?	Kristen Bell, Agatha Lee Monn & Katie Lopez
Goodnight Kiss	Randy Houser
I Hold On	Dierks Bentley
19 You + Me	Dan + Shay
Rewind	Rascal Flatts
Sleeping With A Friend	Neon Trees
Let It Go	Demi Lovato
Empire	Shakira
Who Do You Love?	YG Featuring Drake
Trophies	Young Money Featuring Drake
For The First Time In Forever	Kristen Bell & Idina Menzel
Mmm Yeah	Austin Mahone Featuring Pitbull
Automatic	Miranda Lambert
Beat Of The Music	Brett Eldredge
Classic	MKTO
Take Me Home	Cash Cash Featuring Bebe Rexha
Magic	Coldplay
Man Of The Year	ScHoolboy Q
When She Says Baby	Jason Aldean
Fancy	Iggy Azalea Featuring Charli XCX
Do I Wanna Know?	Arctic Monkeys
Up Down (Do This All Day)	T-Pain Featuring B.o.B
Headlights	Eminem Featuring Nate Ruess
Young Girls	Bruno Mars
Move That Doh	Future Featuring Pharrell, Pusha T & Casino
G.U.Y.	Lady Gaga
Fever	The Black Keys
Helluva Life	Frankie Ballard
Part II (On The Run)	Jay Z Featuring Beyonce
Lettin' The Night Roll	Justin Moore
Adore You	Miley Cyrus
Wild Wild Love	Pitbull Featuring G.R.L.
The Walker	Fitz And The Tantrums
Summer	Calvin Harris
Everything I Shouldn't Be Thinking About	Thompson Square
Red Lights	Tiesto
Me And My Broken Heart	Rixton
Beating Heart	Ellie Goulding
John Doe	B.o.B Featuring Priscilla
Love Is An Open Door	Kristen Bell & Santino Fontana
On Top Of The World	Imagine Dragons
Lookin' For That Girl	Tim McGraw
See You Tonight	Scotty McCreery
Beachin'	Jake Owen
Oceans (Where Feet May Fail)	Hillsong UNITED
Invisible	Hunter Hayes
Ride	SoMo
Whiskey In My Water	Tyler Farr
Odio	Romeo Santos Featuring Drake
Slow Me Down	Sara Evans
