Don't You Want Me	The Human League
Rosanna	Toto
Hurts So Good	John Cougar
Eye Of The Tiger	Survivor
Let It Whip	Dazz Band
Hold Me	Fleetwood Mac
Love's Been A Little Bit Hard On Me	Juice Newton
Tainted Love	Soft Cell
Only The Lonely	The Motels
Caught Up In You	38 Special
Abracadabra	The Steve Miller Band
Keep The Fire Burnin'	REO Speedwagon
Do I Do	Stevie Wonder
Any Day Now	Ronnie Milsap
Hard To Say I'm Sorry	Chicago
Even The Nights Are Better	Air Supply
Play The Game Tonight	Kansas
Take Me Down	Alabama
Still They Ride	Journey
Wasted On The Way	Crosby, Stills & Nash
What Kind Of Fool Am I	Rick Springfield
Personally	Karla Bonoff
Forget Me Nots	Patrice Rushen
Heat Of The Moment	Asia
Going To A Go-Go	The Rolling Stones
Early In The Morning	The Gap Band
Ebony And Ivory	Paul McCartney And Stevie Wonder
Always On My Mind	Willie Nelson
Crimson And Clover	Joan Jett & the Blackhearts
You Should Hear How She Talks About You	Melissa Manchester
Take It Away	Paul McCartney
Vacation	Go-Go's
Hooked On Swing	Larry Elgart And His Manhattan Swing Orchestra
If The Love Fits Wear It	Leslie Pearl
Out Of Work	Gary U.S. Bonds
Love Is In Control (Finger On The Trigger)	Donna Summer
Kids In America	Kim Wilde
I Found Somebody	Glenn Frey
Nice Girls	Eye To Eye
Love Plus One	Haircut One Hundred
Paperlate	Genesis
Your Imagination	Daryl Hall John Oates
American Music	The Pointer Sisters
Love Will Turn You Around	Kenny Rogers
Think I'm In Love	Eddie Money
Route 101	Herb Alpert
If You Want My Love	Cheap Trick
The Other Woman	Ray Parker Jr.
Hot In The City	Billy Idol
Break It Up	Foreigner
This Man Is Mine	Heart
Be Mine Tonight	Neil Diamond
Island Of Lost Souls	Blondie
Dancing In The Street	Van Halen
Angel In Blue	The J. Geils Band
Eye In The Sky	The Alan Parsons Project
Street Corner	Ashford & Simpson
(Sittin' On) The Dock Of The Bay	The Reddings
And I Am Telling You I'm Not Going	Jennifer Holliday
Landslide	Olivia Newton-John
Body Language	Queen
To Dream The Dream	Frankie Miller
After The Glitter Fades	Stevie Nicks
I Really Don't Need No Light	Jeffrey Osborne
No One Like You	Scorpions
It's Gonna Take A Miracle	Deniece Williams
Loveline	Dr. Hook
What Do All The People Know	The Monroes
Words	Missing Persons
Someday, Someway	Marshall Crenshaw
Who Can It Be Now?	Men At Work
Enough Is Enough	April Wine
Gloria	Laura Branigan
Blue Eyes	Elton John
Valley Girl	Frank Zappa
I Ran (So Far Away)	A Flock Of Seagulls
Too Good To Turn Back Now	Rick Bowles
Love Or Let Me Be Lonely	Paul Davis
Mega Force	707
Hooked On Big Bands	The Frank Barber Orch.
Let Me Go	Ray Parker Jr.
Hope You Love Me Like You Say You Do	Huey Lewis & The News
Cutie Pie	One Way
Making Love	Roberta Flack
Don't Talk To Strangers	Rick Springfield
Every Love Song	Greg Kihn Band
867-5309/jenny	Tommy Tutone
Foolin' Yourself	Aldo Nova
Why	Carly Simon
Planet Rock	Afrika Bambaataa & The Soul Sonic Force
Dance Wit' Me - Part 1	Rick James
Should I Stay Or Should I Go	The Clash
I've Never Been To Me	Charlene
Into My Love	Greg Guidry
When It's Over	Loverboy
Man On Your Mind	Little River Band
I'll Find My Way Home	Jon & Vangelis
Outlaw	War
Right Kind Of Love	Quarterflash
Happy Hour	Deodato
