It's Gonna Be Me	'N Sync
Bent	matchbox twenty
Everything You Want	Vertical Horizon
Try Again	Aaliyah
I Wanna Know	Joe
Absolutely (Story Of A Girl)	Nine Days
Higher	Creed
Jumpin', Jumpin'	Destiny's Child
There You Go	P!nk
He Wasn't Man Enough	Toni Braxton
Let's Get Married	Jagged Edge
No More	Ruff Endz
Back Here	BBMak
Be With You	Enrique Iglesias
Doesn't Really Matter	Janet
The Real Slim Shady	Eminem
I Turn To You	Christina Aguilera
Breathe	Faith Hill
Desert Rose	Sting Featuring Cheb Mami
You Sang To Me	Marc Anthony
(Hot S**t) Country Grammar	Nelly
Kryptonite	3 Doors Down
The Next Episode	Dr. Dre Featuring Snoop Dogg
Wifey	Next
I Think I'm In Love With You	Jessica Simpson
Big Pimpin'	Jay-Z Featuring UGK
I Try	Macy Gray
What'Chu Like	Da Brat Featuring Tyrese
Separated	Avant
Purest Of Pain (A Puro Dolor)	Son By Four
I Wanna Be With You	Mandy Moore
I Hope You Dance	Lee Ann Womack
Swear It Again	Westlife
Where I Wanna Be	Donell Jones
Oops!...I Did It Again	Britney Spears
Dance Tonight	Lucy Pearl
Wonderful	Everclear
Simple Kind Of Life	No Doubt
What About Now	Lonestar
I Will Love Again	Lara Fabian
Smooth	Santana Featuring Rob Thomas
Amazed	Lonestar
Thong Song	Sisqo
That's The Way	Jo Dee Messina
Yes!	Chad Brock
Prayin' For Daylight	Rascal Flatts
Say My Name	Destiny's Child
Maria Maria	Santana Featuring The Product G&B
It Must Be Love	Alan Jackson
I Need You	LeAnn Rimes
I'll Be	Reba McEntire
I Wish	Carl Thomas
Flowers On The Wall	Eric Heatherly
Whatever	Ideal Featuring Lil' Mo
Incomplete	Sisqo
One Voice	Billy Gilman
Broadway	Goo Goo Dolls
Crash And Burn	Savage Garden
Some Things Never Change	Tim McGraw
Could I Have This Kiss Forever	Whitney Houston & Enrique Iglesias
The One	Backstreet Boys
Taking You Home	Don Henley
Unconditional	Clay Davidson
Faded	SoulDecision Featuring Thrust
Better Off Alone	Alice Deejay
Change Your Mind	Sister Hazel
No Matter What They Say	Lil' Kim
Cold Day In July	Dixie Chicks
As We Lay	Kelly Price
I Will...But	SHeDAISY
I Think God Can Explain	Splender
Californication	Red Hot Chili Peppers
Your Everything	Keith Urban
You'll Always Be Loved By Me	Brooks & Dunn
Last Resort	Papa Roach
Just Be A Man About It	Toni Braxton
Same Script, Different Cast	Whitney Houston & Deborah Cox
Sour Girl	Stone Temple Pilots
With Arms Wide Open	Creed
When You Need My Love	Darryl Worley
The Chain Of Love	Clay Walker
I Disappear	Metallica
Callin' Me	Lil' Zane Featuring 112
Shackles (Praise You)	Mary Mary
Wobble Wobble	504 Boyz
What You Want	DMX Featuring Sisqo
Take That	Torrey Carter Featuring Missy "Misdemeanor" Elliott
Got It All	Eve & Jadakiss
Couldn't Last A Moment	Collin Raye
Crybaby	Mariah Carey Featuring Snoop Dogg
Dance With Me	Debelah Morgan
Who Let The Dogs Out	Baha Men
Don't Call Me Baby	Madison Avenue
Best Of Me	Mya Featuring Jadakiss
Dancing Queen	A*Teens
Mirror Mirror	M2M
Shut Up	Trick Daddy Featuring Duece Poppito, Trina, Co
3 Little Words	Nu Flavor
Someday Out Of The Blue	Elton John
It's So Hard	Big Punisher Featuring Donell Jones
