The Streak	Ray Stevens
Dancing Machine	Jackson 5
The Entertainer	Marvin Hamlisch/"The Sting"
The Show Must Go On	Three Dog Night
Band On The Run	Paul McCartney And Wings
You Make Me Feel Brand New	The Stylistics
Midnight At The Oasis	Maria Muldaur
The Loco-Motion	Grand Funk
(i've Been) Searchin' So Long	Chicago
Help Me	Joni Mitchell
I Won't Last A Day Without You	Carpenters
Sundown	Gordon Lightfoot
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
Oh Very Young	Cat Stevens
For The Love Of Money	The O'Jays
My Girl Bill	Jim Stafford
Don't You Worry 'Bout A Thing	Stevie Wonder
Bennie And The Jets	Elton John
TSOP (The Sound Of Philadelphia)	MFSB Featuring The Three Degrees
I'm In Love	Aretha Franklin
Just Don't Want To Be Lonely	The Main Ingredient
Be Thankful For What You Got	William DeVaughn
Tubular Bells	Mike Oldfield
Best Thing That Ever Happened To Me	Gladys Knight And The Pips
If You Love Me (let Me Know)	Olivia Newton-John
Hooked On A Feeling	Blue Swede
The Payback - Part I	James Brown
Hollywood Swinging	Kool & The Gang
Come And Get Your Love	Redbone
Mighty Mighty	Earth, Wind & Fire
Oh My My	Ringo Starr
Let's Get Married	Al Green
You Won't See Me	Anne Murray
I'll Have To Say I Love You In A Song	Jim Croce
Keep On Singing	Helen Reddy
One Hell Of A Woman	Mac Davis
My Mistake (Was To Love You)	Diana Ross & Marvin Gaye
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Rock Around The Clock	Bill Haley And His Comets
Daybreak	Nilsson
Another Park, Another Sunday	The Doobie Brothers
Chameleon	Herbie Hancock
Lookin' For A Love	Bobby Womack
Haven't Got Time For The Pain	Carly Simon
Son Of Sagittarius	Eddie Kendricks
No Charge	Melba Montgomery
Seasons In The Sun	Terry Jacks
Sunshine On My Shoulders	John Denver
Let It Ride	Bachman-Turner Overdrive
The Same Love That Made Me Laugh	Bill Withers
Standing At The End Of The Line	Lobo
Star Baby	The Guess Who
I Don't See Me In Your Eyes Anymore	Charlie Rich
A Very Special Love Song	Charlie Rich
If You Wanna Get To Heaven	Ozark Mountain Daredevils
One Chain Don't Make No Prison	Four Tops
Can You Handle It?	Graham Central Station
Satisfaction Guaranteed (Or Take Your Love Back)	Harold Melvin And The Blue Notes
The Air That I Breathe	The Hollies
I'm Coming Home	The Spinners
La Grange	ZZ Top
Rikki Don't Lose That Number	Steely Dan
Outside Woman	Bloodstone
(I'm A) YoYo Man	Rick Cunha
Already Gone	Eagles
Rhapsody In White	Love Unlimited Orchestra
Piano Man	Billy Joel
Help Yourself	The Undisputed Truth
Time Will Tell	Tower Of Power
On And On	Gladys Knight And The Pips
Sideshow	Blue Magic
This Heart	Gene Redding
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Sleepin'	Diana Ross
Train Of Thought	Cher
Living In The U.s.a.	The Steve Miller Band
Wildflower	The New Birth
Rock And Roll Heaven	The Righteous Brothers
Teen Angel	Wednesday
Wonderful	Isaac Hayes
Scratch	The Crusaders
Teenage Love Affair	Rick Derringer
Rock The Boat	The Hues Corporation
Radar Love	Golden Earring
The Lone Ranger	Oscar Brown Jr.
King Of Nothing	Seals & Crofts
Daybreaker	Electric Light Orchestra
I Hate Hate	Razzy
I'm The Leader Of The Gang	Brownsville Station
Takin' Care Of Business	Bachman-Turner Overdrive
Come Monday	Jimmy Buffett
(everybody Wanna Get Rich) Rite Away	Dr. John
Keep On Smilin'	Wet Willie
Kissin' Time	KISS
Something	Johnny Rodriguez
Dancin' (On A Saturday Night)	Flash Cadillac And The Continental Kids
Fox Hunt	Herb Alpert & The Tijuana Brass
Love That Really Counts	Natural Four
It's Her Turn To Live	Smokey Robinson
After Midnight	Maggie Bell
