Alone Again (Naturally)	Gilbert O'Sullivan
Brandy (You're A Fine Girl)	Looking Glass
Long Cool Woman (In A Black Dress)	The Hollies
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
I'm Still In Love With You	Al Green
Where Is The Love	Roberta Flack & Donny Hathaway
Daddy Don't You Walk So Fast	Wayne Newton
Hold Your Head Up	Argent
Coconut	Nilsson
Goodbye To Love	Carpenters
The Happiest Girl In The Whole U.S.A.	Donna Fargo
You Don't Mess Around With Jim	Jim Croce
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose
School's Out	Alice Cooper
How Do You Do?	Mouth & MacNeal
Motorcycle Mama	Sailcat
The Guitar Man	Bread
Baby Don't Get Hooked On Me	Mac Davis
Sealed With A Kiss	Bobby Vinton
Lookin' Through The Windows	Jackson 5
Rock And Roll Part 2	Gary Glitter
Happy	The Rolling Stones
Join Together	The Who
Gone	Joey Heatherton
Lean On Me	Bill Withers
Back Stabbers	The O'Jays
Baby Let Me Take You (In My Arms)	Detroit Emeralds
Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Beautiful Sunday	Daniel Boone
Hold Her Tight	The Osmonds
Small Beginnings	Flash
When You Say Love	Sonny & Cher
Saturday In The Park	Chicago
Layla	Derek & The Dominos
Day By Day	Godspell
Pop That Thang	The Isley Brothers
Power Of Love	Joe Simon
Sweet Inspiration/Where You Lead	Barbra Streisand
Popcorn	Hot Butter
Go All The Way	Raspberries
You're Still A Young Man	Tower Of Power
I'm Coming Home	Stories
Run To Me	Bee Gees
Honky Cat	Elton John
This World	The Staple Singers
Conquistador	Procol Harum
Black & White	Three Dog Night
In The Ghetto	Candi Staton
The City Of New Orleans	Arlo Guthrie
The Coldest Days Of My Life (Part 1)	The Chi-lites
Everybody Plays The Fool	The Main Ingredient
Starting All Over Again	Mel And Tim
Put It Where You Want It	The Crusaders
We've Come Too Far To End It Now	Smokey Robinson & The Miracles
Play Me	Neil Diamond
A Simple Man	Lobo
Speak To The Sky	Rick Springfield
Easy Livin	Uriah Heep
I Miss You (Part I)	Harold Melvin And The Blue Notes
Duncan	Paul Simon
Ben	Michael Jackson
Alabama Wild Man	Jerry Reed
Rock Me On The Water	Jackson Browne
My Man, A Sweet Man	Millie Jackson
Starman	David Bowie
Zing Went The Strings Of My Heart	The Trammps
Get On The Good Foot-Part 1	James Brown
That's The Way God Planned It	Billy Preston
Nights In White Satin	The Moody Blues
America	Yes
My Ding-A-Ling	Chuck Berry
Garden Party	Rick Nelson And The Stone Canyon Band
My Guy	Petula Clark
In The Quiet Morning	Joan Baez
Your Wonderful, Sweet Sweet Love	The Supremes
If I Were A Carpenter	Bob Seger
In Time	Engelbert Humperdinck
I Believe In Music	Gallery
What A Wonderful Thing We Have	The Fabulous Rhinestones
Rip Off	Laura Lee
Beat Me Daddy Eight To The Bar	Commander Cody
Geronimo's Cadillac	Michael Murphey
If You Leave Me Tonight I'll Cry	Jerry Wallace
Wholy Holy	Aretha Franklin With James Cleveland & The Southern California Community Choir
That's What Friends Are For	B.J. Thomas
Melissa	The Allman Brothers Band
Jackie Wilson Said (I'm In Heaven When You Smile)	Van Morrison
Goodbye Again	John Denver
Love Song	Tommy James
Burning Love	Elvis Presley
How Could I Let You Get Away	The Spinners
Down By The River	Albert Hammond
I Could Never Be Happy	The Emotions
Summer Sun	Jamestown Massacre
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
Sittin' On A Time Bomb (Waitin' For The Hurt To Come)	The Honey Cone
A Sunday Kind Of Love	Lenny Welch
He's An Indian Cowboy In The Rodeo	Buffy Sainte-Marie
Southbound Train	Graham Nash & David Crosby
Guess Who/Them Changes	B.B. King
