He's So Fine	The Chiffons
Can't Get Used To Losing You	Andy Williams
I Will Follow Him	Little Peggy March
Puff (The Magic Dragon)	Peter, Paul & Mary
Baby Workout	Jackie Wilson
Young Lovers	Paul and Paula
South Street	The Orlons
Don't Say Nothin' Bad (About My Baby)	The Cookies
Pipeline	Chantay's
Do The Bird	Dee Dee Sharp
The End Of The World	Skeeter Davis
On Broadway	The Drifters
Our Day Will Come	Ruby And The Romantics
Watermelon Man	Mongo Santamaria Band
Twenty Miles	Chubby Checker
Mecca	Gene Pitney
Follow The Boys	Connie Francis
In Dreams	Roy Orbison
Mr. Bass Man	Johnny Cymbal
Young And In Love	Dick and DeeDee
Sandy	Dion
Over The Mountain (Across The Sea)	Bobby Vinton
Surfin' U.S.A.	The Beach Boys
Out Of My Mind	Johnny Tillotson
Charms	Bobby Vee
Don't Be Afraid, Little Darlin'	Steve Lawrence
Our Winter Love	Bill Pursell
I Got What I Wanted	Brook Benton
Foolish Little Girl	The Shirelles
I Wanna Be Around	Tony Bennett
Reverend Mr. Black	The Kingston Trio
If You Wanna Be Happy	Jimmy Soul
Losing You	Brenda Lee
Tom Cat	The Rooftop Singers
Linda	Jan & Dean
Rhythm Of The Rain	The Cascades
Days Of Wine And Roses	Andy Williams
Blame It On The Bossa Nova	Eydie Gorme
All I Have To Do Is Dream	Richard Chamberlain
You're The Reason I'm Living	Bobby Darin
Days Of Wine And Roses	Henry Mancini And His Orchestra
Little Band Of Gold	James Gilreath
Yakety Sax	Boots Randolph and his Combo
All Over The World	Nat King Cole
Take These Chains From My Heart	Ray Charles
Locking Up My Heart	The Marvelettes
Wild Weekend	The Rebels
A Love She Can Count On	The Miracles
Let's Limbo Some More	Chubby Checker
Laughing Boy	Mary Wells
Two Faces Have I	Lou Christie
Rainbow	Gene Chandler
What Are Boys Made Of	The Percells
Walk Like A Man	The 4 Seasons
I Got A Woman	Rick Nelson
I Love You Because	Al Martino
Killer Joe	The Rocky Fellers
I'm Just A Country Boy	George McCurn
You Don't Love Me Anymore (And I Can Tell)	Rick Nelson
Hot Pastrami	The Dartells
That's How Heartaches Are Made	Baby Washington
Dearer Than Life	Brook Benton
Sun Arise	Rolf Harris
Here I Stand	The Rip Chords
He's Got The Power	The Exciters
Another Saturday Night	Sam Cooke
Amy	Paul Petersen
How Can I Forget	Jimmy Holiday
This Little Girl	Dion
Two Kind Of Teardrops	Del Shannon
Pushover	Etta James
The Bird's The Word	The Rivingtons
Whatever You Want	Jerry Butler
Bony Moronie	The Appalachians
(Today I Met) The Boy I'm Gonna Marry	Darlene Love
Sax Fifth Avenue	Johnny Beecher and his Buckingham Road Quintet
Don't Let Her Be Your Baby	The Contours
Remember Diana	Paul Anka
Bill Bailey, Won't You Please Come Home	Ella Fitzgerald
Ask Me	Maxine Brown
Heart	Kenny Chandler
Memory Lane	The Hippies (Formerly The Tams)
Come And Get These Memories	Martha & The Vandellas
This Empty Place	Dionne Warwick
How Can I Forget	Ben E. King
Ain't That A Shame!	The 4 Seasons
Call Me Irresponsible	Frank Sinatra
Still	Bill Anderson
Prisoner Of Love	James Brown And The Famous Flames
Ann-Marie	The Belmonts
If You Need Me	Solomon Burke
The Dog	Rufus Thomas
He's So Heavenly	Brenda Lee
Eternally	The Chantels
The Love Of My Man	Theola Kilgore
Theme From Lawrence Of Arabia	Ferrante & Teicher
Diane	Joe Harnell And His Orchestra
Preacherman	Charlie Russo
Sweet Dreams (Of You)	Patsy Cline
If You Can't Rock Me	Ricky Nelson
