MacArthur Park	Donna Summer
Double Vision	Foreigner
How Much I Feel	Ambrosia
You Needed Me	Anne Murray
You Don't Bring Me Flowers	Barbra Streisand & Neil Diamond
Hot Child In The City	Nick Gilder
Kiss You All Over	Exile
I Just Wanna Stop	Gino Vannelli
Whenever I Call You "Friend"	Kenny Loggins
You Never Done It Like That	Captain & Tennille
Ready To Take A Chance Again	Barry Manilow
I Love The Nightlife (Disco 'round)	Alicia Bridges
Sharing The Night Together	Dr. Hook
(Our Love) Don't Throw It All Away	Andy Gibb
Time Passages	Al Stewart
Strange Way	Firefall
Alive Again	Chicago
Beast Of Burden	The Rolling Stones
My Life	Billy Joel
Dance (Disco Heat)	Sylvester
Blue Collar Man (Long Nights)	Styx
Y.M.C.A.	Village People
Straight On	Heart
Sweet Life	Paul Davis
Get Off	Foxy
Don't Want To Live Without It	Pablo Cruise
Change Of Heart	Eric Carmen
One Nation Under A Groove - Part I	Funkadelic
The Power Of Gold	Dan Fogelberg/Tim Weisberg
How You Gonna See Me Now	Alice Cooper
Ooh Baby Baby	Linda Ronstadt
Everybody Needs Love	Stephen Bishop
Hold The Line	Toto
Part-Time Love	Elton John
Too Much Heaven	Bee Gees
I'm Every Woman	Chaka Khan
Le Freak	Chic
This Is Love	Paul Anka
On The Shelf	Donny & Marie Osmond
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Run For Home	Lindisfarne
Promises	Eric Clapton And His Band
There'll Never Be	Switch
Dreadlock Holiday	10cc
We've Got Tonight	Bob Seger & The Silver Bullet Band
New York Groove	Ace Frehley
Instant Replay	Dan Hartman
Fun Time	Joe Cocker
Can You Fool	Glen Campbell
Forever Autumn	Justin Hayward
My Best Friend's Girl	The Cars
Who Are You	The Who
Reminiscing	Little River Band
Here Comes The Night	Nick Gilder
Hot Summer Nights	Walter Egan
Bicycle Race/Fat Bottomed Girls	Queen
Love Is In The Air	John Paul Young
I Will Be In Love With You	Livingston Taylor
Every 1's A Winner	Hot Chocolate
Boogie Oogie Oogie	A Taste Of Honey
It's A Laugh	Daryl Hall John Oates
Blame It On The Boogie	The Jacksons
Talking In Your Sleep	Crystal Gayle
Flying High	Commodores
Mary Jane	Rick James
Hold Me, Touch Me	Paul Stanley
The Gambler	Kenny Rogers
In The Bush	Musique
Wavelength	Van Morrison
Fire	The Pointer Sisters
Take Me To The River	Talking Heads
I Was Made For Dancin'	Leif Garrett
Don't Hold Back	Chanson
Love Me Again	Rita Coolidge
It's Over	Electric Light Orchestra
The Dream Never Dies	Cooper Brothers
Whatever Happened To Benny Santini?	Chris Rea
Driftwood	The Moody Blues
September	Earth, Wind & Fire
Substitute	Clout
Well All Right	Santana
Cuz It's You, Girl	James Walsh Gypsy Band
You Took The Words Right Out Of My Mouth	Meat Loaf
A Man I'll Never Be	Boston
(You Got To Walk And) Don't Look Back	Peter Tosh with Mick Jagger
Hot Shot	Karen Young
Don't Cry Out Loud	Melissa Manchester
#1 Dee Jay	Goody Goody
One Last Kiss	The J. Geils Band
Shake It	Ian Matthews
Only You	Loleatta Holloway And Bunny Sigler
Dancing In Paradise	El Coco
Your Sweetness Is My Weakness	Barry White
Soft And Wet	Prince
Prisoner Of Your Love	Player
She's Always A Woman	Billy Joel
Summer Nights	John Travolta & Olivia Newton-John & Cast
Greased Lightnin'	John Travolta
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)	Bonnie Pointer
Right Down The Line	Gerry Rafferty
