I'm Too Sexy	Right Said Fred
To Be With You	Mr. Big
I Love Your Smile	Shanice
Diamonds And Pearls	Prince And The N.P.G.
Remember The Time	Michael Jackson
Don't Let The Sun Go Down On Me	George Michael/Elton John
Tell Me What You Want Me To Do	Tevin Campbell
Smells Like Teen Spirit	Nirvana
All 4 Love	Color Me Badd
Finally	CeCe Peniston
Can't Let Go	Mariah Carey
The Way I Feel About You	Karyn White
Mysterious Ways	U2
Good For Me	Amy Grant
Masterpiece	Atlantic Starr
Vibeology	Paula Abdul
2 Legit 2 Quit	M.C. Hammer
Uhh Ahh	Boyz II Men
Missing You Now	Michael Bolton
Save The Best For Last	Vanessa Williams
Keep It Comin'	Keith Sweat
Tears In Heaven	Eric Clapton
I'll Get By	Eddie Money
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
I Can't Make You Love Me	Bonnie Raitt
Justified And Ancient	The KLF Featuring Tammy Wynette
I Can't Dance	Genesis
Paper Doll	P.M. Dawn
Black Or White	Michael Jackson
Thinkin' Back	Color Me Badd
Until Your Love Comes Back Around	RTZ
What Becomes Of The Brokenhearted	Paul Young
Beauty And The Beast	Celine Dion And Peabo Bryson
Live And Let Die	Guns N' Roses
There Will Never Be Another Tonight	Bryan Adams
Addams Groove	M.C. Hammer
Oochie Coochie	M.C. Brains
No Son Of Mine	Genesis
Move Any Mountain	The Shamen
Set Adrift On Memory Bliss	P.M. Dawn
Is It Good To You	Heavy D & The Boyz
On A Sunday Afternoon	Lighter Shade Of Brown
Broken Arrow	Rod Stewart
Kiss You Back	Digital Underground
Hearts Don't Think (They Feel)	Natural Selection
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
Too Blind To See It	Kym Sims
Stay	Jodeci
I've Got A Lot To Learn About Love	The Storm
Again Tonight	John Mellencamp
We Got A Love Thang	CeCe Peniston
I Wanna Be Your Girl	Icy Blu
You Showed Me	Salt-N-Pepa
If You Go Away	NKOTB
Wildside	Marky Mark & The Funky Bunch
Live For Loving You	Gloria Estefan
Hazard	Richard Marx
Love Me All Up	Stacy Earl
The Unforgiven	Metallica
Forever My Lady	Jodeci
Stars	Simply Red
You Are The One	Chris Cuevas
Too Much Passion	The Smithereens
In Paradise	Laissez Faire
Everything's Gonna Be Alright	Naughty By Nature
When A Man Loves A Woman	Michael Bolton
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
Mama, I'm Coming Home	Ozzy Osbourne
Change	Lisa Stansfield
Angel Baby	Angelica
Ain't Gonna Hurt Nobody	Kid 'N Play
Blowing Kisses In The Wind	Paula Abdul
Everything Changes	Kathy Troccoli
Make It Happen	Mariah Carey
Keep Coming Back	Richard Marx
What Goes Around Comes Around	Giggles
In My Dreams	The Party
Can't Cry Hard Enough	The Williams Brothers
Right Now	Van Halen
Spending My Time	Roxette
Send Me An Angel	Scorpions
Tender Kisses	Tracie Spencer
I Want You	Jody Watley
Hold On (Tighter To Love)	Clubland
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
Save Up All Your Tears	Cher
Home Sweet Home	Motley Crue
I Need Money	Marky Mark & The Funky Bunch
Blinded By Love	Rhythm Syndicate
Within My Heart	Voyce
Cold Shower	Erin Cruise
Boom! I Got Your Boyfriend	MC Luscious
The Globe	Big Audio
How I Could Just Kill A Man/The Phuncky Feel One	Cypress Hill
Everlasting Love	Tony Terry
Street Of Dreams	Nia Peeples
Kissing The Wind	Nia Peeples
Ain't 2 Proud 2 Beg	TLC
Juice (Know The Ledge)	Eric B. & Rakim
The Comfort Zone	Vanessa Williams
