Monkey	George Michael
Sweet Child O' Mine	Guns N' Roses
Simply Irresistible	Robert Palmer
I Don't Wanna Go On With You Like That	Elton John
I Don't Wanna Live Without Your Love	Chicago
Perfect World	Huey Lewis & The News
Fast Car	Tracy Chapman
When It's Love	Van Halen
If It Isn't Love	New Edition
I'll Always Love You	Taylor Dayne
Love Will Save The Day	Whitney Houston
Another Part Of Me	Michael Jackson
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
It Would Take A Strong Strong Man	Rick Astley
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Roll With It	Steve Winwood
One Good Woman	Peter Cetera
1-2-3	Gloria Estefan & Miami Sound Machine
All Fired Up	Pat Benatar
Hands To Heaven	Breathe
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Make Me Lose Control	Eric Carmen
Here With Me	REO Speedwagon
Love Bites	Def Leppard
Sign Your Name	Terence Trent D'Arby
Don't Be Cruel	Cheap Trick
Please Don't Go Girl	New Kids On The Block
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
Don't Be Cruel	Bobby Brown
Hold On To The Nights	Richard Marx
I Don't Want To Be A Hero	Johnny Hates Jazz
Fallen Angel	Poison
What's On Your Mind (Pure Energy)	Information Society
Staying Together	Debbie Gibson
Look Out Any Window	Bruce Hornsby & The Range
Red Red Wine	UB40
Missed Opportunity	Daryl Hall John Oates
Sayin' Sorry (Don't Make It Right)	Denise Lopez
Just Got Paid	Johnny Kemp
What You See Is What You Get	Brenda K. Starr
Forever Young	Rod Stewart
Don't You Know What The Night Can Do?	Steve Winwood
Rag Doll	Aerosmith
True Love	Glenn Frey
Chains Of Love	Erasure
Pour Some Sugar On Me	Def Leppard
Spring Love (Come Back To Me)	Stevie B
The Right Stuff	Vanessa Williams
Never Tear Us Apart	INXS
Summergirls	Dino
The Flame	Cheap Trick
Groovy Kind Of Love	Phil Collins
Parents Just Don't Understand	D.J. Jazzy Jeff & The Fresh Prince
Time And Tide	Basia
Off On Your Own (Girl)	Al B. Sure!
Superstitious	Europe
Inside Outside	The Cover Girls
Wild, Wild West	The Escape Club
Make It Last Forever	Keith Sweat (Duet With Jacci McGhee)
Do You Love Me	The Contours
The Dead Heart	Midnight Oil
The Twist	Fat Boys
Indestructible	Four Tops
The Loco-Motion	Kylie Minogue
Nice 'N' Slow	Freddie Jackson
Another Lover	Giant Steps
Jackie	Blue Zone U.K.
The Rumour	Olivia Newton-John
It Takes Two	Rob Base & D.J. E-Z Rock
Knocked Out	Paula Abdul
Better Be Home Soon	Crowded House
Say It's Gonna Rain	Will To Power
She's On The Left	Jeffrey Osborne
Don't Know What You Got (Till It's Gone)	Cinderella
Long And Lasting Love (Once In A Lifetime)	Glenn Medeiros
Don't Walk Away	Toni Childs
I Still Believe	Brenda K. Starr
The Colour Of Love	Billy Ocean
Powerful Stuff (From "Cocktail")	The Fabulous Thunderbirds
Heart Turns To Stone	Foreigner
I Know You're Out There Somewhere	The Moody Blues
Tell Me	White Lion
Always There For You	Stryper
Ship Of Fools	Robert Plant
Love Changes (Everything)	Climie Fisher
Inside A Dream	Jane Wiedlin
The Promise	When In Rome
Supersonic	J.J. Fad
Rush Hour	Jane Wiedlin
Pretty Boys And Pretty Girls	Book Of Love
Sendin' All My Love	The Jets
New Sensation	INXS
Heart Don't Fail Me Now	Holly Knight
What's The Matter Here?	10,000 Maniacs
Foolish Beat	Debbie Gibson
Kokomo (From"Cocktail" )	The Beach Boys
Lost In You	Rod Stewart
Mercedes Boy	Pebbles
Kiss Me Deadly	Lita Ford
Mary, Mary	Run-D.M.C.
