Black Velvet	Alannah Myles
Love Will Lead You Back	Taylor Dayne
I Wish It Would Rain Down	Phil Collins
I'll Be Your Everything	Tommy Page
All Around The World	Lisa Stansfield
Don't Wanna Fall In Love	Jane Child
Escapade	Janet Jackson
Keep It Together	Madonna
Get Up! (Before The Night Is Over)	Technotronic
Here And Now	Luther Vandross
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Forever	KISS
Roam	The B-52s
I Wanna Be Rich	Calloway
Whole Wide World (From "True Love")	A'me Lorain
Nothing Compares 2 U	Sinead O'Connor
No Myth	Michael Penn
Sacrifice	Elton John
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
I Go To Extremes	Billy Joel
Without You	Motley Crue
No More Lies	Michel'le
How Can We Be Lovers	Michael Bolton
Just A Friend	Biz Markie
Heartbeat	Seduction
Whip Appeal	Babyface
Dangerous	Roxette
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
Love Me For Life	Stevie B
Price Of Love	Bad English
Heart Of Stone	Cher
If U Were Mine	The U-Krew
The Heart Of The Matter	Don Henley
What It Takes	Aerosmith
Sending All My Love	Linear
You're The Only Woman	The Brat Pack
Wild Women Do (From "Pretty Woman")	Natalie Cole
Love Child	Sweet Sensation
Sometimes She Cries	Warrant
True Blue Love	Lou Gramm
Room At The Top	Adam Ant
Too Late To Say Goodbye	Richard Marx
Hold On	Wilson Phillips
Here We Are	Gloria Estefan
The Secret Garden	Quincy Jones
This Old Heart Of Mine	Rod Stewart With Ronald Isley
Fly High Michelle	Enuff Z'Nuff
Got To Get	Leila K With Rob 'N' Raz
Blue Sky Mine	Midnight Oil
Lambada	Kaoma
A Face In The Crowd	Tom Petty
Personal Jesus	Depeche Mode
The Humpty Dance	Digital Underground
Have A Heart	Bonnie Raitt
Make It Like It Was	Regina Belle
The Deeper The Love	Whitesnake
All I Wanna Do Is Make Love To You	Heart
We Can't Go Wrong	The Cover Girls
A Little Love	Corey Hart
Expression	Salt-N-Pepa
Your Baby Never Looked Good In Blue	Expose
Time After Time	Timmy T.
Anything I Want	Kevin Paige
House Of Pain	Faster Pussycat
Living In Oblivion	Anything Box
The Way It Is	Tesla
All Or Nothing	Milli Vanilli
Summer Rain	Belinda Carlisle
A Girl Like You	The Smithereens
Bust A Move	Young M.C.
Hurting Kind (I've Got My Eyes On You)	Robert Plant
If You Leave Me Now	Jaya
Hide And Seek	Pajama Party
Two To Make It Right	Seduction
Almost Hear You Sigh	The Rolling Stones
Whatcha Gonna Do With My Lovin'	Inner City
I'll See You In My Dreams	Giant
99 Worlds	Peter Wolf
I Come Off	Young M.C.
Anytime	McAuley Schenker Group
Real Love	Skyy
You Can't Get Away	Shana
House Of Broken Love	Great White
How Am I Supposed To Live Without You	Michael Bolton
What Kind Of Man Would I Be?	Chicago
Cuts You Up	Peter Murphy
Precious Love	Jody Watley
Getting Away With It	Electronic
How 'Bout Us (From "True Love")	Grayson Hugh & Betty Wright
I Remember You	Skid Row
Dirty Deeds	Joan Jett
I'll Be There	Joyce "Fenderella" Irby
Me So Horny	The 2 Live Crew
Moonlight On Water	Laura Branigan
Love Song	Tesla
Ready Or Not	After 7
Back To Life	Soul II Soul
Advice For The Young At Heart	Tears For Fears
Bad Love	Eric Clapton
You're The Voice	John Farnham
