To Be With You	Mr. Big
I'm Too Sexy	Right Said Fred
I Love Your Smile	Shanice
Remember The Time	Michael Jackson
Diamonds And Pearls	Prince And The N.P.G.
Tell Me What You Want Me To Do	Tevin Campbell
Don't Let The Sun Go Down On Me	George Michael/Elton John
Masterpiece	Atlantic Starr
Smells Like Teen Spirit	Nirvana
All 4 Love	Color Me Badd
Save The Best For Last	Vanessa Williams
Tears In Heaven	Eric Clapton
Good For Me	Amy Grant
Finally	CeCe Peniston
Missing You Now	Michael Bolton
The Way I Feel About You	Karyn White
Vibeology	Paula Abdul
Uhh Ahh	Boyz II Men
Mysterious Ways	U2
Can't Let Go	Mariah Carey
I Can't Dance	Genesis
2 Legit 2 Quit	M.C. Hammer
I'll Get By	Eddie Money
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Justified And Ancient	The KLF Featuring Tammy Wynette
Keep It Comin'	Keith Sweat
I Can't Make You Love Me	Bonnie Raitt
Thinkin' Back	Color Me Badd
What Becomes Of The Brokenhearted	Paul Young
Paper Doll	P.M. Dawn
Until Your Love Comes Back Around	RTZ
Beauty And The Beast	Celine Dion And Peabo Bryson
Oochie Coochie	M.C. Brains
We Got A Love Thang	CeCe Peniston
Black Or White	Michael Jackson
Is It Good To You	Heavy D & The Boyz
Addams Groove	M.C. Hammer
Move Any Mountain	The Shamen
Again Tonight	John Mellencamp
Live And Let Die	Guns N' Roses
Stay	Jodeci
Make It Happen	Mariah Carey
On A Sunday Afternoon	Lighter Shade Of Brown
There Will Never Be Another Tonight	Bryan Adams
A Deeper Love/Pride In The Name Of Love	Clivilles & Cole
No Son Of Mine	Genesis
Too Blind To See It	Kym Sims
Kiss You Back	Digital Underground
Everything Changes	Kathy Troccoli
Hazard	Richard Marx
Set Adrift On Memory Bliss	P.M. Dawn
If You Go Away	NKOTB
You Showed Me	Salt-N-Pepa
Stars	Simply Red
Romeo & Juliet	Stacy Earl (Featuring The Wild Pair)
I've Got A Lot To Learn About Love	The Storm
Broken Arrow	Rod Stewart
Too Much Passion	The Smithereens
Mama, I'm Coming Home	Ozzy Osbourne
Baby Hold On To Me	Gerald Levert (Duet With Eddie Levert)
I Wanna Be Your Girl	Icy Blu
You Are The One	Chris Cuevas
Hearts Don't Think (They Feel)	Natural Selection
Wildside	Marky Mark & The Funky Bunch
What Goes Around Comes Around	Giggles
Can't Cry Hard Enough	The Williams Brothers
The Unforgiven	Metallica
Everything's Gonna Be Alright	Naughty By Nature
Right Now	Van Halen
Church Of Your Heart	Roxette
Love Me All Up	Stacy Earl
In Paradise	Laissez Faire
Forever My Lady	Jodeci
I Need Money	Marky Mark & The Funky Bunch
Change	Lisa Stansfield
Angel Baby	Angelica
Ain't Gonna Hurt Nobody	Kid 'N Play
Blowing Kisses In The Wind	Paula Abdul
Keep Coming Back	Richard Marx
Ain't 2 Proud 2 Beg	TLC
Hold On (Tighter To Love)	Clubland
The Globe	Big Audio
Tender Kisses	Tracie Spencer
I Want You	Jody Watley
How I Could Just Kill A Man/The Phuncky Feel One	Cypress Hill
Spending My Time	Roxette
Caribbean Blue	Enya
Kissing The Wind	Nia Peeples
Boom! I Got Your Boyfriend	MC Luscious
Send Me An Angel	Scorpions
Nu Nu	Lidell Townsell
Everlasting Love	Tony Terry
In My Dreams	The Party
The Choice Is Yours	Black Sheep
You Think You Know Her	Cause And Effect
Don't Lose The Magic	Shawn Christopher
Home Sweet Home	Motley Crue
Save Up All Your Tears	Cher
Cold Shower	Erin Cruise
Juice (Know The Ledge)	Eric B. & Rakim
