Pop Muzik	M
Heartache Tonight	Eagles
Dim All The Lights	Donna Summer
Rise	Herb Alpert
Still	Commodores
Don't Stop 'til You Get Enough	Michael Jackson
Babe	Styx
Tusk	Fleetwood Mac
You Decorated My Life	Kenny Rogers
No More Tears (Enough Is Enough)	Barbra Streisand/Donna Summer
Please Don't Go	KC And The Sunshine Band
Dirty White Boy	Foreigner
I'll Never Love This Way Again	Dionne Warwick
Good Girls Don't	The Knack
Ships	Barry Manilow
Lovin', Touchin', Squeezin'	Journey
Come To Me	France Joli
Hold On	Ian Gomm
Sail On	Commodores
I Know A Heartache When I See One	Jennifer Warnes
Broken Hearted Me	Anne Murray
This Night Won't Last Forever	Michael Johnson
Sad Eyes	Robert John
Gotta Serve Somebody	Bob Dylan
If You Remember Me	Chris Thompson & Night
My Sharona	The Knack
You're Only Lonely	J.D. Souther
Heaven Must Have Sent You	Bonnie Pointer
Rainbow Connection	Kermit (Jim Henson)
So Good, So Right	Brenda Russell
Take The Long Way Home	Supertramp
Please Don't Leave	Lauren Wood
Dream Police	Cheap Trick
Lonesome Loser	Little River Band
Fins	Jimmy Buffett
Victim Of Love	Elton John
Dreaming	Blondie
Street Life	The Crusaders
Half The Way	Crystal Gayle
Better Love Next Time	Dr. Hook
I Want You Tonight	Pablo Cruise
Let Me Know (I Have A Right)	Gloria Gaynor
My Forbidden Lover	Chic
I Need A Lover	John Cougar
5:15	The Who
Who Listens To The Radio	The Sports
Confusion	Electric Light Orchestra
Cool Change	Little River Band
If You Want It	Niteflyte
Damned If I Do	The Alan Parsons Project
Send One Your Love	Stevie Wonder
Cruisin'	Smokey Robinson
It's All I Can Do	The Cars
Where Were You When I Was Falling In Love	Lobo
Do That To Me One More Time	Captain & Tennille
Ladies Night	Kool & The Gang
Pretty Girls	Melissa Manchester
Love Pains	Yvonne Elliman
We Don't Talk Anymore	Cliff Richard
Escape (The Pina Colada Song)	Rupert Holmes
Slip Away	Ian Lloyd
In The Stone	Earth, Wind & Fire
This Is It	Kenny Loggins
Jane	Jefferson Starship
Get It Up	Ronnie Milsap
Midnight Wind	John Stewart
What Can I Do With This Broken Heart	England Dan & John Ford Coley
Spooky	Atlanta Rhythm Section
Highway To Hell	AC/DC
Train, Train	Blackfoot
Get It Right Next Time	Gerry Rafferty
Don't Let Go	Isaac Hayes
Don't Bring Me Down	Electric Light Orchestra
Peter Piper	Frank Mills
Found A Cure	Ashford & Simpson
Rock With You	Michael Jackson
Wait For Me	Daryl Hall John Oates
(Not Just) Knee Deep - Part 1	Funkadelic
Hey Hey, My My (Into The Black)	Neil Young & Crazy Horse
Pow Wow	Cory Daye
I Still Have Dreams	Richie Furay
No Chance	Moon Martin
Sure Know Something	KISS
Cruel To Be Kind	Nick Lowe
When I Think Of You	Leif Garrett
Too Late	Shoes
She's Got A Whole Number	Keith Herman
Starry Eyes	The Records
(Bringing Out) The Girl In Me	Maxine Nightingale
Ready For The 80's	Village People
Life During Wartime (This Ain't No Party...This Ain't No Disco...This Ain't	Talking Heads
Lay It On The Line	Triumph
I Just Can't Control Myself	Nature's Divine
Don't Drop My Love	Anita Ward
Since You've Been Gone	Cherie & Marie Currie
I Do The Rock	Tim Curry
I Call Your Name	Switch
Touch Me When We're Dancing	Bama
You Stepped Into My Life	Wayne Newton
Fooled By A Feeling	Barbara Mandrell
