Could've Been	Tiffany
Seasons Change	Expose
I Want To Be Your Man	Roger
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Need You Tonight	INXS
Hazy Shade Of Winter	The Bangles
Say You Will	Foreigner
Don't Shed A Tear	Paul Carrack
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Never Gonna Give You Up	Rick Astley
Father Figure	George Michael
Tunnel Of Love	Bruce Springsteen
Everywhere	Fleetwood Mac
I Live For Your Love	Natalie Cole
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
Pump Up The Volume	M/A/R/R/S
I Get Weak	Belinda Carlisle
I Found Someone	Cher
Pop Goes The World	Men Without Hats
Push It	Salt-N-Pepa
I Could Never Take The Place Of Your Man	Prince
Just Like Paradise	David Lee Roth
The Way You Make Me Feel	Michael Jackson
Got My Mind Set On You	George Harrison
Endless Summer Nights	Richard Marx
Love Overboard	Gladys Knight And The Pips
Tell It To My Heart(Dub)	Taylor Dayne
Candle In The Wind	Elton John
Because Of You	The Cover Girls
Be Still My Beating Heart	Sting
853-5937	Squeeze
Out Of The Blue	Debbie Gibson
I Want Her	Keith Sweat
Hysteria	Def Leppard
Man In The Mirror	Michael Jackson
(Sittin' On) The Dock Of The Bay	Michael Bolton
Honestly	Stryper
Crazy	Icehouse
Rocket 2 U	The Jets
Live My Life (From The Film "Hiding Out")	Boy George
Twilight World	Swing Out Sister
Rhythm Of Love	Yes
So Emotional	Whitney Houston
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Never Thought (That I Could Love)	Dan Hill
Faith	George Michael
There's The Girl	Heart
Get Outta My Dreams, Get Into My Car	Billy Ocean
Girlfriend	Pebbles
Wishing Well	Terence Trent D'Arby
Rock Of Life	Rick Springfield
Check It Out	John Mellencamp
Angel	Aerosmith
All I Want Is You	Carly Simon
Never Can Say Goodbye	The Communards
Some Kind Of Lover	Jody Watley
When We Was Fab	George Harrison
Never Knew Love Like This	Alexander O'Neal Featuring Cherrelle
You Don't Know	Scarlett & Black
Is This Love	Whitesnake
How Can I Forget You	Elisa Fiorillo
Never Let Me Down Again	Depeche Mode
Don't You Want Me	Jody Watley
Devil Inside	INXS
Cherry Bomb	John Mellencamp
Save Your Love	Great White
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Shake Your Love	Debbie Gibson
It's The End Of The World As We Know It (And I Feel Fine)	R.E.M.
True Faith	New Order
I Need A Man	Eurythmics
Don't Look Any Further	The Kane Gang
Coming Up You	The Cars
Hot Thing	Prince
In God's Country	U2
Lonely Won't Leave Me Alone	Glenn Medeiros
You Will Know	Stevie Wonder
Thinking Of You	Earth, Wind & Fire
Give Me All Your Love	Whitesnake
Talking Back To The Night	Steve Winwood
Power Of Love	Laura Branigan
Lover's Lane	Georgio
Valerie	Steve Winwood
That's What Love Is All About	Michael Bolton
Reason To Live	KISS
The Motion Of Love	Gene Loves Jezebel
Electric Blue	Icehouse
Without You	Peabo Bryson & Regina Belle
I Wish I Had A Girl	Henry Lee Summer
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Just Like Heaven	The Cure
Ever Since The World Began	Tommy Shaw
Animal	Def Leppard
Hot In The City	Billy Idol
Should've Known Better	Richard Marx
Heaven Is A Place On Earth	Belinda Carlisle
I Heard It Through The Grapevine	The California Raisins
I Can't Help It	Bananarama
Dude (Looks Like A Lady)	Aerosmith
