Panda	Desiigner
7 Years	Lukas Graham
One Dance	Drake Featuring WizKid & Kyla
Work	Rihanna Featuring Drake
I Took A Pill In Ibiza	Mike Posner
Work From Home	Fifth Harmony Featuring Ty Dolla $ign
No	Meghan Trainor
Pillowtalk	Zayn
Love Yourself	Justin Bieber
Me, Myself & I	G-Eazy x Bebe Rexha
Cake By The Ocean	DNCE
My House	Flo Rida
Stressed Out	twenty one pilots
Don't Let Me Down	The Chainsmokers Featuring Daya
Dangerous Woman	Ariana Grande
Never Forget You	Zara Larsson & MNEK
Purple Rain	Prince And The Revolution
Low Life	Future Featuring The Weeknd
2 Phones	Kevin Gates
When Doves Cry	Prince
Sorry	Justin Bieber
Oui	Jeremih
Needed Me	Rihanna
Middle	DJ Snake Featuring Bipolar Sunshine
Pop Style	Drake Featuring The Throne
Close	Nick Jonas Featuring Tove Lo
One Call Away	Charlie Puth
Kiss	Prince And The Revolution
Little Red Corvette	Prince
Stitches	Shawn Mendes
Let It Go	James Bay
Exchange	Bryson Tiller
Roses	The Chainsmokers Featuring Rozes
Jumpman	Drake & Future
Hands To Myself	Selena Gomez
Hello	Adele
Don't	Bryson Tiller
Somewhere On A Beach	Dierks Bentley
Let's Go Crazy	Prince And The Revolution
Down In The DM	Yo Gotti Featuring Nicki Minaj
1999	Prince
Just Like Fire	P!nk
Cut It	O.T. Genasis Featuring Young Dolph
Humble And Kind	Tim McGraw
Think Of You	Chris Young Duet With Cassadee Pope
The Sound Of Silence	Disturbed
Cheap Thrills	Sia Featuring Sean Paul
The Hills	The Weeknd
Youth	Troye Sivan
Lost Boy	Ruth B
Snapback	Old Dominion
Wild Things	Alessia Cara
Came Here To Forget	Blake Shelton
Confession	Florida Georgia Line
You Should Be Here	Cole Swindell
T-Shirt	Thomas Rhett
Back To Sleep	Chris Brown
Company	Justin Bieber
I Like The Sound Of That	Rascal Flatts
Huntin', Fishin' And Lovin' Every Day	Luke Bryan
My Church	Maren Morris
Famous	Kanye West
Promise	Kid Ink Featuring Fetty Wap
Father Stretch My Hands Pt. 1	Kanye West
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Summer Sixteen	Drake
Team	Iggy Azalea
Really Really	Kevin Gates
Mind Reader	Dustin Lynch
Kiss It Better	Rihanna
Might Not	Belly Featuring The Weeknd
Never Be Like You	Flume Featuring Kai
Wicked	Future
Ride	twenty one pilots
Acquainted	The Weeknd
Light It Up	Major Lazer Featuring Nyla & Fuse ODG
Body	Dreezy Featuring Jeremih
New Romantics	Taylor Swift
Head Over Boots	Jon Pardi
Uber Everywhere	MadeinTYO
That Don't Sound Like You	Lee Brice
Piece By Piece	Kelly Clarkson
Drunk On Your Love	Brett Eldredge
If It Ain't Love	Jason Derulo
Moolah	Young Greatness
Law	Yo Gotti Featuring E-40
Saved	Ty Dolla $ign Featuring E-40
Little Bit Of You	Chase Bryant
Ophelia	The Lumineers
Lights Come On	Jason Aldean
Wasted Time	Keith Urban
Might Be	DJ Luke Nasty
I Hate U I Love U	gnash Featuring Olivia O'Brien
Faded	Alan Walker
You Don't Own Me	Grace Featuring G-Eazy
Noise	Kenny Chesney
Pt. 2	Kanye West
Jimmy Choo	Fetty Wap
Let Me Love You	Ariana Grande Featuring Lil Wayne
Fast Car	Jonas Blue Featuring Dakota
