I'm Sorry	John Denver
Fame	David Bowie
Rhinestone Cowboy	Glen Campbell
Fight The Power Part 1	The Isley Brothers
Run Joey Run	David Geddes
Could It Be Magic	Barry Manilow
At Seventeen	Janis Ian
Wasted Days And Wasted Nights	Freddy Fender
Ballroom Blitz	Sweet
Feel Like Makin' Love	Bad Company
Ain't No Way To Treat A Lady	Helen Reddy
Dance With Me	Orleans
That's The Way Of The World	Earth, Wind & Fire
Mr. Jaws	Dickie Goodman
(I Believe) There's Nothing Stronger Than Our Love	Paul Anka/Odia Coates
Feelings	Morris Albert
It Only Takes A Minute	Tavares
They Just Can't Stop It the (Games People Play)	The Spinners
Fallin' In Love	Hamilton, Joe Frank & Reynolds
Daisy Jane	America
How Long (Betcha' Got A Chick On The Side)	The Pointer Sisters
The Proud One	The Osmonds
Brazil	The Ritchie Family
Rocky	Austin Roberts
Bad Blood	Neil Sedaka
Gone At Last	Paul Simon/Phoebe Snow
Miracles	Jefferson Starship
Get Down Tonight	KC And The Sunshine Band
Lady Blue	Leon Russell
Who Loves You	The 4 Seasons
Carolina In The Pines	Michael Murphey
Main Title (Theme From "Jaws")	John Williams/"Jaws" Soundtrack
Do It Any Way You Wanna	People's Choice
You're All I Need To Get By	Tony Orlando & Dawn
What A Diff'rence A Day Makes	Esther Phillips
Solitaire	Carpenters
I Got Stoned And I Missed It	Jim Stafford
I Only Have Eyes For You	Art Garfunkel
If I Ever Lose This Heaven	AWB
Lyin' Eyes	Eagles
Third Rate Romance	Amazing Rhythm Aces
Rockin' All Over The World	John Fogerty
This Will Be	Natalie Cole
Heat Wave/love Is A Rose	Linda Ronstadt
Blue Eyes Crying In The Rain	Willie Nelson
Katmandu	Bob Seger
How Sweet It Is (To Be Loved By You)	James Taylor
7-6-5-4-3-2-1 (Blow Your Whistle)	Gary Toms Empire
You	George Harrison
There Goes Another Love Song	The Outlaws
I Love Makin' Love To You	Evie Sands
Sweet Sticky Thing	Ohio Players
Only You Can	Fox
Sky High	Jigsaw
The Agony And The Ecstasy	Smokey Robinson
Your Love	Graham Central Station
Money	Gladys Knight And The Pips
Born To Run	Bruce Springsteen
I Get High On You	Sly Stone
Dreaming A Dream	Crown Heights Affair
Brand New Love Affair (Part I & II)	Chicago
Black Superman - "Muhammad Ali"	Johnny Wakelin & The Kinshasa Band
Eighteen With A Bullet	Pete Wingfield
To Each His Own	Faith, Hope And Charity
You Ain't Never Been Loved (Like I'm Gonna Love You)	Jessi Colter
Something Better To Do	Olivia Newton-John
(All I Have To Do Is) Dream	The Nitty Gritty Dirt Band
Low Rider	War
Just Too Many People	Melissa Manchester
I Want'a Do Something Freaky To You	Leon Haywood
Every Day I Have To Cry Some	Arthur Alexander
Hollywood Hot	The Eleventh Hour
Mr. D.J. (5 For The D.J.)	Aretha Franklin
Help Me Make It (To My Rockin' Chair)	B.J. Thomas
Give It What You Got/Peace Pipe	B.T. Express
S.O.S.	ABBA
Operator	The Manhattan Transfer
Party Music	Pat Lundi
Are You Sure Hank Done It This Way	Waylon Jennings
The Way I Want To Touch You	Captain & Tennille
If I Could Only Win Your Love	Emmylou Harris
Don't It Make You Wanna Dance?	Rusty Wier
Diamonds And Rust	Joan Baez
Someone Saved My Life Tonight	Elton John
Mamacita	The Grass Roots
Salsoul Hustle	The Salsoul Orchestra
Leftovers	Millie Jackson
A Friend Of Mine Is Going Blind	John Dawson Read
Manhattan Spiritual	Mike Post
Keep On Tryin'	Poco
Living For The City	Ray Charles
Rockin' And Rollin' On The Streets Of Hollywood	Buddy Miles
Nothin' Heavy	David Bellamy
I Go To Pieces	Cotton, Lloyd & Christian
What You Got	Duke & The Drivers
Dear Prudence	Katfish
We Been Singin' Songs	Baron Stewart
Let's Live Together	The Road Apples
So In Love	Curtis Mayfield
Easy Evil	Travis Wammack
