Mickey	Toni Basil
Gloria	Laura Branigan
Maneater	Daryl Hall John Oates
Truly	Lionel Richie
The Girl Is Mine	Michael Jackson And Paul McCartney
Steppin' Out	Joe Jackson
Dirty Laundry	Don Henley
Sexual Healing	Marvin Gaye
Rock This Town	Stray Cats
Muscles	Diana Ross
It's Raining Again	Supertramp Featuring Roger Hodgson
Up Where We Belong	Joe Cocker And Jennifer Warnes
Shadows Of The Night	Pat Benatar
Down Under	Men At Work
Heartbreaker	Dionne Warwick
Heart Attack	Olivia Newton-John
Heartlight	Neil Diamond
Africa	Toto
Rock The Casbah	The Clash
The Look Of Love (Part One)	ABC
You And I	Eddie Rabbitt With Crystal Gayle
Love Me Tomorrow	Chicago
Missing You	Dan Fogelberg
You Can't Hurry Love	Phil Collins
Baby, Come To Me	Patti Austin A Duet With James Ingram
I.g.y. (what A Beautiful World)	Donald Fagen
The Other Guy	Little River Band
Be My Lady	Jefferson Starship
Hand To Hold On To	John Cougar
On The Wings Of Love	Jeffrey Osborne
Heart To Heart	Kenny Loggins
You Got Lucky	Tom Petty And The Heartbreakers
Everybody Wants You	Billy Squier
A Penny For Your Thoughts	Tavares
Goody Two Shoes	Adam Ant
What About Me	Moving Pictures
I Do	The J. Geils Band
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
Shock The Monkey	Peter Gabriel
Love In Store	Fleetwood Mac
Whatcha Gonna Do	Chilliwack
Southern Cross	Crosby, Stills & Nash
Does It Make You Remember	Kim Carnes
1999	Prince
Two Less Lonely People In The World	Air Supply
Used To Be	Charlene & Stevie Wonder
(you're So Square) Baby, I Don't Care	Joni Mitchell
Space Age Love Song	A Flock Of Seagulls
I Gotta Try	Michael McDonald
Heart Of The Night	Juice Newton
Allentown	Billy Joel
Theme From Dynasty	Bill Conti
Wake Up My Love	George Harrison
Pressure	Billy Joel
Bad Boy/Having A Party	Luther Vandross
Nobody	Sylvia
Memory	Barry Manilow
Right Before Your Eyes	America
Bad Boy	Ray Parker Jr.
Forever Mine	The Motels
Put It In A Magazine	Sonny Charles
I Know There's Something Going On	Frida
Twilight Zone	Golden Earring
I'm So Excited	The Pointer Sisters
Goodbye To You	Scandal Featuring Patty Smyth
Psychobabble	The Alan Parsons Project
Nowhere To Run	Santana
You Don't Want Me Anymore	Steel Breeze
Destination Unknown	Missing Persons
Your Love Is Driving Me Crazy	Sammy Hagar
The Elvis Medley	Elvis Presley
Do You Really Want To Hurt Me	Culture Club
All Those Lies	Glenn Frey
On The Loose	Saga
After I Cry Tonight	Lanier & Co.
Cross My Heart	Lee Ritenour
I Knew You When	Linda Ronstadt
American Heartbeat	Survivor
Painted Picture	Commodores
Pass The Dutchie	Musical Youth
Who Can It Be Now?	Men At Work
Papa Was A Rollin' Stone	Wolf
Give It Up	The Steve Miller Band
Don't Stop Trying	Rodway
Jack & Diane	John Cougar
Funny How Time Slips Away	The Spinners
You've Got Another Thing Comin'	Judas Priest
Back On The Chain Gang	Pretenders
Pledge Pin	Robert Plant
The Clapping Song	Pia Zadora
Stand Or Fall	The Fixx
You Can Do Magic	America
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
A Love Song	Kenny Rogers
Eye In The Sky	The Alan Parsons Project
Get Closer	Linda Ronstadt
I Wouldn't Beg For Water	Sheena Easton
The One You Love	Glenn Frey
Love Come Down	Evelyn King
Break It To Me Gently	Juice Newton
