Love Hangover	Diana Ross
Silly Love Songs	Wings
Fooled Around And Fell In Love	Elvin Bishop
Get Up And Boogie (That's Right)	Silver Convention
Misty Blue	Dorothy Moore
Happy Days	Pratt & McClain with Brother Love
Welcome Back	John Sebastian
Shannon	Henry Gross
Sara Smile	Daryl Hall John Oates
Tryin' To Get The Feeling Again	Barry Manilow
Fool To Cry	The Rolling Stones
Rhiannon (Will You Ever Win)	Fleetwood Mac
Boogie Fever	The Sylvers
Shop Around	Captain & Tennille
Right Back Where We Started From	Maxine Nightingale
Love In The Shadows	Neil Sedaka
More, More, More Pt. 1	Andrea True Connection
Strange Magic	Electric Light Orchestra
Show Me The Way	Peter Frampton
Young Blood	Bad Company
Movin'	Brass Construction
Love Really Hurts Without You	Billy Ocean
I Want You	Marvin Gaye
Union Man	Cate Bros.
Takin' It To The Streets	The Doobie Brothers
Love Is Alive	Gary Wright
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Hurt/for The Heart	Elvis Presley
One Piece At A Time	Johnny Cash And The Tennessee Three
I'll Be Good To You	The Brothers Johnson
Disco Lady	Johnnie Taylor
Never Gonna Fall In Love Again	Eric Carmen
Rock And Roll Love Letter	Bay City Rollers
Moonlight Feels Right	Starbuck
I.O.U.	Jimmy Dean
Kiss And Say Goodbye	The Manhattans
Crazy On You	Heart
It's Over	Boz Scaggs
Bohemian Rhapsody	Queen
Still Crazy After All These Years	Paul Simon
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Take The Money And Run	Steve Miller
Happy Music	The Blackbyrds
Dance Wit Me	Rufus Featuring Chaka Khan
Afternoon Delight	Starland Vocal Band
That's Where The Happy People Go	The Trammps
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
Let Your Love Flow	Bellamy Brothers
Thinking Of You	Paul Davis
The Boys Are Back In Town	Thin Lizzy
Sixteen Tons	The Don Harrison Band
Could It Be Magic	Donna Summer
Yes, Yes, Yes	Bill Cosby
Turn The Beat Around	Vicki Sue Robinson
Today's The Day	America
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
Making Our Dreams Come True	Cyndi Grecco
Come On Over	Olivia Newton-John
Bigfoot	Bro Smith
It Makes Me Giggle	John Denver
I'm Easy	Keith Carradine
Let Her In	John Travolta
Mamma Mia	ABBA
Save Your Kisses For Me	Brotherhood Of Man
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
You're My Best Friend	Queen
December, 1963 (Oh, What a Night)	The 4 Seasons
It's Cool	The Tymes
TVC15	David Bowie
Everything That 'Cha Do (Will Come Back To You)	Wet Willie
Better Days	Melissa Manchester
Only Sixteen	Dr. Hook
Young Hearts Run Free	Candi Staton
Lonely Teardrops	Narvel Felts
You're My Everything	Lee Garrett
High Out Of Time	Carole King
Let It Shine	Santana
I Wanna Stay With You	Gallagher And Lyle
Foxy Lady	Crown Heights Affair
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Anytime (i'll Be There)	Paul Anka
Silver Star	The 4 Seasons
Lipstick	Michel Polnareff
'til I Can Make It On My Own	Tammy Wynette
Save Your Kisses For Me	Bobby Vinton
Who Loves You Better - Part 1	The Isley Brothers
Vaya Con Dios	Freddy Fender
Music	John Miles
Sophisticated Lady (She's A Different Lady)	Natalie Cole
The Hungry Years	Wayne Newton
Sweet Love	Commodores
Open	Smokey Robinson
Rain, Oh Rain	Fools Gold
The Lonely One	Special Delivery Featuring Terry Huff
You're Just The Right Size	The Salsoul Orchestra
Lookin' Out For #1	Bachman-Turner Overdrive
Night Walk	Van Mccoy
I'm Gonna Let My Heart Do The Walking	The Supremes
Lonely Night (angel Face)	Captain & Tennille
Tubular Bells	The Champs' Boys Orchestra
