Unpretty	TLC
She's All I Ever Had	Ricky Martin
Smooth	Santana Featuring Rob Thomas
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Bailamos	Enrique Iglesias
Genie In A Bottle	Christina Aguilera
Someday	Sugar Ray
All Star	Smash Mouth
Scar Tissue	Red Hot Chili Peppers
I Need To Know	Marc Anthony
My Love Is Your Love	Whitney Houston
Where My Girls At?	702
I Do (Cherish You)	98 Degrees
Summer Girls	LFO
We Can't Be Friends	Deborah Cox With R.L.
Heartbreaker	Mariah Carey Featuring Jay-Z
I Want It That Way	Backstreet Boys
Black Balloon	Goo Goo Dolls
Lost In You	Garth Brooks as Chris Gaines
She's So High	Tal Bachman
Steal My Sunshine	Len
Spend My Life With You	Eric Benet Featuring Tamia
Bills, Bills, Bills	Destiny's Child
So Anxious	Ginuwine
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
If You Had My Love	Jennifer Lopez
Back At One	Brian McKnight
Something Like That	Tim McGraw
Last Kiss	Pearl Jam
Never Gonna Let You Go	Faith Evans
Vivrant Thing	Q-Tip
Out Of My Head	Fastball
I Want It All	Warren G Featuring Mack 10
(You Drive Me) Crazy	Britney Spears
I Love You	Martina McBride
Tell Me It's Real	K-Ci & JoJo
Get Gone	Ideal
There She Goes	Sixpence None The Richer
Ready To Run	Dixie Chicks
Amazed	Lonestar
Music Of My Heart	'N Sync & Gloria Estefan
You Had Me From Hello	Kenny Chesney
Jigga My N****	JAY-Z
Man! I Feel Like A Woman!	Shania Twain
Little Man	Alan Jackson
What Ya Want	EVE & Nokio
Larger Than Life	Backstreet Boys
Better Days (And The Bottom Drops Out)	Citizen King
I Will Remember You (Live)	Sarah McLachlan
It's All About You (Not About Me)	Tracie Spencer
Lesson In Leavin'	Jo Dee Messina
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
Hey Leonardo (She Likes Me For Me)	Blessid Union Of Souls
Angels Would Fall	Melissa Etheridge
If I Could Turn Back The Hands Of Time	R. Kelly
Gotta Man	Eve
The Secret Of Life	Faith Hill
All That I Can Say	Mary J. Blige
Girls' Best Friend	JAY-Z
What Do You Say To That	George Strait
What's My Age Again?	Blink-182
You'll Be In My Heart	Phil Collins
Higher	Creed
Jamboree	Naughty By Nature Featuring Zhane
I'll Still Love You More	Trisha Yearwood
I Could Not Ask For More	Edwin McCain
Bug A Boo	Destiny's Child
Meeting In My Bedroom	Silk
U Know What's Up	Donell Jones
Wanna Be A Baller	Lil' Troy Featuring Yungsta, Fat Pat, Lil' Will, Hawk, Big T
Candy	Mandy Moore
I'm Already Taken	Steve Wariner
Lonely And Gone	Montgomery Gentry
Satisfy You	Puff Daddy Featuring R. Kelly
American Woman	Lenny Kravitz
Happily Ever After	Case
She's In Love	Mark Wills
(Now You See Me) Now You Don't	Lee Ann Womack
Beauty	Dru Hill
All N My Grill	Missy "Misdemeanor" Elliott Featuring Big Boi & Nicole
Home To You	John Michael Montgomery
I'll Go Crazy	Andy Griggs
Smile	Vitamin C Featuring Lady Saw
The Chemicals Between Us	Bush
God Must Have Spent A Little More Time On You	Alabama Featuring 'N Sync
Sometimes	Britney Spears
Beautiful Stranger	Madonna
Sunshine	Coko
All Things Considered	Yankee Grey
Lightning Does The Work	Chad Brock
15 Minutes	Marc Nelson
I Love You Came Too Late	Joey McIntyre
I'll Be Your Everything	Youngstown
Everything Is Everything	Lauryn Hill
You've Got A Way	Shania Twain
Everyone Falls In Love	Tanto Metro & Devonte
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
Nookie	Limp Bizkit
Never Been Kissed	Sherrie Austin
Southern Gul	Erykah Badu Featuring Rahzel
