In The Year 2525	Zager & Evans
Honky Tonk Women	The Rolling Stones
Crystal Blue Persuasion	Tommy James And The Shondells
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
A Boy Named Sue	Johnny Cash
Put A Little Love In Your Heart	Jackie DeShannon
Ruby, Don't Take Your Love To Town	Kenny Rogers & The First Edition
My Cherie Amour	Stevie Wonder
What Does It Take (To Win Your Love)	Jr. Walker & The All Stars
Baby, I Love You	Andy Kim
Spinning Wheel	Blood, Sweat & Tears
Laughing	The Guess Who
Polk Salad Annie	Tony Joe White
Get Together	The Youngbloods
Green River	Creedence Clearwater Revival
Lay Lady Lay	Bob Dylan
Mother Popcorn (You Got To Have A Mother For Me) Part 1	James Brown
Quentin's Theme	The Charles Randolph Grean Sounde
My Pledge Of Love	The Joe Jeffrey Group
Give Peace A Chance	Plastic Ono Band
Choice Of Colors	The Impressions
Workin' On A Groovy Thing	The 5th Dimension
Good Morning Starshine	Oliver
Sugar, Sugar	The Archies
I'll Never Fall In Love Again	Tom Jones
Yesterday, When I Was Young	Roy Clark
I'd Wait A Million Years	The Grass Roots
Color Him Father	The Winstons
One	Three Dog Night
It's Getting Better	Mama Cass
Marrakesh Express	Crosby, Stills & Nash
Share Your Love With Me	Aretha Franklin
Along Came Jones	Ray Stevens
Commotion	Creedence Clearwater Revival
Clean Up Your Own Back Yard	Elvis Presley
Good Old Rock 'N Roll	Cat Mother & the All Night News Boys
Hurt So Bad	The Lettermen
Reconsider Me	Johnny Adams
The Nitty Gritty	Gladys Knight And The Pips
Easy To Be Hard	Three Dog Night
Soul Deep	The Box Tops
True Grit	Glen Campbell
Birthday	Underground Sunshine
Your Good Thing (Is About To End)	Lou Rawls
Muddy River	Johnny Rivers
Did You See Her Eyes	The Illusion
Abergavenny	Shannon
I'm Free	The Who
Goo Goo Barabajagal (Love Is Hot)	Donovan/Jeff Beck Group
Your Husband - My Wife	Brooklyn Bridge
Keem-O-Sabe	The Electric Indian
Everybody Knows Matilda	Duke Baxter
Moonflight	Vik Venus Alias: Your Main Moon Man
Hot Fun In The Summertime	Sly & The Family Stone
On Campus	Dickie Goodman
Jack And Jill	Tommy Roe
Change Of Heart	Dennis Yost And The Classics IV
Nobody But You Babe	Clarence Reid
Odds And Ends	Dionne Warwick
I've Lost Everything I've Ever Loved	David Ruffin
Simple Song Of Freedom	Tim Hardin
While You're Out Looking For Sugar?	The Honey Cone
Let Yourself Go	The Friends Of Distinction
When I Die	Motherlode
Oh, What A Night	The Dells
I Could Never Be President	Johnnie Taylor
Hey Joe	Wilson Pickett
Out Of Sight, Out Of Mind	Little Anthony And The Imperials
Ease Back	The Meters
Where Do I Go/Be-In/Hare Krishna	The Happenings
That's The Way God Planned It	Billy Preston
Jean	Oliver
The Young Folks	Diana Ross & The Supremes
Till You Get Enough	The Watts 103rd Street Rhythm Band
Nothing Can Take The Place Of You	Brook Benton
I Do	The Moments
Move Over	Steppenwolf
Questions 67 And 68	Chicago
Everybody's Talkin'	Nilsson
In A Moment	The Intrigues
First Hymn From Grand Terrace	Mark Lindsay
One Night Affair	The O'Jays
Chelsea Morning	Judy Collins
I Can't Get Next To You	The Temptations
Let Me Be The One	Peaches & Herb
The Colour Of My Love	Jefferson
What Kind Of Fool Do You Think I Am	Bill Deal & The Rhondels
I Take A Lot Of Pride In What I Am	Dean Martin
Maybe The Rain Will Fall	The Cascades
Look At Mine	Petula Clark
Muddy Mississippi Line	Bobby Goldsboro
Going In Circles	The Friends Of Distinction
Hook And Sling-Part I	Eddie Bo
Let Me Be The Man My Daddy Was	The Chi-lites
Who Do You Love	Quicksilver Messenger Service
Farewell Love Scene	Romeo & Juliet Soundtrack
You Got Yours And I'll Get Mine	The Delfonics
Goodbye Columbus	The Association
Oh How Happy	Blinky & Edwin Starr
Any Way That You Want Me	Evie Sands
