Soldier Boy	The Shirelles
Mashed Potato Time	Dee Dee Sharp
Johnny Angel	Shelley Fabares
Stranger On The Shore	Mr. Acker Bilk
Good Luck Charm	Elvis Presley With The Jordanaires
Shout - Part I	Joey Dee & the Starliters
Lover Please	Clyde McPhatter
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
P.T. 109	Jimmy Dean
Twist, Twist Senora	Gary U.S. Bonds
Young World	Rick Nelson
Dear One	Larry Finnegan
She Cried	Jay & The Americans
Funny Way Of Laughin'	Burl Ives
Old Rivers	Walter Brennan
Shout! Shout! (Knock Yourself Out)	Ernie Maresca
Soul Twist	King Curtis And The Noble Knights
Everybody Loves Me But You	Brenda Lee
Love Letters	Ketty Lester
Hide 'Nor Hair	Ray Charles and his Orchestra
Johnny Jingo	Hayley Mills
She Can't Find Her Keys	Paul Petersen
Love Me Warm And Tender	Paul Anka
Uptown	The Crystals
Cinderella	Jack Ross
Conscience	James Darren
I Wish That We Were Married	Ronnie and The Hi-Lites
What'd I Say (Part 1)	Bobby Darin
Caterina	Perry Como
The Jam - Part 1	Bobby Gregg and His Friends
Ginny Come Lately	Brian Hyland
Twistin' The Night Away	Sam Cooke
Lovers Who Wander	Dion
The One Who Really Loves You	Mary Wells
Nut Rocker	B. Bumble & The Stingers
Twistin' Matilda (and the channel)	Jimmy Soul
You Are Mine	Frankie Avalon
You Better Move On	Arthur Alexander
Midnight In Moscow	Kenny Ball and his Jazzmen
Anything That's Part Of You	Elvis Presley With The Jordanaires
Tell Me	Dick and DeeDee
Let Me In	The Sensations
Two Of A Kind	Sue Thompson
I Sold My Heart To The Junkman	The Blue-Belles
Dream Baby (How Long Must I Dream)	Roy Orbison
Most People Get Married	Patti Page
I Will	Vic Dana
At The Club	Ray Charles and his Orchestra
Something's Got A Hold On Me	Etta James
Moments	Jennell Hawkins
Night Train	James Brown And The Famous Flames
King Of Clowns	Neil Sedaka
Blues (Stay Away From Me)	Ace Cannon
Itty Bitty Pieces	James Ray
You Talk About Love	Barbara George
Runaway	Lawrence Welk And His Orchestra
Hey! Baby	Bruce Channel
(I was) Born To Cry	Dion
Don't Play That Song (You Lied)	Ben E. King
Count Every Star	Linda Scott
The Big Draft	The Four Preps
Tra La La La La	Ike & Tina Turner
Don't Break The Heart That Loves You	Connie Francis
Moon River	Henry Mancini And His Orchestra
So This Is Love	The Castells
Teach Me Tonight	George Maharis
Please Don't Ask About Barbara	Bobby Vee
Hearts	Jackie Wilson
What's Your Name	Don & Juan
Patricia - Twist	Perez Prado And His Orchestra
Meet Me At The Twistin' Place	Johnnie Morisette
Village Of Love	Nathaniel Mayer And The Fabulous Twilights
Thou Shalt Not Steal	John D. Loudermilk
If I Cried Every Time You Hurt Me	Wanda Jackson
Memories Of Maria	Jerry Byrd
Love Can't Wait	Marty Robbins
Number One Man	Bruce Channel
(The Man Who Shot) Liberty Valance	Gene Pitney
(What A Sad Way) To Love Someone	Ral Donner
Lemon Tree	Peter, Paul & Mary
Any Day Now (My Wild Beautiful Bird)	Chuck Jackson
Deep In The Heart Of Texas	Duane Eddy
Drummin' Up A Storm	Sandy Nelson
I Found A Love	The Falcons & Band (Ohio Untouchables)
I'll Take You Home	The Corsairs Featuring Jay "Bird" Uzzell
I Can't Stop Loving You	Ray Charles
I Love You	The Volume's
Playboy	The Marvelettes
Scotch And Soda	The Kingston Trio
Hit Record	Brook Benton
Walk On With The Duke	The Duke Of Earl
-twistin'-White Silver Sands	Bill Black's Combo
Here Comes That Feelin'	Brenda Lee
Doctor Feel-Good	Dr. Feelgood And The Interns
Oh My Angel	Bertha Tillman
Balboa Blue	The Marketts
Fortuneteller	Bobby Curtola
Adios Amigo	Jim Reeves
Lipstick Traces (On A Cigarette)	Benny Spellman
Why'd You Wanna Make Me Cry	Connie Stevens
