Informer	Snow
Freak Me	Silk
Nuthin' But A "G" Thang	Dr. Dre
I Have Nothing	Whitney Houston
Don't Walk Away	Jade
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
I'm So Into You	SWV
Two Princes	Spin Doctors
Cat's In The Cradle	Ugly Kid Joe
Ditty	Paperboy
Looking Through Patient Eyes	P.M. Dawn
Comforter	Shai
Hip Hop Hooray	Naughty By Nature
Bed Of Roses	Bon Jovi
It Was A Good Day	Ice Cube
I Got A Man	Positive K
Ordinary World	Duran Duran
Angel	Jon Secada
The Crying Game (From "The Crying Game")	Boy George
Mr. Wendal	Arrested Development
If I Ever Lose My Faith In You	Sting
I'm Every Woman (From "The Bodyguard")	Whitney Houston
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
That's What Love Can Do	Boy Krazy
Who Is It	Michael Jackson
Down With The King	Run-D.M.C.
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
Nothin' My Love Can't Fix	Joey Lawrence
Forever In Love	Kenny G
I Will Always Love You	Whitney Houston
So Alone	Men At Large
Simple Life	Elton John
Three Little Pigs	Green Jelly
Livin' On The Edge	Aerosmith
Connected	Stereo MC's
Love U More	Sunscreem
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Dazzey Duks	Duice
7	Prince And The New Power Generation
Dedicated	R. Kelly & Public Announcement
Sweet Thing	Mary J. Blige
Heal The World	Michael Jackson
Knockin' Da Boots	H-Town
Love Don't Love You	En Vogue
Buddy X	Neneh Cherry
Rhythm Is A Dancer	Snap!
Man On The Moon	R.E.M.
The Morning Papers	Prince And The New Power Generation
I'm Gonna Get You	Bizarre Inc
Show Me Love	Robin S.
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Supermodel (You Better Work)	RuPaul
Romeo	Dolly Parton & Friends
Tell Me What You Dream	Restless Heart Featuring Warren Hill
Tap The Bottle	Young Black Teenagers
I Feel You	Depeche Mode
What You Won't Do For Love	Go West
Weak	SWV
Come Undone	Duran Duran
Come In Out Of The Rain	Wendy Moten
I'll Never Get Over You (Getting Over Me)	Expose
Hat 2 Da Back	TLC
How I'm Comin'	LL Cool J
I See Your Smile	Gloria Estefan
Beautiful Girl	INXS
Let's Go Through The Motions (From "Who's The Man?")	Jodeci
Candy Everybody Wants	10,000 Maniacs
Tonight	Def Leppard
Touch My Light	Big Mountain
If I Could	Regina Belle
Closer	Remedy
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Get Away	Bobby Brown
Typical Reasons (Swing My Way)	Prince Markie Dee And The Soul Convention
Easy	Faith No More
Sleeping Satellite	Tasmin Archer
She's Not Cryin' Anymore	Billy Ray Cyrus
Good Ol' Days	Levert
Silence Is Broken (From "Nowhere To Run")	Damn Yankees
Kiss Of Life	Sade
Alibis	Tracy Lawrence
Funky Child	Lords Of The Underground
Bad Girl	Madonna
That's The Way Love Is	Bobby Brown
Passionate Kisses	Mary Chapin Carpenter
Have I Told You Lately	Rod Stewart
Reminisce	Mary J. Blige
Somebody Love Me	Michael W. Smith
Bow Wow Wow	Funkdoobiest
Knock-N-Boots	Wreckx-N-Effect
Sweet On U	Lo-Key?
Every Little Thing U Do	Christopher Williams
It's My Life	Dr. Alban
Murder She Wrote	Chaka Demus & Pliers
Deeper	Boss
What's Up	4 Non Blondes
Save Your Love	Bad Boys Blue
So Close	Dina Carroll
Roll Wit Tha Flava	The Flavor Unit MC's
You're The Love Of My Life/The Love I Lost	Sybil
