Faith	George Michael
Is This Love	Whitesnake
So Emotional	Whitney Houston
Shake Your Love	Debbie Gibson
Got My Mind Set On You	George Harrison
Don't You Want Me	Jody Watley
Heaven Is A Place On Earth	Belinda Carlisle
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Valerie	Steve Winwood
We'll Be Together	Sting
The Way You Make Me Feel	Michael Jackson
Should've Known Better	Richard Marx
Cherry Bomb	John Mellencamp
Dude (Looks Like A Lady)	Aerosmith
Tell It To My Heart(Dub)	Taylor Dayne
Need You Tonight	INXS
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Candle In The Wind	Elton John
That's What Love Is All About	Michael Bolton
Hazy Shade Of Winter	The Bangles
Animal	Def Leppard
There's The Girl	Heart
Seasons Change	Expose
Could've Been	Tiffany
The One I Love	R.E.M.
I Could Never Take The Place Of Your Man	Prince
Crazy	Icehouse
Power Of Love	Laura Branigan
I Do You	The Jets
Skeletons	Stevie Wonder
I Want To Be Your Man	Roger
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
I Think We're Alone Now	Tiffany
True Faith	New Order
Tunnel Of Love	Bruce Springsteen
Motortown	The Kane Gang
I Live For Your Love	Natalie Cole
Hourglass	Squeeze
Don't Shed A Tear	Paul Carrack
Pop Goes The World	Men Without Hats
Mony Mony	Billy Idol
I Don't Mind At All	Bourgeois Tagg
Say You Will	Foreigner
Honestly	Stryper
Everywhere	Fleetwood Mac
Just Like Heaven	The Cure
I've Been In Love Before	Cutting Crew
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
Push It	Salt-N-Pepa
(Baby Tell Me) Can You Dance	Shanice Wilson
I Found Someone	Cher
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
I Can't Help It	Bananarama
I Won't Forget You	Poison
Little Lies	Fleetwood Mac
Breakout	Swing Out Sister
You And Me Tonight	Deja
Because Of You	The Cover Girls
Pump Up The Volume	M/A/R/R/S
System Of Survival	Earth, Wind & Fire
In God's Country	U2
Brilliant Disguise	Bruce Springsteen
Lover's Lane	Georgio
Love Will Find A Way	Yes
Hot In The City	Billy Idol
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
Throwaway	Mick Jagger
In My Dreams	REO Speedwagon
Let Me Be The One	Expose
Criticize	Alexander O'Neal
Never Gonna Give You Up	Rick Astley
Cherokee	Europe
Causing A Commotion	Madonna
Silent Morning	Noel
U Got The Look	Prince
Never Thought (That I Could Love)	Dan Hill
Here I Go Again	Whitesnake
Someone To Love Me For Me	Lisa Lisa And Cult Jam Featuring Full Force
853-5937	Squeeze
Reason To Live	KISS
Don't Tell Me The Time	Martha Davis
Dear Mr. Jesus	Powersource (Solo...Sharon)
She's Fly	Tony Terry
She's Like The Wind	Patrick Swayze (Featuring Wendy Fraser)
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Rhythm Of Love	Yes
I Need A Man	Eurythmics
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
You're All I Need	Motley Crue
What's Too Much	Smokey Robinson
Special Way	Kool & The Gang
Eagles Fly	Sammy Hagar
It's A Sin	Pet Shop Boys
Lonely Won't Leave Me Alone	Glenn Medeiros
Who Will You Run To	Heart
Rain In The Summertime	The Alarm
Twilight World	Swing Out Sister
Burning Like A Flame	Dokken
Guaranteed For Life	Millions Like Us
Bad	Michael Jackson
