Rockstar	DaBaby Featuring Roddy Ricch
Savage	Megan Thee Stallion
Blinding Lights	The Weeknd
Roses	SAINt JHN
Intentions	Justin Bieber Featuring Quavo
Say So	Doja Cat Featuring Nicki Minaj
The Bigger Picture	Lil Baby
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Blueberry Faygo	Lil Mosey
Circles	Post Malone
Rain On Me	Lady Gaga & Ariana Grande
Adore You	Harry Styles
The Bones	Maren Morris
Don't Start Now	Dua Lipa
The Box	Roddy Ricch
Watermelon Sugar	Harry Styles
I Hope	Gabby Barrett Featuring Charlie Puth
We Paid	Lil Baby & 42 Dugg
Falling	Trevor Daniel
Toosie Slide	Drake
Life Is Good	Future Featuring Drake
Sunday Best	Surfaces
Break My Heart	Dua Lipa
Death Bed	Powfu Featuring beabadoobee
Party Girl	StaySolidRocky
Hard To Forget	Sam Hunt
Before You Go	Lewis Capaldi
Stuck With U	Ariana Grande & Justin Bieber
One Margarita	Luke Bryan
Chasin' You	Morgan Wallen
High Fashion	Roddy Ricch Featuring Mustard
Go Crazy	Chris Brown & Young Thug
Bluebird	Miranda Lambert
Trollz	6ix9ine & Nicki Minaj
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
Emotionally Scarred	Lil Baby
Black Parade	Beyonce
Here And Now	Kenny Chesney
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Memories	Maroon 5
Be Kind	Marshmello & Halsey
Supalonely	BENEE Featuring Gus Dapperton
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Nobody But You	Blake Shelton Duet With Gwen Stefani
I Hope You're Happy Now	Carly Pearce & Lee Brice
Dior	Pop Smoke
Hot Girl Bummer	blackbear
Does To Me	Luke Combs Featuring Eric Church
Everything I Wanted	Billie Eilish
Gooba	6ix9ine
Die From A Broken Heart	Maddie & Tae
If The World Was Ending	JP Saxe Featuring Julia Michaels
I Love My Country	Florida Georgia Line
Snow On Tha Bluff	J. Cole
After A Few	Travis Denning
P*$$y Fairy (OTW)	Jhene Aiko
Bleed	A Boogie Wit da Hoodie
Don't Rush	Young T & Bugsey Featuring Headie One
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
In Between	Scotty McCreery
God Whispered Your Name	Keith Urban
Mamacita	Black Eyed Peas, Ozuna + J.Rey Soul
After Party	Don Toliver
Chicago Freestyle	Drake Featuring Giveon
Go!	Kid LAROI & Juice WRLD
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Got What I Got	Jason Aldean
One Big Country Song	LOCASH
Flex	Polo G Featuring Juice WRLD
Believe It	PARTYNEXTDOOR & Rihanna
Yo Perreo Sola	Bad Bunny
Like That	Doja Cat Featuring Gucci Mane
Why We Drink	Justin Moore
ily	Surf Mesa Featuring Emilee
Need It	Migos Featuring YoungBoy Never Broke Again
Done	Chris Janson
Grace	Lil Baby & 42 Dugg
Cool Again	Kane Brown
Daisies	Katy Perry
In Your Eyes	The Weeknd
One Of Them Girls	Lee Brice
Dollaz On My Head	Gunna Featuring Young Thug
Shotta Flow 5	NLE Choppa
21	Polo G
X	Jonas Brothers Featuring Karol G
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
One Night Standards	Ashley McBryde
Tommy Lee	Tyla Yaweh & Post Malone
Girl Of My Dreams	Rod Wave
Level Of Concern	twenty one pilots
Do It	Chloe X Halle
My Truck	Breland
Righteous	Juice WRLD
One Shot	YoungBoy Never Broke Again Featuring Lil Baby
Need Me	J.I The Prince Of N.Y
Pretty Heart	Parker McCollum
More Than My Hometown	Morgan Wallen
All In	Lil Baby
Bang!	AJR
July	Noah Cyrus & Leon Bridges
