Kyrie	Mr. Mister
Sara	Starship
How Will I Know	Whitney Houston
These Dreams	Heart
Secret Lovers	Atlantic Starr
Silent Running (On Dangerous Ground)	Mike + The Mechanics
The Sweetest Taboo	Sade
Living In America	James Brown
Life In A Northern Town	The Dream Academy
King For A Day	Thompson Twins
R.O.C.K. In The U.S.A. (A Salute to 60's Rock)	John Mellencamp
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Nikita	Elton John
Rock Me Amadeus	Falco
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Russians	Sting
What You Need	INXS
Day By Day	Hooters
This Could Be The Night	Loverboy
Sanctify Yourself	Simple Minds
Stages	ZZ Top
A Love Bizarre	Sheila E.
Beat's So Lonely	Charlie Sexton
Let's Go All The Way	Sly Fox
(How To Be A) Millionaire	ABC
Manic Monday	The Bangles
Another Night	Aretha Franklin
Kiss	Prince And The Revolution
That's What Friends Are For	Dionne & Friends
Conga	Miami Sound Machine
Night Moves	Marilyn Martin
Tender Love	Force M.D.'s
Goodbye Is Forever	Arcadia
Burning Heart	Survivor
No Easy Way Out	Robert Tepper
Calling America	Electric Light Orchestra
Needles And Pins	Tom Petty & The Heartbreakers With Stevie Nicks
Addicted To Love	Robert Palmer
I'm Not The One	The Cars
I Can't Wait	Stevie Nicks
I'm Your Man	Wham!
Digital Display	Ready For The World
Bop	Dan Seals
Live Is Life	Opus
I Think It's Love	Jermaine Jackson
The Sun Always Shines on T.V.	a-ha
Do Me Baby	Meli'sa Morgan
Your Love	The Outfield
So Far Away	Dire Straits
West End Girls	Pet Shop Boys
Overjoyed	Stevie Wonder
For America	Jackson Browne
I'd Do It All Again	Sam Harris
Le Bel Age (The Best Years)	Pat Benatar
He'll Never Love You (Like I Do)	Freddie Jackson
Say You, Say Me	Lionel Richie
Saturday Love	Cherrelle With Alexander O'Neal
Spies Like Us	Paul McCartney
Let Me Be The One	Five Star
What Have You Done For Me Lately	Janet Jackson
I Like You	Phyllis Nelson
Something About You	Level 42
I Miss You	Klymaxx
The Power Of Love	Jennifer Rush
Jimmy Mack	Sheena Easton
Talk To Me	Stevie Nicks
Walk Of Life	Dire Straits
All The Kings Horses	The Firm
Baby Talk	Alisha
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
A Little Bit Of Love (Is All It Takes)	New Edition
Go Home	Stevie Wonder
I Do What I Do... (Theme For 9 1/2 Weeks)	John Taylor
Lying	Peter Frampton
My Hometown	Bruce Springsteen
Bad Boy	Miami Sound Machine
Somewhere	Barbra Streisand
It's All Right (Baby's Coming Back)	Eurythmics
The Super Bowl Shuffle	The Chicago Bears Shufflin' Crew
Heart's On Fire	John Cafferty
If You Leave	Orchestral Manoeuvres In The Dark
The Men All Pause	Klymaxx
Pleasure And Pain	Divinyls
Caravan Of Love	Isley, Jasper, Isley
In My Dreams	Dokken
Feel It Again	Honeymoon Suite
Great Gosh A'mighty (Down & Out In Bev. Hills Theme)	Little Richard
Twist My Arm	The Pointer Sisters
Goodbye	Night Ranger
Where Are You Now?	Jimmy Harnen With Synch
I Found Someone	Laura Branigan
I Can't Wait	Nu Shooz
Now And Forever (You And Me)	Anne Murray
Stereotomy	The Alan Parsons Project
Shelter Me	Joe Cocker
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Object Of My Desire	Starpoint
I Engineer	Animotion
Everything In My Heart	Corey Hart
Secret	Orchestral Manoeuvres In The Dark
