Creep	TLC
On Bended Knee	Boyz II Men
Another Night	Real McCoy
Always	Bon Jovi
Take A Bow	Madonna
Here Comes The Hotstepper (From "Ready To Wear")	Ini Kamoze
You Gotta Be	Des'ree
Before I Let You Go	BLACKstreet
Sukiyaki	4PM
I'm The Only One	Melissa Etheridge
The Rhythm Of The Night	Corona
I Wanna Be Down	Brandy
You Want This/70's Love Groove	Janet Jackson
Hold My Hand	Hootie & The Blowfish
I'll Make Love To You	Boyz II Men
You Don't Know How It Feels	Tom Petty
Tootsee Roll	69 Boyz
The Sweetest Days	Vanessa Williams
If You Love Me	Brownstone
Every Day Of The Week	Jade
Bang And Blame	R.E.M.
Constantly	Immature
Short Dick Man	20 Fingers Featuring Gillette
I'll Stand By You	Pretenders
All I Wanna Do	Sheryl Crow
Secret	Madonna
Candy Rain	Soul For Real
Turn The Beat Around (From "The Specialist")	Gloria Estefan
100% Pure Love	Crystal Waters
I Belong To You/How Many Ways	Toni Braxton
Big Poppa/Warning	The Notorious B.I.G.
Strong Enough	Sheryl Crow
Mental Picture	Jon Secada
I Miss You	N2U
Practice What You Preach	Barry White
Wild Night	John Mellencamp With Me'Shell Ndegeocello
New Age Girl (From "Dumb And Dumber")	Deadeye Dick
When Can I See You	Babyface
December 1963 (Oh, What A Night)	The 4 Seasons
What's The Frequency, Kenneth?	R.E.M.
Foolin' Around	Changing Faces
Be Happy	Mary J. Blige
Mishale	Andru Donalds
House Of Love	Amy Grant With Vince Gill
Shame (From "A Low Down Dirty Shame")	Zhane
When We Dance	Sting
In The House Of Stone And Light	Martin Page
Get Down	Craig Mack
Flava In Ya Ear	Craig Mack
Far Behind	Candlebox
Living In Danger	Ace Of Base
Playaz Club	Rappin' 4-Tay
Get Ready For This	2 Unlimited
Bring The Pain	Method Man
I Never Seen A Man Cry (aka I Seen A Man Die)	Scarface
Do You See	Warren G
Thuggish Ruggish Bone	Bone Thugs-N-Harmony
Always And Forever	Luther Vandross
Kitty Kitty	69 Boyz
Bad Reputation	Freedy Johnston
I Know	Dionne Farris
Doll Parts	Hole
She Don't Use Jelly	The Flaming Lips
Something's Always Wrong	Toad The Wet Sprocket
Whutcha Want?	Nine
Dance Naked	John Mellencamp
Whiney, Whiney (From "Dumb And Dumber")	Willi One Blood
(I Could Only) Whisper Your Name	Harry Connick, Jr.
Breakdown	Fu-Schnickens
Pimp Of The Year	Dru Down
Blind Man	Aerosmith
Nika	Vicious
Promise Me	Lil Suzy
Don't Say Goodbye Girl	Tevin Campbell
U Will Know (From "Jason's Lyric")	B.M.U. (Black Men United)
Cocktales	Too $hort
Everlasting Love	Gloria Estefan
(She's Got) Skillz	All-4-One
Fa All Y'all	Da Brat
Dreamer	Livin' Joy
The Most Beautifullest Thing In This World	Keith Murray
I Apologize	Anita Baker
Sympathy For The Devil ("Interview With The Vampire")	Guns N' Roses
Age Ain't Nothing But A Number	Aaliyah
I Can Go Deep (From "A Low Down Dirty Shame")	Silk
Woman To Woman	Jewell
Black Coffee	Heavy D & The Boyz
Hold On	Jamie Walters
Lucas With The Lid Off	Lucas
Tic Toc	Lords Of The Underground
Get Up On It	Keith Sweat (Featuring Kut Klose)
Till You Love Me	Reba McEntire
Only One Road	Celine Dion
Down 4 Whateva (From "A Low Down Dirty Shame")	Nuttin' Nyce
That's Just What You Are	Aimee Mann
Biological Didn't Bother	Shaquille O'Neal
You Suck	The Murmurs
Girl, You'll Be A Woman Soon (From "Pulp Fiction")	Urge Overkill
Get Over It	Eagles
Redneck Stomp	Jeff Foxworthy
